trip_id,leg_index,model_id,from_id,to_id,departure_s,arrival_s,handoff_complete_s,remaining_payload_at_departure_kg,remaining_payload_after_handoff_kg,remaining_volume_after_handoff_m3,distance_m,terrain_max_m,cruise_altitude_m,climb_m,descent_m,flight_s,horizontal_energy_kwh,climb_energy_kwh,leg_energy_kwh,delivered_box_ids
Q3-T-001,1,A,O01,S001,390.0,728.5730843719844,968.5730843719844,20.0,0.0,6.938893903907228e-18,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,338.57308437198435,0.6415235720788907,0.049512095317840586,0.6910356673967313,S001-MED-01;S001-MED-02;S001-WAT-01
Q3-T-001,2,A,S001,O01,968.5730843719844,1310.8995020773023,1310.8995020773023,0.0,0.0,6.938893903907228e-18,3053.9788435184996,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,342.3264177053177,0.54971619183333,0.023593817191653783,0.5733100090249837,
Q3-T-002,1,A,O01,S001,360.0,698.5730843719844,908.5730843719844,22.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,338.57308437198435,0.658423675425001,0.05061236410268149,0.7090360395276825,S001-WAT-04;S001-FOD-01
Q3-T-002,2,A,S001,O01,908.5730843719844,1250.8995020773023,1250.8995020773023,0.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,342.3264177053177,0.54971619183333,0.023593817191653783,0.5733100090249837,
Q3-T-003,1,A,O01,S010,360.0,894.968030442988,1074.968030442988,22.0,8.0,0.028,4784.494851643982,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,534.968030442988,1.0315149012761466,0.10722179095289444,1.1387366922290412,S010-WAT-01
Q3-T-003,2,A,S010,S012,1074.968030442988,1522.104632876488,1702.104632876488,8.0,0.0,0.0,3951.0045221707514,423.1903076171875,473.1903076171875,121.59030761718748,193.3903076171875,447.1366024335001,0.7378954841022559,0.03589447206115722,0.7737899561634132,S012-FOD-01
Q3-T-003,3,A,S012,O01,1702.104632876488,2476.719669698153,2476.719669698153,0.0,0.0,0.0,7390.4916869771705,363.3009948730469,413.3009948730469,133.50099487304686,285.6009948730469,774.6150368216653,1.330288503655891,0.035368492738935685,1.3656569963948266,
Q3-T-004,1,A,O01,S010,360.0,894.968030442988,1104.968030442988,11.0,0.0,0.0,4784.494851643982,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,534.968030442988,0.9145964422034545,0.09440179420852662,1.0089982364119812,S010-MED-01;S010-FOD-01
Q3-T-004,2,A,S010,O01,1104.968030442988,1654.8627275526426,1654.8627275526426,0.0,0.0,0.0,4784.494851643982,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,549.8946971096548,0.8612090732959168,0.022263846075269905,0.8834729193711867,
Q3-T-005,1,B,O01,S007,390.0,885.7776994901417,1125.7776994901417,25.0,0.0,6.938893903907228e-18,4534.460566815014,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,495.7776994901415,0.9611341665852968,0.1308930502510071,1.0920272168363039,S007-MED-01;S007-WAT-02;S007-FOD-01
