phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,guard_margin_db,guard_relay_trip_id
PH-0001,Q3-T-001,爬升,1,390.0,390.0,0.0,0.0,True,True,COM-00001,0.2,
PH-0001,Q3-T-001,爬升,1,390.0,390.34184672371094,0.0,0.00705533907522279,False,True,COM-00002,0.2,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,390.34184672371094,0.00705533907522279,0.00705533907522279,True,True,COM-00003,0.2,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,399.60265609712184,0.00705533907522279,0.19818822322614532,False,True,COM-00004,0.2,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,399.60265609712184,0.19818822322614532,0.19818822322614532,True,True,COM-00005,0.2,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,400.5743917449054,0.19818822322614532,0.21824377447487314,False,True,COM-00006,0.2,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,400.5743917449054,0.21824377447487314,0.21824377447487314,True,True,COM-00007,0.2,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,408.6860501935803,0.21824377447487314,0.3856594518770947,False,True,COM-00008,0.2,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,408.6860501935803,0.3856594518770947,0.3856594518770947,True,True,COM-00009,0.2,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,417.99820232145794,0.3856594518770947,0.5778519938123206,False,True,COM-00010,0.2,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,417.99820232145794,0.5778519938123206,0.5778519938123206,True,True,COM-00011,0.2,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,438.45220336914065,0.5778519938123206,1.0,False,True,COM-00012,0.2,
PH-0001,Q3-T-001,爬升,1,438.45220336914065,438.45220336914065,1.0,1.0,True,True,COM-00013,0.2,
PH-0002,Q3-T-001,巡航,1,438.45220336914065,442.62231115873317,0.0,0.016385605807752588,False,True,COM-00014,0.2,
PH-0002,Q3-T-001,巡航,1,442.62231115873317,442.62231115873317,0.016385605807752588,0.016385605807752588,True,True,COM-00015,0.2,
PH-0002,Q3-T-001,巡航,1,442.62231115873317,572.4228357746762,0.016385605807752588,0.5264108467150513,False,True,COM-00016,0.2,
PH-0002,Q3-T-001,巡航,1,572.4228357746762,572.4228357746762,0.5264108467150513,0.5264108467150513,True,True,COM-00017,0.2,
PH-0002,Q3-T-001,巡航,1,572.4228357746762,625.2985493120008,0.5264108467150513,0.7341754040218321,False,True,COM-00018,0.2,
PH-0002,Q3-T-001,巡航,1,625.2985493120008,625.2985493120008,0.7341754040218321,0.7341754040218321,True,True,COM-00019,0.2,
PH-0002,Q3-T-001,巡航,1,625.2985493120008,637.6266838664694,0.7341754040218321,0.7826163468815358,False,True,COM-00020,0.2,
