battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,2,U01;U03,0.3373372321105924,7352.853493161761,2226.71701588917
A-BAT-02,A,2,U02;U04,0.5499009679668809,4818.597506534234,1955.5842667804918
A-BAT-03,A,1,U03,0.2715147456028266,3923.750500414479,1447.0308307163255
A-BAT-04,A,2,U02;U04,0.5285942210479573,5506.594589169694,2159.5414020861263
A-BAT-05,A,1,U02,0.7150342114327408,3372.254529292041,870.4555251374369
A-BAT-06,A,1,U01,0.31476481090975017,5098.811479887167,1390.8057458173248
B-BAT-01,B,2,U05;U06,0.29021432369291467,7433.794103804649,3334.9717337099323
B-BAT-02,B,2,U05;U06,0.7315120586411361,5826.498052619085,2516.5264196742773
B-BAT-03,B,2,U06,0.4759415663934575,8670.30861621247,3369.2171850104223
B-BAT-04,B,2,U05,0.42313679392897763,8595.0396855586,3260.7312327697277
C-BAT-01,C,2,U07;U08,0.23131524452883678,8668.889781936516,4035.772016934588
C-BAT-02,C,2,U07;U08,0.20280212134139808,9063.783315449607,4184.107278730363
C-BAT-03,C,1,U08,0.2148969171743813,6268.371474933261,2534.3900127888405
C-BAT-04,C,1,U07,0.230883497636599,6362.3629822322455,2499.752421787369
