phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,mode,relay_trip_id,eligible_relay_indices,selected_margin_mid_db,direct_margin_mid_db,backhaul_margin_db
PH-0001,Q3-T-001,爬升,1,390.0,390.0,0.0,0.0,True,True,COM-00001,直连,,,45.92517525248826,45.92517525248826,
PH-0001,Q3-T-001,爬升,1,390.0,390.34184672371094,0.0,0.00705533907522279,False,True,COM-00002,直连,,,46.15077298410978,46.15077298410978,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,390.34184672371094,0.00705533907522279,0.00705533907522279,True,True,COM-00003,直连,,,46.38238674364702,46.38238674364702,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,399.60265609712184,0.00705533907522279,0.19818822322614532,False,True,COM-00004,直连,,,67.82295300936092,67.82295300936092,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,399.60265609712184,0.19818822322614532,0.19818822322614532,True,True,COM-00005,直连,,,63.04826031558974,63.04826031558974,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,400.5743917449054,0.19818822322614532,0.21824377447487314,False,True,COM-00006,直连,,,61.71811229890638,61.71811229890638,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,400.5743917449054,0.21824377447487314,0.21824377447487314,True,True,COM-00007,直连,,,60.56487003084809,60.56487003084809,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,408.6860501935803,0.21824377447487314,0.3856594518770947,False,True,COM-00008,直连,,,54.38121115513681,54.38121115513681,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,408.6860501935803,0.3856594518770947,0.3856594518770947,True,True,COM-00009,直连,,,50.80570620510426,50.80570620510426,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,417.99820232145794,0.3856594518770947,0.5778519938123206,False,True,COM-00010,直连,,,47.96179382527538,47.96179382527538,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,417.99820232145794,0.5778519938123206,0.5778519938123206,True,True,COM-00011,直连,,,45.82290764368433,45.82290764368433,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,438.45220336914065,0.5778519938123206,1.0,False,True,COM-00012,直连,,,42.421013060402686,42.421013060402686,
PH-0001,Q3-T-001,爬升,1,438.45220336914065,438.45220336914065,1.0,1.0,True,True,COM-00013,直连,,,39.982830377148545,39.982830377148545,
PH-0002,Q3-T-001,巡航,1,438.45220336914065,572.4228357746762,0.0,0.5264108467150513,False,True,COM-00014,直连,,,23.738075011207812,23.738075011207812,
PH-0002,Q3-T-001,巡航,1,572.4228357746762,572.4228357746762,0.5264108467150513,0.5264108467150513,True,True,COM-00015,直连,,,17.79550583936357,17.79550583936357,
PH-0002,Q3-T-001,巡航,1,572.4228357746762,625.2985493120008,0.5264108467150513,0.7341754040218321,False,True,COM-00016,直连,,,6.239096637791931,6.239096637791931,
