trip_id,phase,start_s,end_s,duration_s,mode
Q3-T-001,爬升,390.0,390.34184672371094,0.3418467237109393,直连
Q3-T-001,爬升,390.34184672371094,399.60265609712184,9.260809373410916,直连
Q3-T-001,爬升,399.60265609712184,400.5743917449054,0.9717356477835676,直连
Q3-T-001,爬升,400.5743917449054,408.6860501935803,8.11165844867487,直连
Q3-T-001,爬升,408.6860501935803,417.99820232145794,9.31215212787766,直连
Q3-T-001,爬升,417.99820232145794,544.7491292317709,126.75092691031294,直连
Q3-T-001,巡航,544.7491292317709,671.4579889806187,126.70885974884781,直连
Q3-T-001,巡航,671.4579889806187,743.679230704014,72.22124172339528,直连
Q3-T-001,巡航,743.679230704014,747.1292468698559,3.450016165841924,直连
Q3-T-001,巡航,747.1292468698559,771.5371515852402,24.407904715384213,直连
Q3-T-001,巡航,771.5371515852402,807.4812216815566,35.944070096316416,直连
Q3-T-001,巡航,807.4812216815566,862.199271430555,54.71804974899842,直连
Q3-T-001,巡航,862.199271430555,863.805648987166,1.606377556611046,直连
Q3-T-001,巡航,863.805648987166,872.3593191455775,8.553670158411515,直连
Q3-T-001,巡航,872.3593191455775,996.3826174162434,124.02329827066589,中继
Q3-T-001,下降,996.3826174162434,1009.6881913327535,13.305573916510046,中继
Q3-T-001,下降,1009.6881913327535,1012.854052548932,3.1658612161786137,中继
Q3-T-001,下降,1012.854052548932,1016.7672078373787,3.9131552884465544,中继
Q3-T-001,下降,1016.7672078373787,1092.7615724943685,75.99436465698983,中继
Q3-T-001,投送交接,1092.7615724943685,1226.977956606348,134.21638411197955,中继
Q3-T-001,投送交接,1226.977956606348,1302.7615724943685,75.78361588802045,中继
Q3-T-001,爬升,1302.7615724943685,1363.5150108081705,60.75343831380201,中继
Q3-T-001,巡航,1363.5150108081705,1377.1079729478386,13.592962139668055,中继
Q3-T-001,巡航,1377.1079729478386,1407.4045725592143,30.296599611375786,中继
Q3-T-001,巡航,1407.4045725592143,1421.3972032314912,13.99263067227675,中继
Q3-T-001,巡航,1421.3972032314912,1504.5077310000802,83.11052776858898,中继
Q3-T-001,巡航,1504.5077310000802,1565.284096545309,60.77636554522898,中继
