common_delay_s,min_hard_slack_s,hard_late_boxes,feasible
0.0,338.49973248746437,0,True
1.0,337.49973248746437,0,True
2.0,336.49973248746437,0,True
3.0,335.49973248746437,0,True
5.0,333.49973248746437,0,True
10.0,328.49973248746437,0,True
30.0,308.49973248746437,0,True
60.0,278.49973248746437,0,True
90.0,248.49973248746437,0,True
120.0,218.49973248746437,0,True
