phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,mode,relay_trip_id,eligible_relay_indices,selected_margin_mid_db,direct_margin_mid_db,backhaul_margin_db
PH-0001,Q3-T-001,爬升,1,390.0,390.0,0.0,0.0,True,True,COM-00001,直连,,,45.92517525248826,45.92517525248826,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,390.34184672371094,0.002209038108375709,0.002209038108375709,True,True,COM-00003,直连,,,46.38238674364702,46.38238674364702,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,399.60265609712184,0.06205305415799623,0.06205305415799623,True,True,COM-00005,直连,,,63.04826031558974,63.04826031558974,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,400.5743917449054,0.06833247978454172,0.06833247978454172,True,True,COM-00007,直连,,,60.56487003084809,60.56487003084809,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,408.6860501935803,0.12075059993128508,0.12075059993128508,True,True,COM-00009,直连,,,50.80570620510426,50.80570620510426,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,417.99820232145794,0.18092639655196044,0.18092639655196044,True,True,COM-00011,直连,,,45.82290764368433,45.82290764368433,
PH-0001,Q3-T-001,爬升,1,544.7491292317709,544.7491292317709,1.0,1.0,True,True,COM-00013,直连,,,28.993277511644692,28.993277511644692,
PH-0002,Q3-T-001,巡航,1,655.942685290213,655.942685290213,0.24620308052317058,0.24620308052317058,True,True,COM-00015,直连,,,18.984105892306303,18.984105892306303,
PH-0002,Q3-T-001,巡航,1,712.5211720162599,712.5211720162599,0.37147830524905945,0.37147830524905945,True,True,COM-00017,直连,,,15.661383458466545,15.661383458466545,
PH-0002,Q3-T-001,巡航,1,744.679230704014,744.679230704014,0.4426821896576908,0.4426821896576908,True,True,COM-00019,直连,,,14.198276974111394,14.198276974111394,
PH-0002,Q3-T-001,巡航,1,775.3192355258584,775.3192355258584,0.5105248222866717,0.5105248222866717,True,True,COM-00021,直连,,,12.99565081798292,12.99565081798292,
PH-0002,Q3-T-001,巡航,1,807.4812216815566,807.4812216815566,0.5817374028350862,0.5817374028350862,True,True,COM-00023,直连,,,1.8866082080380977,1.8866082080380977,
PH-0002,Q3-T-001,巡航,1,850.0622859390267,850.0622859390267,0.6760197476378207,0.6760197476378207,True,True,COM-00025,直连,,,0.6039553662587736,0.6039553662587736,
PH-0002,Q3-T-001,巡航,1,864.805648987166,864.805648987166,0.7086642778461681,0.7086642778461681,True,True,COM-00027,直连,,,0.19999999999991758,0.19999999999991758,
PH-0002,Q3-T-001,巡航,1,872.3593191455775,872.3593191455775,0.7253894994163766,0.7253894994163766,True,True,COM-00029,直连,,,1.3073986337985843e-12,1.3073986337985843e-12,
PH-0002,Q3-T-001,巡航,1,996.3826174162434,996.3826174162434,1.0,1.0,True,False,COM-00031,中继,Q3-R-002,1,18.394163000679598,-2.7625514695378683,2.4694705795379406
PH-0003,Q3-T-001,下降,1,1009.6881913327535,1009.6881913327535,0.13805476419332946,0.13805476419332946,True,False,COM-00033,中继,Q3-R-002,1,18.38809204469122,-2.7583710715968834,2.4694705795379406
PH-0003,Q3-T-001,下降,1,1012.854052548932,1012.854052548932,0.17090281918222575,0.17090281918222575,True,False,COM-00035,中继,Q3-R-002,1,18.384166520329927,-2.7574237417580463,2.4694705795379406
PH-0003,Q3-T-001,下降,1,1016.7672078373787,1016.7672078373787,0.2115045800674163,0.2115045800674163,True,False,COM-00037,中继,Q3-R-002,1,18.37800268631156,-2.7562779772828634,2.4694705795379406
PH-0003,Q3-T-001,下降,1,1092.7615724943685,1092.7615724943685,1.0,1.0,True,False,COM-00039,中继,Q3-R-002,1,17.98787094572583,-2.739574445940306,2.4694705795379406
PH-0004,Q3-T-001,投送交接,1,1225.977956606348,1225.977956606348,0.6343637338665693,0.6343637338665693,True,False,COM-00041,中继,Q3-R-002,1,17.98787094572583,-2.739574445940306,2.4694705795379406
PH-0004,Q3-T-001,投送交接,1,1302.7615724943685,1302.7615724943685,1.0,1.0,True,False,COM-00043,中继,Q3-R-002,1,17.98787094572583,-2.739574445940306,2.4694705795379406
PH-0005,Q3-T-001,爬升,2,1363.5150108081705,1363.5150108081705,1.0,1.0,True,False,COM-00045,中继,Q3-R-002,1,18.37211406117696,-2.755392847394674,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1377.1079729478386,1377.1079729478386,0.05215690981653626,0.05215690981653626,True,False,COM-00047,中继,Q3-R-002,1,19.611496989659088,-2.637763393885052,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1407.4045725592143,1407.4045725592143,0.16840655411347977,0.16840655411347977,True,False,COM-00049,中继,Q3-R-002,1,21.10358274532514,-2.394245236417987,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1421.397203231491,1421.397203231491,0.22209701308564447,0.22209701308564447,True,False,COM-00051,中继,Q3-R-002,1,20.676622351273437,-2.291626946228618,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1517.1136015026907,1517.1136015026907,0.5893658615749503,0.5893658615749503,True,False,COM-00053,中继,Q3-R-002,1;2,12.798452782239949,-1.8022872195922446,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1561.364157098675,1561.364157098675,0.7591575680357571,0.7591575680357571,True,False,COM-00055,中继,Q3-R-002,1;2,10.19999999999925,-1.7255656050956674,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1624.1317188815933,1624.1317188815933,1.0,1.0,True,False,COM-00057,中继,Q3-R-002,1;2,7.420920837064216,-1.7955953693080176,2.4694705795379406
PH-0007,Q3-T-001,下降,2,1696.7558448581558,1696.7558448581558,1.0,1.0,True,False,COM-00059,中继,Q3-R-002,1;2,7.3889670571714845,-1.7759083300417018,2.4694705795379406
PH-0008,Q3-T-001,投送交接,2,1876.7558448581558,1876.7558448581558,1.0,1.0,True,False,COM-00061,中继,Q3-R-002,1;2,7.3889670571714845,-1.7759083300417018,2.4694705795379406
PH-0009,Q3-T-001,爬升,3,1892.5831194349787,1892.5831194349787,1.0,1.0,True,False,COM-00063,中继,Q3-R-002,1;2,7.401164780866878,-1.7798932090982902,2.4694705795379406
PH-0010,Q3-T-001,巡航,3,1926.583946078916,1926.583946078916,0.08413890005643894,0.08413890005643894,True,False,COM-00065,中继,Q3-R-002,0;1;2,7.751282071593323,-1.0187232705291507,2.4694705795379406
PH-0010,Q3-T-001,巡航,3,1967.6820449241907,1967.6820449241907,0.18584080476200668,0.18584080476200668,True,True,COM-00067,直连,,,-2.1316282072803006e-13,-2.1316282072803006e-13,
PH-0010,Q3-T-001,巡航,3,2060.2293374175356,2060.2293374175356,0.414859571721311,0.414859571721311,True,True,COM-00069,直连,,,2.8525914180765,2.8525914180765,
PH-0010,Q3-T-001,巡航,3,2094.9344765772494,2094.9344765772494,0.5007413729428903,0.5007413729428903,True,True,COM-00071,直连,,,14.218655350641484,14.218655350641484,
PH-0010,Q3-T-001,巡航,3,2296.6866508708545,2296.6866508708545,1.0,1.0,True,True,COM-00073,直连,,,33.935643142447674,33.935643142447674,
PH-0011,Q3-T-001,下降,3,2371.6815375772926,2371.6815375772926,0.690606885535862,0.690606885535862,True,True,COM-00075,直连,,,45.82290764368436,45.82290764368436,
