battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,2,U01,0.26479245600713897,7316.749704725784,2740.3377849549706
A-BAT-02,A,2,U01;U02,0.7150342114327408,4526.634407577781,1740.9110502748738
A-BAT-03,A,2,U02;U03,0.30289176070207857,7143.346276432298,2575.3513613453133
A-BAT-04,A,2,U03;U04,0.5499009679668809,4806.458089262729,1943.4448495089878
A-BAT-05,A,2,U02;U04,0.2672846979903778,7816.525071444816,2322.985417749946
A-BAT-06,A,2,U03;U04,0.43162345032576754,7671.446613088383,2420.1803116803885
B-BAT-01,B,2,U05;U06,0.2698453002436507,7545.0639646746085,3316.7488008965856
B-BAT-02,B,2,U05;U06,0.4759415663934575,7032.313682241871,3013.044513028991
B-BAT-03,B,1,U05,0.39960859355052347,5339.661191434921,1707.3451045124261
B-BAT-04,B,2,U05;U06,0.7435700308174209,7696.844816142158,3021.544769176515
C-BAT-01,C,2,U07,0.23131524452883678,8996.90477971226,4035.772016934588
C-BAT-02,C,2,U08,0.5105783302721514,8416.882598950007,4155.539148793376
C-BAT-03,C,1,U07,0.23718897742353362,6548.087008835842,2486.090548915677
C-BAT-04,C,1,U08,0.230883497636599,7277.69754513459,2499.752421787369
