box_id,trip_id,recomputed_completion_s,exported_completion_s,error_s,is_medical,is_first_batch,expected_s,hard_deadline_s,hard_slack_s,tardiness_s,priority
S014-MED-01,Q3-T-001,1272.7615724943685,1272.7615724943685,0.0,True,True,7200.0,3600.0,2327.2384275056315,0,22
S014-FOD-01,Q3-T-001,1302.7615724943685,1302.7615724943685,0.0,False,False,7200.0,,,0,10
S013-MED-01,Q3-T-001,1876.7558448581558,1876.7558448581558,0.0,True,True,3600.0,3600.0,1723.2441551418442,0,24
S001-WAT-06,Q3-T-002,878.5730843719844,878.5730843719844,0.0,False,False,3600.0,,,0,12
S001-FOD-02,Q3-T-002,908.5730843719844,908.5730843719844,0.0,False,False,7200.0,,,0,10
S001-MED-01,Q3-T-003,908.5730843719844,908.5730843719844,0.0,True,True,3600.0,3600.0,2691.4269156280156,0,24
S001-WAT-05,Q3-T-003,938.5730843719844,938.5730843719844,0.0,False,False,3600.0,,,0,12
S010-MED-01,Q3-T-003,1541.882699073385,1541.882699073385,0.0,True,True,3600.0,3600.0,2058.117300926615,0,24
S001-MED-02,Q3-T-004,878.5730843719844,878.5730843719844,0.0,True,False,3600.0,3600.0,2721.4269156280156,0,24
S001-WAT-01,Q3-T-004,908.5730843719844,908.5730843719844,0.0,False,True,3600.0,3600.0,2691.4269156280156,0,12
S007-WAT-01,Q3-T-005,1035.7776994901415,1035.7776994901417,2.2737367544323206e-13,False,True,3600.0,3600.0,2564.2223005098585,0,12
S007-HYG-01,Q3-T-005,1065.7776994901415,1065.7776994901417,2.2737367544323206e-13,False,False,10800.0,,,0,8
S007-MED-01,Q3-T-006,1065.7776994901415,1065.7776994901417,2.2737367544323206e-13,True,True,3600.0,3600.0,2534.2223005098585,0,24
S007-WAT-02,Q3-T-006,1095.7776994901415,1095.7776994901417,2.2737367544323206e-13,False,False,3600.0,,,0,12
S007-FOD-01,Q3-T-006,1125.7776994901415,1125.7776994901417,2.2737367544323206e-13,False,False,7200.0,,,0,10
S006-MED-01,Q3-T-007,1029.4219339808383,1029.4219339808383,0.0,True,True,3600.0,3600.0,2570.5780660191617,0,24
S006-WAT-01,Q3-T-007,1065.4219339808383,1065.4219339808383,0.0,False,True,3600.0,3600.0,2534.5780660191617,0,12
S006-WAT-02,Q3-T-007,1101.4219339808383,1101.4219339808383,0.0,False,False,3600.0,,,0,12
S006-WAT-03,Q3-T-007,1137.4219339808383,1137.4219339808383,0.0,False,False,3600.0,,,0,12
S006-FOD-01,Q3-T-007,1173.4219339808383,1173.4219339808383,0.0,False,False,7200.0,,,0,10
S006-HYG-01,Q3-T-007,1209.4219339808383,1209.4219339808383,0.0,False,False,10800.0,,,0,8
S001-WAT-04,Q3-T-008,972.2695386645796,972.2695386645796,0.0,False,False,3600.0,,,0,12
S001-HYG-02,Q3-T-008,1008.2695386645796,1008.2695386645796,0.0,False,False,10800.0,,,0,8
S012-WAT-01,Q3-T-008,1715.9880896797995,1715.9880896797995,0.0,False,True,3600.0,3600.0,1884.0119103202005,0,12
S012-MED-01,Q3-T-008,1751.9880896797995,1751.9880896797995,0.0,True,True,7200.0,3600.0,1848.0119103202005,0,22
S012-FOD-01,Q3-T-008,1787.9880896797995,1787.9880896797995,0.0,False,False,7200.0,,,0,10
S001-WAT-07,Q3-T-009,2129.4725864492866,2129.472586449286,4.547473508864641e-13,False,False,3600.0,,,0,12
S001-FOD-03,Q3-T-009,2159.4725864492866,2159.472586449286,4.547473508864641e-13,False,False,7200.0,,,0,10
S001-WAT-08,Q3-T-010,2129.4725864492866,2129.472586449286,4.547473508864641e-13,False,False,3600.0,,,0,12
S010-FOD-01,Q3-T-010,2732.7822011506873,2732.782201150687,4.547473508864641e-13,False,False,7200.0,,,0,10
S001-WAT-03,Q3-T-011,2623.823406626256,2623.823406626256,0.0,False,False,3600.0,,,0,12
S001-HYG-01,Q3-T-011,2659.823406626256,2659.823406626256,0.0,False,False,10800.0,,,0,8
S002-MED-01,Q3-T-011,3261.5002675125356,3261.500267512536,4.547473508864641e-13,True,True,3600.0,3600.0,338.49973248746437,0,24
S002-WAT-02,Q3-T-011,3297.5002675125356,3297.500267512536,4.547473508864641e-13,False,False,3600.0,,,0,12
S002-WAT-04,Q3-T-011,3333.5002675125356,3333.500267512536,4.547473508864641e-13,False,False,3600.0,,,0,12
S002-FOD-01,Q3-T-011,3369.5002675125356,3369.500267512536,4.547473508864641e-13,False,False,7200.0,,,0,10
S002-FOD-02,Q3-T-011,3405.5002675125356,3405.500267512536,4.547473508864641e-13,False,False,7200.0,,,0,10
S002-HYG-01,Q3-T-011,3441.5002675125356,3441.500267512536,4.547473508864641e-13,False,False,10800.0,,,0,8
S010-WAT-01,Q3-T-012,2571.5018485625383,2571.501848562538,4.547473508864641e-13,False,True,3600.0,3600.0,1028.4981514374617,0,12
S014-WAT-01,Q3-T-012,3004.994545398355,3004.9945453983546,4.547473508864641e-13,False,True,3600.0,3600.0,595.0054546016449,0,12
S002-WAT-01,Q3-T-013,2766.562549029515,2766.562549029515,0.0,False,True,3600.0,3600.0,833.4374509704849,0,12
S002-WAT-03,Q3-T-013,2796.562549029515,2796.562549029515,0.0,False,False,3600.0,,,0,12
S013-WAT-01,Q3-T-014,3162.805812114788,3162.8058121147883,4.547473508864641e-13,False,True,3600.0,3600.0,437.19418788521216,0,12
S013-FOD-01,Q3-T-014,3192.805812114788,3192.8058121147883,4.547473508864641e-13,False,False,7200.0,,,0,10
S001-WAT-02,Q3-T-015,3283.8524647350264,3283.8524647350264,0.0,False,False,3600.0,,,0,12
S001-FOD-01,Q3-T-015,3313.8524647350264,3313.8524647350264,0.0,False,False,7200.0,,,0,10
S004-MED-01,Q3-T-016,3880.3867771056202,3880.38677710562,4.547473508864641e-13,True,True,7200.0,7200.0,3319.6132228943798,0,20
S004-WAT-01,Q3-T-016,3916.3867771056202,3916.38677710562,4.547473508864641e-13,False,True,7200.0,7200.0,3283.6132228943798,0,10
S004-WAT-02,Q3-T-016,3952.3867771056202,3952.38677710562,4.547473508864641e-13,False,False,7200.0,,,0,10
S004-WAT-03,Q3-T-016,3988.3867771056202,3988.38677710562,4.547473508864641e-13,False,False,7200.0,,,0,10
S004-FOD-01,Q3-T-016,4024.3867771056202,4024.38677710562,4.547473508864641e-13,False,False,10800.0,,,0,8
S004-HYG-01,Q3-T-016,4060.3867771056202,4060.38677710562,4.547473508864641e-13,False,False,14400.0,,,0,6
S011-MED-01,Q3-T-017,4154.086186436662,4154.086186436662,0.0,True,True,10800.0,10800.0,6645.913813563338,0,16
S008-MED-01,Q3-T-017,4901.765962307781,4901.76596230778,9.094947017729282e-13,True,True,7200.0,7200.0,2298.2340376922193,0,20
S008-HYG-01,Q3-T-017,4931.765962307781,4931.76596230778,9.094947017729282e-13,False,False,14400.0,,,0,6
S005-MED-01,Q3-T-018,4433.811479896325,4433.811479896326,9.094947017729282e-13,True,True,10800.0,10800.0,6366.188520103675,0,16
S005-FOD-01,Q3-T-018,4463.811479896325,4463.811479896326,9.094947017729282e-13,False,False,14400.0,,,0,6
S008-WAT-02,Q3-T-018,4942.106767266771,4942.106767266771,0.0,False,False,7200.0,,,0,10
S008-WAT-01,Q3-T-019,5025.640294497845,5025.640294497845,0.0,False,True,7200.0,7200.0,2174.3597055021546,0,10
S008-FOD-01,Q3-T-019,5055.640294497845,5055.640294497845,0.0,False,False,10800.0,,,0,8
S003-MED-01,Q3-T-020,5169.950734703743,5169.950734703743,0.0,True,True,7200.0,7200.0,2030.0492652962566,0,20
S003-WAT-01,Q3-T-020,5199.950734703743,5199.950734703743,0.0,False,True,7200.0,7200.0,2000.0492652962566,0,10
S015-MED-01,Q3-T-020,5653.140477258481,5653.14047725848,9.094947017729282e-13,True,True,7200.0,7200.0,1546.859522741519,0,18
S009-MED-01,Q3-T-021,4929.64819744615,4929.64819744615,0.0,True,True,10800.0,10800.0,5870.35180255385,0,16
S009-WAT-01,Q3-T-021,4959.64819744615,4959.64819744615,0.0,False,True,10800.0,10800.0,5840.35180255385,0,8
S009-FOD-01,Q3-T-021,4989.64819744615,4989.64819744615,0.0,False,False,14400.0,,,0,6
S003-WAT-02,Q3-T-022,5527.502134722454,5527.502134722453,9.094947017729282e-13,False,False,7200.0,,,0,10
S003-WAT-03,Q3-T-022,5563.502134722454,5563.502134722453,9.094947017729282e-13,False,False,7200.0,,,0,10
S003-WAT-04,Q3-T-022,5599.502134722454,5599.502134722453,9.094947017729282e-13,False,False,7200.0,,,0,10
S003-FOD-01,Q3-T-022,5635.502134722454,5635.502134722453,9.094947017729282e-13,False,False,10800.0,,,0,8
S003-FOD-02,Q3-T-022,5671.502134722454,5671.502134722453,9.094947017729282e-13,False,False,10800.0,,,0,8
S003-HYG-01,Q3-T-022,5707.502134722454,5707.502134722453,9.094947017729282e-13,False,False,14400.0,,,0,6
S015-WAT-01,Q3-T-023,5691.702396938054,5691.702396938054,0.0,False,True,10800.0,10800.0,5108.297603061946,0,8
S015-FOD-01,Q3-T-023,5721.702396938054,5721.702396938054,0.0,False,False,14400.0,,,0,6
S005-WAT-01,Q3-T-024,5911.175385610111,5911.175385610112,9.094947017729282e-13,False,True,10800.0,10800.0,4888.824614389889,0,8
S005-WAT-02,Q3-T-024,5947.175385610111,5947.175385610112,9.094947017729282e-13,False,False,10800.0,,,0,8
S005-WAT-03,Q3-T-024,5983.175385610111,5983.175385610112,9.094947017729282e-13,False,False,10800.0,,,0,8
S005-HYG-01,Q3-T-024,6019.175385610111,6019.175385610112,9.094947017729282e-13,False,False,18000.0,,,0,4
S011-WAT-01,Q3-T-025,6273.675966774776,6273.675966774776,0.0,False,True,10800.0,10800.0,4526.324033225224,0,8
S011-FOD-01,Q3-T-025,6303.675966774776,6303.675966774776,0.0,False,False,14400.0,,,0,6
