trip_id,phase,start_s,end_s,duration_s,mode
Q2-001,爬升,390.0,390.34184672371094,0.3418467237109394,直连
Q2-001,爬升,390.34184672371094,438.45220336914065,48.110356645429704,直连
Q2-001,巡航,438.45220336914065,572.4228357746762,133.97063240553553,直连
Q2-001,巡航,572.4228357746762,692.9504403290156,120.52760455433939,直连
Q2-001,下降,692.9504403290156,728.5730843719844,35.62264404296877,直连
Q2-001,投送交接,728.5730843719844,968.5730843719844,240.0,直连
Q2-001,爬升,968.5730843719844,998.2586210744583,29.685536702473996,直连
Q2-001,巡航,998.2586210744583,1118.7862256287979,120.52760455433945,直连
Q2-001,巡航,1118.7862256287979,1252.7568580343334,133.97063240553558,直连
Q2-001,下降,1252.7568580343334,1310.4892860088491,57.73242797451574,直连
Q2-001,下降,1310.4892860088491,1310.8995020773023,0.4102160684531297,直连
Q2-002,爬升,360.0,360.34184672371094,0.3418467237109391,直连
Q2-002,爬升,360.34184672371094,439.4659464518229,79.12409972811196,直连
Q2-002,巡航,439.4659464518229,564.6634545429636,125.19750809114069,直连
Q2-002,巡航,564.6634545429636,704.9832946529682,140.3198401100046,直连
Q2-002,下降,704.9832946529682,725.5024303951557,20.519135742187473,直连
Q2-002,投送交接,725.5024303951557,935.5024303951557,210.0,直连
Q2-002,爬升,935.5024303951557,952.6017101803119,17.099279785156227,直连
Q2-002,巡航,952.6017101803119,1092.9215502903166,140.31984011000463,直连
Q2-002,巡航,1092.9215502903166,1218.1190583814573,125.19750809114078,直连
Q2-002,下降,1218.1190583814573,1313.0679780551916,94.94891967373427,直连
Q2-002,下降,1313.0679780551916,1313.4781941236447,0.4102160684531272,直连
Q2-003,爬升,390.0,390.34184672371094,0.3418467237109392,直连
Q2-003,爬升,390.34184672371094,518.0910583496094,127.74921162589845,直连
Q2-003,巡航,518.0910583496094,836.5968458153213,318.505787465712,直连
Q2-003,巡航,836.5968458153213,846.3633031118743,9.766457296552934,直连
Q2-003,巡航,846.3633031118743,895.9627722508606,49.599469138986244,中断
Q2-003,下降,895.9627722508606,961.3520422703918,65.3892700195313,中断
