extra_loss_db,required_airborne_service_s,outage_duration_sum_s,coverage_fraction,boundary_points_checked,uncovered_boundary_points,continuous_feasible
0.0,37417.01536509141,0,1.0,1042,0,True
0.05,37417.01536509141,0,1.0,1042,0,True
0.1,37417.01536509141,0,1.0,1042,0,True
0.2,37417.01536509141,0,1.0,1046,0,True
0.5,37417.01536509141,1206.973567973389,0.967742655147758,1046,39,False
1.0,37417.01536509141,4840.962645850283,0.8706213577268189,1078,140,False
2.0,37417.01536509141,11658.119275369594,0.6884273328159103,1100,277,False
