box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S007-HYG-01,Q2-013,S007,B,U05,2935.5341158717556,10800.0,,,False,False,8,0.0,,6.0,0.035
S007-MED-01,Q2-015,S007,A,U04,3220.5676522136264,3600.0,3600.0,3600.0,True,True,24,0.0,379.4323477863736,3.0,0.012
S007-WAT-01,Q2-017,S007,B,U06,3362.1491616266803,3600.0,3600.0,3600.0,True,False,12,0.0,237.85083837331968,14.0,0.027
S007-WAT-02,Q2-015,S007,A,U04,3250.5676522136264,3600.0,,,False,False,12,0.0,,14.0,0.027
S008-FOD-01,Q2-027,S008,C,U08,6246.683141409917,10800.0,,,False,False,8,0.0,,8.0,0.028
S008-HYG-01,Q2-027,S008,C,U08,6282.683141409917,14400.0,,,False,False,6,0.0,,6.0,0.035
S008-MED-01,Q2-027,S008,C,U08,6138.683141409917,7200.0,7200.0,7200.0,True,True,20,0.0,1061.316858590083,3.0,0.012
S008-WAT-01,Q2-027,S008,C,U08,6174.683141409917,7200.0,7200.0,7200.0,True,False,10,0.0,1025.316858590083,14.0,0.027
S008-WAT-02,Q2-027,S008,C,U08,6210.683141409917,7200.0,,,False,False,10,0.0,,14.0,0.027
S009-FOD-01,Q2-030,S009,B,U05,6476.379262235896,14400.0,,,False,False,6,0.0,,8.0,0.028
S009-MED-01,Q2-030,S009,B,U05,6416.379262235896,10800.0,10800.0,10800.0,True,True,16,0.0,4383.620737764104,3.0,0.012
S009-WAT-01,Q2-030,S009,B,U05,6446.379262235896,10800.0,10800.0,10800.0,True,False,8,0.0,4353.620737764104,14.0,0.027
S010-FOD-01,Q2-014,S010,C,U07,3269.971590338271,7200.0,,,False,False,10,0.0,,8.0,0.028
S010-MED-01,Q2-014,S010,C,U07,3197.971590338271,3600.0,3600.0,3600.0,True,True,24,0.0,402.0284096617288,3.0,0.012
S010-WAT-01,Q2-014,S010,C,U07,3233.971590338271,3600.0,3600.0,3600.0,True,False,12,0.0,366.0284096617288,14.0,0.027
S011-FOD-01,Q2-023,S011,B,U06,4779.043763901067,14400.0,,,False,False,6,0.0,,8.0,0.028
S011-MED-01,Q2-023,S011,B,U06,4719.043763901067,10800.0,10800.0,10800.0,True,True,16,0.0,6080.956236098933,3.0,0.012
S011-WAT-01,Q2-023,S011,B,U06,4749.043763901067,10800.0,10800.0,10800.0,True,False,8,0.0,6050.956236098933,14.0,0.027
S012-FOD-01,Q2-016,S012,A,U02,3526.8501637372574,7200.0,,,False,False,10,0.0,,8.0,0.028
S012-MED-01,Q2-016,S012,A,U02,3496.8501637372574,7200.0,3600.0,3600.0,True,True,22,0.0,103.14983626274261,3.0,0.012
S012-WAT-01,Q2-011,S012,A,U01,2587.9532309453098,3600.0,3600.0,3600.0,True,False,12,0.0,1012.0467690546902,14.0,0.027
S013-FOD-01,Q2-012,S013,C,U08,2561.785543835282,7200.0,,,False,False,10,0.0,,8.0,0.028
S013-MED-01,Q2-012,S013,C,U08,2489.785543835282,3600.0,3600.0,3600.0,True,True,24,0.0,1110.2144561647178,3.0,0.012
S013-WAT-01,Q2-012,S013,C,U08,2525.785543835282,3600.0,3600.0,3600.0,True,False,12,0.0,1074.2144561647178,14.0,0.027
S014-FOD-01,Q2-005,S014,B,U05,1242.434874857474,7200.0,,,False,False,10,0.0,,8.0,0.028
S014-MED-01,Q2-005,S014,B,U05,1212.434874857474,7200.0,3600.0,3600.0,True,True,22,0.0,2387.565125142526,3.0,0.012
S014-WAT-01,Q2-005,S014,B,U05,1182.434874857474,3600.0,3600.0,3600.0,True,False,12,0.0,2417.565125142526,14.0,0.027
S015-FOD-01,Q2-022,S015,A,U03,5010.433207805732,14400.0,,,False,False,6,0.0,,8.0,0.028
S015-MED-01,Q2-022,S015,A,U03,4980.433207805732,7200.0,7200.0,7200.0,True,True,18,0.0,2219.5667921942677,3.0,0.012
S015-WAT-01,Q2-028,S015,A,U01,6252.493428871726,10800.0,10800.0,10800.0,True,False,8,0.0,4547.506571128274,14.0,0.027
