K,partition_id,labels,group_masks,groups,shortage_units,resource_units,transport_workload_cv,joint_workload_cv,max_transport_workload_share,inventory_feasible,relay_mission_copies,relay_unique_execution_count,extra_relay_mission_copies,transport_energy_kwh,relay_energy_kwh,joint_makespan_s,structural_extra_units,original_ID_locked_resource_units,total_energy_kwh,need_transport_A,gap_transport_A,spare_transport_A,need_transport_B,gap_transport_B,spare_transport_B,need_transport_C,gap_transport_C,spare_transport_C,need_battery_A,gap_battery_A,spare_battery_A,need_battery_B,gap_battery_B,spare_battery_B,need_battery_C,gap_battery_C,spare_battery_C,need_relay_drone,gap_relay_drone,spare_relay_drone,need_relay_energy,gap_relay_energy,spare_relay_energy,pareto_resource_balance,pareto_resource_vector,selected_main
2,K2-121,0;1;0,5;2,S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S012;S013;S014;S015 | S006,2,29,0.9339960960803234,0.9472579566448872,0.9669980480401618,False,4,4,0,71.74679839040581,3.3220893136311287,6636.184296262294,2,30,75.06888770403694,4,0,0,2,0,0,3,1,0,6,0,0,4,0,0,5,1,0,2,0,0,3,0,3,True,True,True
3,K3-123,0;1;2,1;2;4,S001;S002;S003;S004;S005;S008;S009;S010;S011;S012;S013;S014;S015 | S006 | S007,7,35,1.2009410699956247,1.2025046694054038,0.899103850293897,False,4,4,0,71.74679839040581,3.3220893136311287,6636.184296262294,8,35,75.06888770403694,4,0,0,4,2,0,3,1,0,6,0,0,6,2,0,5,1,0,3,1,0,4,0,2,True,True,True
