check,pass,details
K3-G1/transport_B/nonnegative_integer,True,
K3-G1/transport_B/minimum_chain_cover_count,True,2.0 != 2
K3-G1/transport_C/nonnegative_integer,True,
K3-G1/transport_C/minimum_chain_cover_count,True,2.0 != 2
K3-G1/battery_A/nonnegative_integer,True,
K3-G1/battery_A/minimum_chain_cover_count,True,6.0 != 6
K3-G1/battery_B/nonnegative_integer,True,
K3-G1/battery_B/minimum_chain_cover_count,True,4.0 != 4
K3-G1/battery_C/nonnegative_integer,True,
K3-G1/battery_C/minimum_chain_cover_count,True,4.0 != 4
K3-G1/relay_drone/nonnegative_integer,True,
K3-G1/relay_drone/minimum_chain_cover_count,True,2.0 != 2
K3-G1/relay_energy/nonnegative_integer,True,
K3-G1/relay_energy/minimum_chain_cover_count,True,3.0 != 3
K3-G2/nonempty_and_unique_services,True,
K3-G2/transport_must_link,True,
K3-G2/transport_A/nonnegative_integer,True,
K3-G2/transport_A/minimum_chain_cover_count,True,0.0 != 0
K3-G2/transport_B/nonnegative_integer,True,
K3-G2/transport_B/minimum_chain_cover_count,True,0.0 != 0
K3-G2/transport_C/nonnegative_integer,True,
K3-G2/transport_C/minimum_chain_cover_count,True,1.0 != 1
K3-G2/battery_A/nonnegative_integer,True,
K3-G2/battery_A/minimum_chain_cover_count,True,0.0 != 0
K3-G2/battery_B/nonnegative_integer,True,
K3-G2/battery_B/minimum_chain_cover_count,True,0.0 != 0
K3-G2/battery_C/nonnegative_integer,True,
K3-G2/battery_C/minimum_chain_cover_count,True,1.0 != 1
K3-G2/relay_drone/nonnegative_integer,True,
K3-G2/relay_drone/minimum_chain_cover_count,True,0.0 != 0
K3-G2/relay_energy/nonnegative_integer,True,
K3-G2/relay_energy/minimum_chain_cover_count,True,0.0 != 0
K3-G3/nonempty_and_unique_services,True,
K3-G3/transport_must_link,True,
K3-G3/transport_A/nonnegative_integer,True,
K3-G3/transport_A/minimum_chain_cover_count,True,0.0 != 0
K3-G3/transport_B/nonnegative_integer,True,
K3-G3/transport_B/minimum_chain_cover_count,True,2.0 != 2
K3-G3/transport_C/nonnegative_integer,True,
K3-G3/transport_C/minimum_chain_cover_count,True,0.0 != 0
K3-G3/battery_A/nonnegative_integer,True,
K3-G3/battery_A/minimum_chain_cover_count,True,0.0 != 0
K3-G3/battery_B/nonnegative_integer,True,
K3-G3/battery_B/minimum_chain_cover_count,True,2.0 != 2
K3-G3/battery_C/nonnegative_integer,True,
K3-G3/battery_C/minimum_chain_cover_count,True,0.0 != 0
K3-G3/relay_drone/nonnegative_integer,True,
K3-G3/relay_drone/minimum_chain_cover_count,True,1.0 != 1
K3-G3/relay_energy/nonnegative_integer,True,
K3-G3/relay_energy/minimum_chain_cover_count,True,1.0 != 1
K3/service_partition,True,
K3/admissible_enumerated_partition,True,
K3/exact_global_objective_shortage_units,True,7
K3/exact_global_objective_resource_units,True,35
K3/exact_global_objective_transport_workload_cv,True,1.2009410699956247
K_only_2_and_3,True,
K2/partition_admissible,True,
K2/K2-G1/fixed_task_membership,True,
K2/K2-G1/transport_A/count,True,
K2/K2-G1/transport_B/count,True,
K2/K2-G1/transport_C/count,True,
K2/K2-G1/battery_A/count,True,
K2/K2-G1/battery_B/count,True,
K2/K2-G1/battery_C/count,True,
K2/K2-G1/relay_drone/count,True,
K2/K2-G1/relay_energy/count,True,
K2/K2-G2/fixed_task_membership,True,
K2/K2-G2/transport_A/count,True,
K2/K2-G2/transport_B/count,True,
K2/K2-G2/transport_C/count,True,
K2/K2-G2/battery_A/count,True,
K2/K2-G2/battery_B/count,True,
K2/K2-G2/battery_C/count,True,
K2/K2-G2/relay_drone/count,True,
K2/K2-G2/relay_energy/count,True,
K2/all_26_source_transport_tasks_once,True,
K2/Q3-T-001/frozen_架次编号,True,
K2/Q3-T-001/frozen_机型编号,True,
K2/Q3-T-001/frozen_开始时刻（s）,True,
K2/Q3-T-001/frozen_访问服务区顺序,True,
K2/Q3-T-001/frozen_返回O01时刻（s）,True,
K2/Q3-T-001/frozen_架次能耗（kWh）,True,
K2/Q3-T-002/frozen_架次编号,True,
K2/Q3-T-002/frozen_机型编号,True,
K2/Q3-T-002/frozen_开始时刻（s）,True,
K2/Q3-T-002/frozen_访问服务区顺序,True,
K2/Q3-T-002/frozen_返回O01时刻（s）,True,
K2/Q3-T-002/frozen_架次能耗（kWh）,True,
K2/Q3-T-003/frozen_架次编号,True,
K2/Q3-T-003/frozen_机型编号,True,
K2/Q3-T-003/frozen_开始时刻（s）,True,
K2/Q3-T-003/frozen_访问服务区顺序,True,
K2/Q3-T-003/frozen_返回O01时刻（s）,True,
K2/Q3-T-003/frozen_架次能耗（kWh）,True,
K2/Q3-T-004/frozen_架次编号,True,
K2/Q3-T-004/frozen_机型编号,True,
K2/Q3-T-004/frozen_开始时刻（s）,True,
K2/Q3-T-004/frozen_访问服务区顺序,True,
K2/Q3-T-004/frozen_返回O01时刻（s）,True,
K2/Q3-T-004/frozen_架次能耗（kWh）,True,
K2/Q3-T-005/frozen_架次编号,True,
K2/Q3-T-005/frozen_机型编号,True,
K2/Q3-T-005/frozen_开始时刻（s）,True,
K2/Q3-T-005/frozen_访问服务区顺序,True,
K2/Q3-T-005/frozen_返回O01时刻（s）,True,
K2/Q3-T-005/frozen_架次能耗（kWh）,True,
K2/Q3-T-006/frozen_架次编号,True,
K2/Q3-T-006/frozen_机型编号,True,
K2/Q3-T-006/frozen_开始时刻（s）,True,
K2/Q3-T-006/frozen_访问服务区顺序,True,
K2/Q3-T-006/frozen_返回O01时刻（s）,True,
K2/Q3-T-006/frozen_架次能耗（kWh）,True,
K2/Q3-T-007/frozen_架次编号,True,
K2/Q3-T-007/frozen_机型编号,True,
K2/Q3-T-007/frozen_开始时刻（s）,True,
K2/Q3-T-007/frozen_访问服务区顺序,True,
K2/Q3-T-007/frozen_返回O01时刻（s）,True,
K2/Q3-T-007/frozen_架次能耗（kWh）,True,
K2/Q3-T-008/frozen_架次编号,True,
K2/Q3-T-008/frozen_机型编号,True,
K2/Q3-T-008/frozen_开始时刻（s）,True,
K2/Q3-T-008/frozen_访问服务区顺序,True,
K2/Q3-T-008/frozen_返回O01时刻（s）,True,
K2/Q3-T-008/frozen_架次能耗（kWh）,True,
K2/Q3-T-009/frozen_架次编号,True,
K2/Q3-T-009/frozen_机型编号,True,
K2/Q3-T-009/frozen_开始时刻（s）,True,
K2/Q3-T-009/frozen_访问服务区顺序,True,
K2/Q3-T-009/frozen_返回O01时刻（s）,True,
K2/Q3-T-009/frozen_架次能耗（kWh）,True,
K2/Q3-T-010/frozen_架次编号,True,
K2/Q3-T-010/frozen_机型编号,True,
K2/Q3-T-010/frozen_开始时刻（s）,True,
K2/Q3-T-010/frozen_访问服务区顺序,True,
K2/Q3-T-010/frozen_返回O01时刻（s）,True,
K2/Q3-T-010/frozen_架次能耗（kWh）,True,
K2/Q3-T-011/frozen_架次编号,True,
K2/Q3-T-011/frozen_机型编号,True,
K2/Q3-T-011/frozen_开始时刻（s）,True,
K2/Q3-T-011/frozen_访问服务区顺序,True,
K2/Q3-T-011/frozen_返回O01时刻（s）,True,
K2/Q3-T-011/frozen_架次能耗（kWh）,True,
K2/Q3-T-012/frozen_架次编号,True,
K2/Q3-T-012/frozen_机型编号,True,
K2/Q3-T-012/frozen_开始时刻（s）,True,
K2/Q3-T-012/frozen_访问服务区顺序,True,
K2/Q3-T-012/frozen_返回O01时刻（s）,True,
K2/Q3-T-012/frozen_架次能耗（kWh）,True,
K2/Q3-T-013/frozen_架次编号,True,
K2/Q3-T-013/frozen_机型编号,True,
K2/Q3-T-013/frozen_开始时刻（s）,True,
K2/Q3-T-013/frozen_访问服务区顺序,True,
K2/Q3-T-013/frozen_返回O01时刻（s）,True,
K2/Q3-T-013/frozen_架次能耗（kWh）,True,
K2/Q3-T-014/frozen_架次编号,True,
K2/Q3-T-014/frozen_机型编号,True,
K2/Q3-T-014/frozen_开始时刻（s）,True,
K2/Q3-T-014/frozen_访问服务区顺序,True,
K2/Q3-T-014/frozen_返回O01时刻（s）,True,
K2/Q3-T-014/frozen_架次能耗（kWh）,True,
