check,pass,detail
BS011/independent_exact_discrete_max,True,
BS011/witness_weight,True,
BS011/witness_capacity,True,
BS011/witness_energy,True,
BS011/witness_reserve,True,
CS011/witness_distinct_ids,True,
CS011/witness_service,True,
CS011/independent_exact_discrete_max,True,
CS011/witness_weight,True,
CS011/witness_capacity,True,
CS011/witness_energy,True,
CS011/witness_reserve,True,
AS012/witness_distinct_ids,True,
AS012/witness_service,True,
AS012/independent_exact_discrete_max,True,
AS012/witness_weight,True,
AS012/witness_capacity,True,
AS012/witness_energy,True,
AS012/witness_reserve,True,
BS012/witness_distinct_ids,True,
BS012/witness_service,True,
BS012/independent_exact_discrete_max,True,
BS012/witness_weight,True,
BS012/witness_capacity,True,
BS012/witness_energy,True,
BS012/witness_reserve,True,
CS012/witness_distinct_ids,True,
CS012/witness_service,True,
CS012/independent_exact_discrete_max,True,
CS012/witness_weight,True,
CS012/witness_capacity,True,
CS012/witness_energy,True,
CS012/witness_reserve,True,
AS013/witness_distinct_ids,True,
AS013/witness_service,True,
AS013/independent_exact_discrete_max,True,
AS013/witness_weight,True,
AS013/witness_capacity,True,
AS013/witness_energy,True,
AS013/witness_reserve,True,
BS013/witness_distinct_ids,True,
BS013/witness_service,True,
BS013/independent_exact_discrete_max,True,
BS013/witness_weight,True,
BS013/witness_capacity,True,
BS013/witness_energy,True,
BS013/witness_reserve,True,
CS013/witness_distinct_ids,True,
CS013/witness_service,True,
CS013/independent_exact_discrete_max,True,
CS013/witness_weight,True,
CS013/witness_capacity,True,
CS013/witness_energy,True,
CS013/witness_reserve,True,
AS014/witness_distinct_ids,True,
AS014/witness_service,True,
AS014/independent_exact_discrete_max,True,
AS014/witness_weight,True,
AS014/witness_capacity,True,
AS014/witness_energy,True,
AS014/witness_reserve,True,
BS014/witness_distinct_ids,True,
BS014/witness_service,True,
BS014/independent_exact_discrete_max,True,
BS014/witness_weight,True,
BS014/witness_capacity,True,
BS014/witness_energy,True,
BS014/witness_reserve,True,
CS014/witness_distinct_ids,True,
CS014/witness_service,True,
CS014/independent_exact_discrete_max,True,
CS014/witness_weight,True,
CS014/witness_capacity,True,
CS014/witness_energy,True,
CS014/witness_reserve,True,
AS015/witness_distinct_ids,True,
AS015/witness_service,True,
AS015/independent_exact_discrete_max,True,
AS015/witness_weight,True,
AS015/witness_capacity,True,
AS015/witness_energy,True,
AS015/witness_reserve,True,
BS015/witness_distinct_ids,True,
BS015/witness_service,True,
BS015/independent_exact_discrete_max,True,
BS015/witness_weight,True,
BS015/witness_capacity,True,
BS015/witness_energy,True,
BS015/witness_reserve,True,
CS015/witness_distinct_ids,True,
CS015/witness_service,True,
CS015/independent_exact_discrete_max,True,
CS015/witness_weight,True,
CS015/witness_capacity,True,
CS015/witness_energy,True,
CS015/witness_reserve,True,
"formal_reserve_floor/{'reserve_fraction': '0.2', 'feasible': 'True', 'trips': '18', 'energy_kwh': '59.13129602205389', 'operation_time_s': '32776.015748915874', 'min_return_soc_fraction': '0.230883497636599', 'model_mix': 'B:9;C:9', 'infeasible_services': ''}",True,
"formal_reserve_floor/{'reserve_fraction': '0.25', 'feasible': 'True', 'trips': '19', 'energy_kwh': '61.07338737608944', 'operation_time_s': '34565.659385979154', 'min_return_soc_fraction': '0.27049853606452356', 'model_mix': 'B:10;C:9', 'infeasible_services': ''}",True,
"formal_reserve_floor/{'reserve_fraction': '0.3', 'feasible': 'True', 'trips': '20', 'energy_kwh': '67.22758968352564', 'operation_time_s': '36586.176952417474', 'min_return_soc_fraction': '0.3101873775759114', 'model_mix': 'B:9;C:11', 'infeasible_services': ''}",True,
"formal_reserve_floor/{'reserve_fraction': '0.35', 'feasible': 'True', 'trips': '25', 'energy_kwh': '75.60758952635034', 'operation_time_s': '45383.563533925684', 'min_return_soc_fraction': '0.35117768018311146', 'model_mix': 'B:15;C:10', 'infeasible_services': ''}",True,
"formal_reserve_floor/{'reserve_fraction': '0.4', 'feasible': 'False', 'trips': '', 'energy_kwh': '', 'operation_time_s': '', 'min_return_soc_fraction': '', 'model_mix': '', 'infeasible_services': 'S004;S008'}",True,
"formal_reserve_floor/{'reserve_fraction': '0.45', 'feasible': 'False', 'trips': '', 'energy_kwh': '', 'operation_time_s': '', 'min_return_soc_fraction': '', 'model_mix': '', 'infeasible_services': 'S002;S003;S004;S008;S012'}",True,
"formal_reserve_floor/{'reserve_fraction': '0.5', 'feasible': 'False', 'trips': '', 'energy_kwh': '', 'operation_time_s': '', 'min_return_soc_fraction': '', 'model_mix': '', 'infeasible_services': 'S002;S003;S004;S008;S012'}",True,
"formal_reserve_floor/{'reserve_fraction': '0.55', 'feasible': 'False', 'trips': '', 'energy_kwh': '', 'operation_time_s': '', 'min_return_soc_fraction': '', 'model_mix': '', 'infeasible_services': 'S002;S003;S004;S008;S009;S012;S014;S015'}",True,
"formal_reserve_floor/{'reserve_fraction': '0.6', 'feasible': 'False', 'trips': '', 'energy_kwh': '', 'operation_time_s': '', 'min_return_soc_fraction': '', 'model_mix': '', 'infeasible_services': 'S002;S003;S004;S005;S008;S009;S012;S014;S015'}",True,
h1.0_u1.0/Q1-001/energy,True,
h1.0_u1.0/Q1-001/reserve,True,
h1.0_u1.0/Q1-002/energy,True,
h1.0_u1.0/Q1-002/reserve,True,
h1.0_u1.0/Q1-003/energy,True,
h1.0_u1.0/Q1-003/reserve,True,
h1.0_u1.0/Q1-004/energy,True,
h1.0_u1.0/Q1-004/reserve,True,
h1.0_u1.0/Q1-005/energy,True,
h1.0_u1.0/Q1-005/reserve,True,
h1.0_u1.0/Q1-006/energy,True,
h1.0_u1.0/Q1-006/reserve,True,
h1.0_u1.0/Q1-007/energy,True,
h1.0_u1.0/Q1-007/reserve,True,
h1.0_u1.0/Q1-008/energy,True,
h1.0_u1.0/Q1-008/reserve,True,
h1.0_u1.0/Q1-009/energy,True,
h1.0_u1.0/Q1-009/reserve,True,
h1.0_u1.0/Q1-010/energy,True,
h1.0_u1.0/Q1-010/reserve,True,
h1.0_u1.0/Q1-011/energy,True,
h1.0_u1.0/Q1-011/reserve,True,
h1.0_u1.0/Q1-012/energy,True,
h1.0_u1.0/Q1-012/reserve,True,
h1.0_u1.0/Q1-013/energy,True,
h1.0_u1.0/Q1-013/reserve,True,
h1.0_u1.0/Q1-014/energy,True,
h1.0_u1.0/Q1-014/reserve,True,
h1.0_u1.0/Q1-015/energy,True,
h1.0_u1.0/Q1-015/reserve,True,
h1.0_u1.0/Q1-016/energy,True,
h1.0_u1.0/Q1-016/reserve,True,
h1.0_u1.0/Q1-017/energy,True,
h1.0_u1.0/Q1-017/reserve,True,
h1.0_u1.0/Q1-018/energy,True,
h1.0_u1.0/Q1-018/reserve,True,
h1.0_u1.0/coverage,True,
h1.0_u1.0/sumenergy,True,
h0.9_u1.0/Q1-001/energy,True,
h0.9_u1.0/Q1-001/reserve,True,
h0.9_u1.0/Q1-002/energy,True,
h0.9_u1.0/Q1-002/reserve,True,
h0.9_u1.0/Q1-003/energy,True,
h0.9_u1.0/Q1-003/reserve,True,
h0.9_u1.0/Q1-004/energy,True,
h0.9_u1.0/Q1-004/reserve,True,
h0.9_u1.0/Q1-005/energy,True,
h0.9_u1.0/Q1-005/reserve,True,
h0.9_u1.0/Q1-006/energy,True,
h0.9_u1.0/Q1-006/reserve,True,
h0.9_u1.0/Q1-007/energy,True,
h0.9_u1.0/Q1-007/reserve,True,
h0.9_u1.0/Q1-008/energy,True,
h0.9_u1.0/Q1-008/reserve,True,
h0.9_u1.0/Q1-009/energy,True,
h0.9_u1.0/Q1-009/reserve,True,
h0.9_u1.0/Q1-010/energy,True,
h0.9_u1.0/Q1-010/reserve,True,
h0.9_u1.0/Q1-011/energy,True,
h0.9_u1.0/Q1-011/reserve,True,
h0.9_u1.0/Q1-012/energy,True,
h0.9_u1.0/Q1-012/reserve,True,
h0.9_u1.0/Q1-013/energy,True,
h0.9_u1.0/Q1-013/reserve,True,
h0.9_u1.0/Q1-014/energy,True,
h0.9_u1.0/Q1-014/reserve,True,
h0.9_u1.0/Q1-015/energy,True,
h0.9_u1.0/Q1-015/reserve,True,
h0.9_u1.0/Q1-016/energy,True,
h0.9_u1.0/Q1-016/reserve,True,
h0.9_u1.0/Q1-017/energy,True,
h0.9_u1.0/Q1-017/reserve,True,
h0.9_u1.0/Q1-018/energy,True,
h0.9_u1.0/Q1-018/reserve,True,
h0.9_u1.0/coverage,True,
h0.9_u1.0/sumenergy,True,
h1.1_u1.0/Q1-001/energy,True,
h1.1_u1.0/Q1-001/reserve,True,
h1.1_u1.0/Q1-002/energy,True,
h1.1_u1.0/Q1-002/reserve,True,
h1.1_u1.0/Q1-003/energy,True,
h1.1_u1.0/Q1-003/reserve,True,
h1.1_u1.0/Q1-004/energy,True,
h1.1_u1.0/Q1-004/reserve,True,
h1.1_u1.0/Q1-005/energy,True,
h1.1_u1.0/Q1-005/reserve,True,
h1.1_u1.0/Q1-006/energy,True,
h1.1_u1.0/Q1-006/reserve,True,
h1.1_u1.0/Q1-007/energy,True,
