battery_id,model_id,trip_id,drone_id,task_start_s,return_s,return_soc_fraction,charge_start_s,charge_end_s,charge_duration_s,charged_soc_fraction
A-BAT-01,A,Q3-T-001,U01,0.0,2070.15255401159,0.4916135258202452,2070.15255401159,3231.0549704452715,1160.9024164336813,1.0
A-BAT-02,A,Q3-T-002,U02,0.0,1250.899502077302,0.7150342114327408,1250.899502077302,2121.355027214739,870.4555251374369,1.0
A-BAT-03,A,Q3-T-003,U03,0.0,1250.899502077302,0.724372224718513,1250.899502077302,2109.215609943235,858.3161078659331,1.0
A-BAT-04,A,Q3-T-004,U04,0.0,1250.899502077302,0.724372224718513,1250.899502077302,2109.215609943235,858.3161078659331,1.0
B-BAT-01,B,Q3-T-005,U05,0.0,1576.2753989802832,0.5858765453929347,1576.2753989802832,2960.75605363253,1384.4806546522466,1.0
B-BAT-02,B,Q3-T-006,U06,0.0,1636.2753989802832,0.5549942914744321,1636.2753989802832,3074.285293757934,1438.009894777651,1.0
C-BAT-01,C,Q3-T-007,U07,0.0,1561.5538679616764,0.6752515168859685,1561.5538679616764,3098.5089147087447,1536.955046747068,1.0
C-BAT-02,C,Q3-T-008,U08,0.0,2410.88843086402,0.35866590001322785,2410.88843086402,4633.778980835359,2222.890549971339,1.0
A-BAT-05,A,Q3-T-009,U02,1250.899502077302,2501.799004154604,0.7150342114327408,2501.799004154604,3372.254529292041,870.4555251374369,1.0
A-BAT-06,A,Q3-T-010,U03,1250.899502077302,3282.6768982603417,0.47593015607393363,3282.6768982603417,4463.967695364228,1181.2907971038865,1.0
C-BAT-03,C,Q3-T-011,U07,1561.5538679616764,4061.9964599201658,0.23718897742353362,4061.9964599201658,6548.087008835842,2486.090548915677,1.0
B-BAT-03,B,Q3-T-012,U05,1576.2753989802832,3446.0318153618973,0.4649028794731025,3446.0318153618973,5040.2001576085195,1594.1683422466224,1.0
B-BAT-04,B,Q3-T-013,U06,1636.2753989802832,3392.9696990787475,0.28246183311920514,3392.9696990787475,5303.369188338792,1910.3994892600442,1.0
A-BAT-04,A,Q3-T-014,U01,2109.215609943235,3360.115112020537,0.7150342114327408,3360.115112020537,4230.570637157974,870.4555251374369,1.0
A-BAT-03,A,Q3-T-015,U04,2109.215609943235,3721.3293476196745,0.5499009679668809,3721.3293476196745,4806.458089262729,1085.1287416430548,1.0
C-BAT-04,C,Q3-T-016,U08,2410.88843086402,4711.945123347221,0.230883497636599,4711.945123347221,7211.69754513459,2499.752421787369,1.0
A-BAT-02,A,Q3-T-017,U02,2501.799004154604,4141.882400026358,0.6214498942197788,4141.882400026358,5133.997537540645,992.1151375142875,1.0
A-BAT-01,A,Q3-T-018,U03,3282.6768982603417,5758.894417164285,0.30289176070207857,5758.894417164285,7165.1351282515825,1406.2407110872978,1.0
B-BAT-01,B,Q3-T-019,U06,3392.9696990787475,5612.79581843027,0.2698453002436507,5612.79581843027,7545.0639646746085,1932.2681462443388,1.0
A-BAT-05,A,Q3-T-020,U01,3698.7626161436283,6302.095032986477,0.2672846979903778,6302.095032986477,7754.624925598986,1452.529892612509,1.0
B-BAT-02,B,Q3-T-021,U05,3836.93718505594,5395.378918144701,0.4759415663934575,5395.378918144701,6970.413536396041,1575.0346182513401,1.0
C-BAT-01,C,Q3-T-022,U07,4061.9964599201658,6498.087809524741,0.23131524452883678,6498.087809524741,8996.90477971226,2498.81697018752,1.0
A-BAT-04,A,Q3-T-023,U04,4230.570637157974,6401.703176565745,0.26479245600713897,6401.703176565745,7857.472983756465,1455.7698071907193,1.0
A-BAT-06,A,Q3-T-024,U02,4463.967695364228,6432.557098511881,0.43162345032576754,6432.557098511881,7671.446613088383,1238.889514576502,1.0
C-BAT-02,C,Q3-T-025,U08,4711.945123347221,6457.135647873001,0.5105783302721514,6457.135647873001,8350.882598950007,1893.7469510770052,1.0
B-BAT-03,B,Q3-T-026,U05,5395.378918144701,6463.799390379858,0.7658998072294187,6463.799390379858,7536.239724515532,1072.4403341356742,1.0
