relay_trip_id,drone_id,module_id,start_s,arrival_s,link_s,end_s,return_s,turnaround_end_s,charge_end_s,charge_duration_s,energy_kwh,return_soc_fraction,ground_m,cruise_m,hover_agl_m,backhaul_margin_db,backhaul_blocked,horizontal_energy_kwh,climb_energy_kwh,station_energy_kwh
Q3-R-001,R01,R-ENG-01,0.0,411.62231115873317,441.62231115873317,1226.977956606348,1477.3010159543715,1777.3010159543715,2132.177092928864,654.8760769744929,0.3812334202449056,0.880864556173467,277.1443176269531,352.1089782714844,74.96466064453125,7.511029389008797,True,0.11213782032193963,0.019959152702861364,0.24913644722010456
Q3-R-002,R02,R-ENG-02,0.0,608.1032424286232,638.1032424286232,3191.571916040055,3657.973575623626,3957.973575623626,4576.562969508498,918.589393884872,1.030373892639685,0.6780081585500984,537.281005859375,587.281005859375,50.0,2.4694705795379406,True,0.20010510533797018,0.04087558147599962,0.7893932058257153
Q3-R-003,R01,R-ENG-03,1777.3010159543715,2405.8699186909644,2435.8699186909644,9600.0,10068.878555446554,10368.878555446554,11571.317326514982,1502.4387710684275,2.4675415903222833,0.22889325302428654,313.6457214355469,371.41583251953125,57.770111083984375,0.6489723131086578,True,0.24765885349873148,0.021676323090235393,2.1982064137333164
Q3-R-004,R02,R-ENG-04,3957.973575623626,4608.085039952027,4638.085039952027,9600.0,10111.579472751253,10411.579472751253,11338.943468205163,1227.3639954539108,1.7904344503480885,0.44048923426622244,503.21234130859375,625.3161010742188,122.103759765625,1.6126866692443826,True,0.22086864162156822,0.04425845982297262,1.5253073489035476
