trip_id,leg_index,model_id,from_id,to_id,departure_s,arrival_s,handoff_complete_s,remaining_payload_at_departure_kg,remaining_payload_after_handoff_kg,remaining_volume_after_handoff_m3,distance_m,terrain_max_m,cruise_altitude_m,climb_m,descent_m,flight_s,horizontal_energy_kwh,climb_energy_kwh,leg_energy_kwh,delivered_box_ids
Q3-T-001,1,A,O01,S010,390.0,924.968030442988,1134.968030442988,20.0,3.0,0.012000000000000007,4784.494851643982,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,534.968030442988,1.0050384711517784,0.10489088245391848,1.1099293536056969,S010-MED-01;S010-WAT-01
Q3-T-001,2,A,S010,S013,1134.968030442988,1361.6290185067037,1541.6290185067037,3.0,0.0,6.938893903907228e-18,1378.672569655213,454.07037353515625,504.07037353515625,152.47037353515623,152.37037353515626,226.66098806371568,0.2502415315627247,0.0421252347992791,0.2923667663620038,S013-MED-01
Q3-T-001,3,A,S013,O01,1541.6290185067037,2070.15255401159,2070.15255401159,0.0,0.0,6.938893903907228e-18,4849.242377230511,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,528.5235355048864,0.872863627901492,0.012579385939704051,0.8854430138411961,
Q3-T-002,1,A,O01,S001,360.0,698.5730843719844,908.5730843719844,22.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,338.57308437198435,0.658423675425001,0.05061236410268149,0.7090360395276825,S001-WAT-06;S001-FOD-02
Q3-T-002,2,A,S001,O01,908.5730843719844,1250.8995020773023,1250.8995020773023,0.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,342.3264177053177,0.54971619183333,0.023593817191653783,0.5733100090249837,
Q3-T-003,1,A,O01,S001,360.0,698.5730843719844,908.5730843719844,17.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,338.57308437198435,0.6191532876011283,0.04786169214057923,0.6670149797417075,S001-MED-01;S001-WAT-05
Q3-T-003,2,A,S001,O01,908.5730843719844,1250.8995020773023,1250.8995020773023,0.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,342.3264177053177,0.54971619183333,0.023593817191653783,0.5733100090249837,
Q3-T-004,1,A,O01,S001,360.0,698.5730843719844,908.5730843719844,17.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,338.57308437198435,0.6191532876011283,0.04786169214057923,0.6670149797417075,S001-MED-02;S001-WAT-01
Q3-T-004,2,A,S001,O01,908.5730843719844,1250.8995020773023,1250.8995020773023,0.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,342.3264177053177,0.54971619183333,0.023593817191653783,0.5733100090249837,
Q3-T-005,1,B,O01,S007,360.0,855.7776994901417,1065.7776994901417,20.0,0.0,0.0,4534.460566815014,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,495.7776994901415,0.8448769870363427,0.12362121412595113,0.9684982011622939,S007-WAT-01;S007-HYG-01
