drone_id,model_id,trip_count,operation_time_s,last_return_s,utilization,energy_kwh,total_weight_kg
U01,A,3,5924.384472931741,6302.095032986477,0.9117119753672642,6.8673040414048625,62.0
U02,A,4,6110.47180317401,6432.557098511881,0.9403492199993708,6.825862046650374,88.0
U03,A,3,5758.894417164285,5758.894417164285,0.8862444746780793,6.735626363274637,51.0
U04,A,3,5034.145779161512,6401.703176565745,0.7747118732040805,6.5742045808836025,61.0
U05,B,4,6072.894020685815,6463.799390379858,0.9345663214621867,6.829516806044347,84.0
U06,B,3,5612.79581843027,5612.79581843027,0.8637611529661339,7.570794300650848,78.0
U07,C,3,6498.087809524741,6498.087809524741,1.0,14.849954089293288,196.0
U08,C,3,6457.135647873001,6457.135647873001,0.9936978134410999,15.198978176624173,138.0
