relay_trip_id,relay_drone_id,energy_module_id,model_id,site_id,start_s,arrival_s,link_complete_s,service_end_s,return_s,turnaround_end_s,energy_kwh,return_soc_fraction,charge_duration_s,charge_end_s,terrain_ground_m,hover_agl_m,cruise_altitude_m,horizontal_distance_m,outbound_climb_m,outbound_descent_m,inbound_climb_m,inbound_descent_m,outbound_flight_s,inbound_flight_s,horizontal_energy_kwh,climb_energy_kwh,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,served_communication_atoms,hover_lon_deg,hover_lat_deg,hover_altitude_m
Q3-R-001,R01,R-ENG-01,R,GRID-734-634,0.0,411.62231115873317,441.62231115873317,1226.977956606348,1477.3010159543715,1777.3010159543715,0.3812334202449056,0.880864556173467,654.8760769744929,2132.177092928864,277.1443176269531,74.96466064453125,352.1089782714844,2632.800998862931,224.4089782714844,0.0,0.0,224.4089782714844,231.62231115873317,250.32305934802352,0.11213782032193963,0.019959152702861364,0.132096973024801,0.009166666666666668,0.2399697805534379,49,109.2088888888889,23.020833333333332,352.1089782714844
Q3-R-002,R02,R-ENG-02,R,GRID-782-878,0.0,608.1032424286232,638.1032424286232,3191.571916040055,3657.973575623626,3957.973575623626,1.030373892639685,0.6780081585500984,918.589393884872,4576.562969508498,537.281005859375,50.0,587.281005859375,4698.119864456692,459.581005859375,0.0,0.0,459.581005859375,428.1032424286232,466.40165958357113,0.20010510533797018,0.04087558147599962,0.2409806868139698,0.009166666666666668,0.7802265391590487,162,109.27666666666667,23.0075,587.281005859375
Q3-R-003,R01,R-ENG-03,R,GRID-590-730,1777.3010159543715,2405.8699186909644,2435.8699186909644,9600.0,10068.878555446554,10368.878555446554,2.4675415903222833,0.22889325302428654,1502.4387710684275,11571.317326514982,313.6457214355469,57.770111083984375,371.41583251953125,5814.599169100652,243.71583251953126,0.0,0.0,243.71583251953126,448.5689027365929,468.8785554465539,0.24765885349873148,0.021676323090235393,0.2693351765889669,0.009166666666666668,2.18903974706665,311,109.23555555555556,23.06083333333333,371.41583251953125
Q3-R-004,R02,R-ENG-04,R,GRID-642-606,3957.973575623626,4608.085039952027,4638.085039952027,9600.0,10111.579472751253,10411.579472751253,1.7904344503480885,0.44048923426622244,1227.3639954539108,11338.943468205163,503.21234130859375,122.103759765625,625.3161010742188,5185.611585897689,497.61610107421876,0.0,0.0,497.61610107421876,470.11146432840064,511.5794727512522,0.22086864162156822,0.04425845982297262,0.2651271014445408,0.009166666666666668,1.516140682236881,127,109.20111111111112,23.046388888888888,625.3161010742188
