battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,2,U01;U03,0.30289176070207857,7165.1351282515825,2567.143127520979
A-BAT-02,A,2,U02,0.6214498942197788,5133.997537540645,1862.5706626517244
A-BAT-03,A,2,U03;U04,0.5499009679668809,4806.458089262729,1943.4448495089878
A-BAT-04,A,3,U01;U04,0.26479245600713897,7857.472983756465,3184.5414401940893
A-BAT-05,A,2,U01;U02,0.2672846979903778,7754.624925598986,2322.985417749946
A-BAT-06,A,2,U02;U03,0.43162345032576754,7671.446613088383,2420.1803116803885
B-BAT-01,B,2,U05;U06,0.2698453002436507,7545.0639646746085,3316.7488008965856
B-BAT-02,B,2,U05;U06,0.4759415663934575,6970.413536396041,3013.044513028991
B-BAT-03,B,2,U05,0.7658998072294187,7536.239724515532,2666.608676382297
B-BAT-04,B,1,U06,0.28246183311920514,5303.369188338792,1910.3994892600442
C-BAT-01,C,2,U07,0.23131524452883678,8996.90477971226,4035.772016934588
C-BAT-02,C,2,U08,0.5105783302721514,8350.882598950007,4116.637501048344
C-BAT-03,C,1,U07,0.23718897742353362,6548.087008835842,2486.090548915677
C-BAT-04,C,1,U08,0.230883497636599,7211.69754513459,2499.752421787369
