drone_id,model_id,trip_count,operation_time_s,last_return_s,utilization,energy_kwh,total_weight_kg
U01,A,2,4373.868783510651,5344.393655094668,0.6732443780778503,5.325983863331368,42.0
U02,A,2,4280.222613051219,4363.507666323339,0.6588299635375657,6.266454179845745,39.0
U03,A,2,3317.2161760582335,3317.2161760582335,0.510599940679421,4.375739281880258,44.0
U04,A,3,5640.994237771573,5800.735483734126,0.8682856860422347,6.665767130991076,55.0
U05,B,4,6289.5882242678545,6289.5882242678545,0.9681200150257482,6.8280227651471765,90.0
U06,B,4,6347.162759351433,6347.162759351433,0.9769821309199413,7.506425675180148,95.0
U07,C,3,6496.703018892318,6496.703018892318,1.0,15.120602859924517,207.0
U08,C,3,6369.803121056786,6369.803121056786,0.9804670311284802,14.96510685880487,186.0
