battery_id,model_id,trip_id,drone_id,task_start_s,return_s,return_soc_fraction,charge_start_s,charge_end_s,charge_duration_s,charged_soc_fraction
A-BAT-01,A,Q2-001,U01,0.0,2405.2793803629984,0.3848245800450396,2405.2793803629984,3705.007426304447,1299.7280459414485,1.0
A-BAT-02,A,Q2-002,U02,0.0,2109.090073643448,0.3426621706938068,2109.090073643448,3463.629251741499,1354.5391780980513,1.0
A-BAT-03,A,Q2-003,U03,0.0,2003.7379819346033,0.32917979229814476,2003.7379819346033,3375.8042519470155,1372.066270012412,1.0
A-BAT-04,A,Q2-004,U04,0.0,1313.4781941236301,0.7085408209292784,1313.4781941236301,2192.375126915568,878.8969327919381,1.0
B-BAT-01,B,Q2-005,U05,0.0,1207.271254843175,0.7154622762870154,1207.271254843175,2367.136642612348,1159.8653877691731,1.0
B-BAT-02,B,Q2-006,U06,0.0,1576.2753989804244,0.5858765453928474,1576.2753989804244,2960.756053632822,1384.4806546523978,1.0
C-BAT-01,C,Q2-007,U07,0.0,1626.1690773291593,0.6599509371566212,1626.1690773291593,3196.27538015648,1570.1063028273206,1.0
C-BAT-02,C,Q2-008,U08,0.0,1494.1690773291593,0.6599509371566212,1494.1690773291593,3064.27538015648,1570.1063028273206,1.0
B-BAT-03,B,Q2-009,U05,1207.271254843175,2395.691727078332,0.7315120586411361,2395.691727078332,3527.737492100363,1132.0457650220308,1.0
A-BAT-05,A,Q2-010,U04,1313.4781941236301,3303.8880057789456,0.47345510055515505,3303.8880057789456,4488.396375057244,1184.5083692782985,1.0
C-BAT-03,C,Q2-011,U08,1494.1690773291593,3795.22576981236,0.23088349763659888,3795.22576981236,6294.978191599729,2499.7524217873693,1.0
B-BAT-04,B,Q2-012,U06,1576.2753989804244,3212.5507979608487,0.5549942914743382,3212.5507979608487,4650.5606927386625,1438.0098947778138,1.0
C-BAT-04,C,Q2-013,U07,1626.1690773291593,4060.611669287649,0.21865846082404838,4060.611669287649,6586.851670835544,2526.240001547895,1.0
A-BAT-06,A,Q2-014,U03,2003.7379819346033,3317.2161760582335,0.6984337006173535,3317.2161760582335,4209.252365255674,892.0361891974404,1.0
A-BAT-04,A,Q2-015,U02,2192.375126915568,4363.507666323339,0.26479245600713897,4363.507666323339,5819.277473514059,1455.7698071907193,1.0
B-BAT-01,B,Q2-016,U05,2395.691727078332,3951.0712929094616,0.544201075477578,3951.0712929094616,5407.789428748326,1456.7181358388646,1.0
B-BAT-02,B,Q2-017,U06,3212.5507979608487,4770.99253104961,0.4759415663934573,4770.99253104961,6346.027149300951,1575.0346182513408,1.0
A-BAT-03,A,Q2-018,U01,3375.8042519470155,5344.393655094668,0.43162345032576754,5344.393655094668,6583.28316967117,1238.889514576502,1.0
A-BAT-02,A,Q2-019,U04,3463.629251741499,5800.735483734126,0.33672249385088304,5800.735483734126,7162.9962417279785,1362.2607579938522,1.0
C-BAT-02,C,Q2-020,U08,3795.22576981236,6369.803121056786,0.2385272078561712,6369.803121056786,8852.99417070175,2483.1910496449627,1.0
B-BAT-03,B,Q2-021,U05,3951.0712929094616,6289.5882242678545,0.3018188983074763,6289.5882242678545,8166.4354672015625,1876.8472429337078,1.0
C-BAT-01,C,Q2-022,U07,4060.611669287649,6496.703018892318,0.23131524452876573,6496.703018892318,8995.519989079992,2498.8169701876745,1.0
B-BAT-04,B,Q2-023,U06,4770.99253104961,6347.162759351433,0.5065811779443199,6347.162759351433,7869.088717581279,1521.9259582298455,1.0
