model_id,box_count,weight_kg,volume_m3,outbound_horizontal_kwh,inbound_horizontal_kwh,outbound_climb_kwh,inbound_climb_kwh,energy_kwh,outbound_flight_s,inbound_flight_s,flight_time_s,preparation_load_s,handoff_s,airborne_service_s,operation_time_s,reserve_fraction,return_soc_fraction,energy_margin_kwh,payload_utilization,volume_utilization,service_id,box_ids,composition,trip_id
C,9,78.0,0.224,1.9511584763395735,0.9396857980056922,0.08950136430288316,0.02591612291237514,3.006261761560524,306.26953866457967,311.89953866457967,618.1690773291593,570.0,504.0,1122.1690773291593,1692.1690773291593,0.2,0.6242172798049346,3.3937382384394765,0.975,0.896,S001,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,"(2, 3, 1, 3)",Q1-001
C,6,76.0,0.17,1.8740717899833972,0.9396857980056922,0.08829106863955817,0.02591612291237514,2.9279647795410226,306.26953866457967,311.89953866457967,618.1690773291593,480.0,396.0,1014.1690773291593,1494.1690773291593,0.2,0.6340044025573721,3.4720352204589777,0.95,0.68,S001,S001-HYG-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,"(0, 0, 1, 5)",Q1-002
B,3,25.0,0.067,1.5709175529462338,1.0587586364405979,0.06791370335197451,0.0242070045042038,2.7217968972430095,590.2871500492321,596.4071500492322,1186.6943000984643,390.0,240.0,1426.6943000984643,1816.6943000984643,0.2,0.3195507756892476,0.47820310275699063,0.8333333333333334,0.9178082191780823,S002,S002-FOD-01;S002-MED-01;S002-WAT-01,"(1, 1, 0, 1)",Q1-003
C,5,56.0,0.14400000000000002,3.330789121862612,2.28040321694898,0.09500372502237323,0.026031840228366857,5.732227904062331,611.3161924076305,620.4961924076305,1231.8123848152609,450.0,360.0,1591.8123848152609,2041.8123848152609,0.2,0.28347151199220866,0.6677720959376696,0.7,0.5760000000000001,S002,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,"(0, 1, 1, 3)",Q1-004
B,3,25.0,0.067,1.5395193405359613,1.0375970366508283,0.16265339427566533,0.06042780558798049,2.8001975770504353,718.2349851050219,732.2883184383552,1450.523303543377,390.0,240.0,1690.523303543377,2080.523303543377,0.2,0.2999506057373912,0.3998024229495649,0.8333333333333334,0.9178082191780823,S003,S003-FOD-01;S003-MED-01;S003-WAT-01,"(1, 1, 0, 1)",Q1-005
C,5,56.0,0.14400000000000002,3.264216039051278,2.234824386632553,0.2275340259922918,0.06498313247076672,5.791557584146889,769.5056748022876,790.5856748022875,1560.091349604575,450.0,360.0,1920.091349604575,2370.091349604575,0.2,0.27605530198163886,0.6084424158531112,0.7,0.5760000000000001,S003,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,"(0, 1, 1, 3)",Q1-006
C,6,59.0,0.156,3.602238784724497,2.3737527535745127,0.1451809921476725,0.049453536521345785,6.170626066968028,707.4983462416002,717.5583462416001,1425.0566924832003,480.0,396.0,1821.0566924832003,2301.0566924832005,0.2,0.2286717416289965,0.2293739330319724,0.7375,0.624,S004,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,"(1, 1, 1, 3)",Q1-007
C,6,59.0,0.156,2.4656844556814796,1.624802134422475,0.10663536953547162,0.0382415268079122,4.235363486447338,497.2302622628905,503.9602622628905,1001.190524525781,480.0,396.0,1397.190524525781,1877.190524525781,0.2,0.47057956419408276,2.1646365135526624,0.7375,0.624,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,"(1, 1, 1, 3)",Q1-008
C,6,59.0,0.156,1.4877426159524147,0.9803717472042289,0.12793280663198262,0.014928045299186708,2.610975215087813,333.42193398083816,352.13193398083814,685.5538679616764,480.0,396.0,1081.5538679616764,1561.5538679616764,0.2,0.6736280981140234,3.789024784912187,0.7375,0.624,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,"(1, 1, 1, 3)",Q1-009
C,5,45.0,0.129,1.8053217808781394,1.3952186359430814,0.1838174735691643,0.04757188593111039,3.4319297763214953,537.7432286649463,559.8232286649462,1097.5664573298925,450.0,360.0,1457.5664573298925,1907.5664573298925,0.2,0.5710087779598131,2.968070223678505,0.5625,0.516,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,"(1, 1, 1, 2)",Q1-010
