mask,transport_workload_s,relay_workload_s,joint_workload_s,transport_trips,relay_copies,boxes,weight_kg,volume_m3,transport_energy_kwh,relay_energy_kwh,joint_makespan_s,K,group_id,services,trip_ids,relay_ids,transport_A,source_ID_locked_transport_A,transport_B,source_ID_locked_transport_B,transport_C,source_ID_locked_transport_C,battery_A,source_ID_locked_battery_A,battery_B,source_ID_locked_battery_B,battery_C,source_ID_locked_battery_C,relay_drone,source_ID_locked_relay_drone,relay_energy,source_ID_locked_relay_energy
1,42542.910699169166,10722.506164765258,53265.41686393443,22,3,69,654.0,1.726,65.71229387296303,3.0331510632472813,6636.184296262294,2,K2-G1,S001;S002;S003;S004;S005;S008;S009;S010;S011;S012;S013;S014;S015,Q3-T-001;Q3-T-002;Q3-T-003;Q3-T-004;Q3-T-008;Q3-T-009;Q3-T-010;Q3-T-011;Q3-T-012;Q3-T-013;Q3-T-014;Q3-T-015;Q3-T-016;Q3-T-017;Q3-T-018;Q3-T-019;Q3-T-020;Q3-T-021;Q3-T-022;Q3-T-023;Q3-T-024;Q3-T-025,Q3-R-002;Q3-R-003;Q3-R-004,4,4,2,2,2,2,6,6,4,4,4,4,2,2,3,3
6,4774.104665922243,1175.2440964090906,5949.348762331334,3,1,11,104.0,0.28500000000000003,6.034504517442785,0.2889382503838475,1636.2753989802832,2,K2-G2,S006;S007,Q3-T-005;Q3-T-006;Q3-T-007,Q3-R-001,0,0,2,2,1,1,0,0,2,2,1,1,1,1,1,1
