K,group_id,source_communication_row,transport_trip_id,source_relay_trip_id,local_relay_trip_id,start_s,end_s,mode
3,K3-G1,63,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1892.5831194349787,1892.5831194349787,中继
3,K3-G1,64,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1892.5831194349787,1926.583946078916,中继
3,K3-G1,65,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1926.583946078916,1926.583946078916,中继
3,K3-G1,66,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1926.583946078916,1967.6820449241907,中继
3,K3-G1,67,Q3-T-001,,,1967.6820449241907,1967.6820449241907,直连
3,K3-G1,68,Q3-T-001,,,1967.6820449241907,2060.2293374175356,直连
3,K3-G1,69,Q3-T-001,,,2060.2293374175356,2060.2293374175356,直连
3,K3-G1,70,Q3-T-001,,,2060.2293374175356,2094.9344765772494,直连
3,K3-G1,71,Q3-T-001,,,2094.9344765772494,2094.9344765772494,直连
3,K3-G1,72,Q3-T-001,,,2094.9344765772494,2296.6866508708545,直连
3,K3-G1,73,Q3-T-001,,,2296.6866508708545,2296.6866508708545,直连
3,K3-G1,74,Q3-T-001,,,2296.6866508708545,2371.6815375772926,直连
3,K3-G1,75,Q3-T-001,,,2371.6815375772926,2371.6815375772926,直连
3,K3-G1,76,Q3-T-001,,,2371.6815375772926,2382.8561201307457,直连
3,K3-G1,77,Q3-T-001,,,2382.8561201307457,2382.8561201307457,直连
3,K3-G1,78,Q3-T-001,,,2382.8561201307457,2392.5901102691555,直连
3,K3-G1,79,Q3-T-001,,,2392.5901102691555,2392.5901102691555,直连
3,K3-G1,80,Q3-T-001,,,2392.5901102691555,2393.756193046496,直连
3,K3-G1,81,Q3-T-001,,,2393.756193046496,2393.756193046496,直连
3,K3-G1,82,Q3-T-001,,,2393.756193046496,2404.8691642945887,直连
3,K3-G1,83,Q3-T-001,,,2404.8691642945887,2404.8691642945887,直连
3,K3-G1,84,Q3-T-001,,,2404.8691642945887,2405.279380363042,直连
3,K3-G1,85,Q3-T-001,,,2405.279380363042,2405.279380363042,直连
3,K3-G1,86,Q3-T-002,,,360.0,360.0,直连
3,K3-G1,87,Q3-T-002,,,360.0,360.34184672371094,直连
3,K3-G1,88,Q3-T-002,,,360.34184672371094,360.34184672371094,直连
3,K3-G1,89,Q3-T-002,,,360.34184672371094,369.60265609712184,直连
3,K3-G1,90,Q3-T-002,,,369.60265609712184,369.60265609712184,直连
3,K3-G1,91,Q3-T-002,,,369.60265609712184,370.5743917449054,直连
3,K3-G1,92,Q3-T-002,,,370.5743917449054,370.5743917449054,直连
3,K3-G1,93,Q3-T-002,,,370.5743917449054,378.6860501935803,直连
3,K3-G1,94,Q3-T-002,,,378.6860501935803,378.6860501935803,直连
3,K3-G1,95,Q3-T-002,,,378.6860501935803,387.99820232145794,直连
3,K3-G1,96,Q3-T-002,,,387.99820232145794,387.99820232145794,直连
3,K3-G1,97,Q3-T-002,,,387.99820232145794,408.45220336914065,直连
3,K3-G1,98,Q3-T-002,,,408.45220336914065,408.45220336914065,直连
3,K3-G1,99,Q3-T-002,,,408.45220336914065,542.4228357746762,直连
3,K3-G1,100,Q3-T-002,,,542.4228357746762,542.4228357746762,直连
3,K3-G1,101,Q3-T-002,,,542.4228357746762,595.2985493120008,直连
3,K3-G1,102,Q3-T-002,,,595.2985493120008,595.2985493120008,直连
3,K3-G1,103,Q3-T-002,,,595.2985493120008,607.6266838664694,直连
3,K3-G1,104,Q3-T-002,,,607.6266838664694,607.6266838664694,直连
3,K3-G1,105,Q3-T-002,,,607.6266838664694,662.9504403290156,直连
3,K3-G1,106,Q3-T-002,,,662.9504403290156,662.9504403290156,直连
3,K3-G1,107,Q3-T-002,,,662.9504403290156,688.4143651774021,直连
3,K3-G1,108,Q3-T-002,,,688.4143651774021,688.4143651774021,直连
3,K3-G1,109,Q3-T-002,,,688.4143651774021,694.3842982433409,直连
3,K3-G1,110,Q3-T-002,,,694.3842982433409,694.3842982433409,直连
3,K3-G1,111,Q3-T-002,,,694.3842982433409,697.0820771027705,直连
3,K3-G1,112,Q3-T-002,,,697.0820771027705,697.0820771027705,直连
3,K3-G1,113,Q3-T-002,,,697.0820771027705,698.5730843719844,直连
3,K3-G1,114,Q3-T-002,,,698.5730843719844,698.5730843719844,直连
3,K3-G1,115,Q3-T-002,,,698.5730843719844,744.679230704014,直连
3,K3-G1,116,Q3-T-002,,,744.679230704014,744.679230704014,直连
3,K3-G1,117,Q3-T-002,,,744.679230704014,864.805648987166,直连
3,K3-G1,118,Q3-T-002,,,864.805648987166,864.805648987166,直连
3,K3-G1,119,Q3-T-002,,,864.805648987166,908.5730843719844,直连
3,K3-G1,120,Q3-T-002,,,908.5730843719844,908.5730843719844,直连
3,K3-G1,121,Q3-T-002,,,908.5730843719844,909.8155904296625,直连
3,K3-G1,122,Q3-T-002,,,909.8155904296625,909.8155904296625,直连
3,K3-G1,123,Q3-T-002,,,909.8155904296625,912.0637394791872,直连
3,K3-G1,124,Q3-T-002,,,912.0637394791872,912.0637394791872,直连
