service_id,model_id,payload_kg,energy_fraction_percent
S011,A,0.0,23.941867308183795
S011,A,0.20833333333333334,23.946514253949967
S011,A,0.4166666666666667,23.95257849245649
S011,A,0.625,23.95956748282906
S011,A,0.8333333333333334,23.96730647000537
S011,A,1.0416666666666667,23.975695120324136
S011,A,1.25,23.98466625199384
S011,A,1.4583333333333335,23.994170969188364
S011,A,1.6666666666666667,24.004171748851753
S011,A,1.875,24.014638718527255
S011,A,2.0833333333333335,24.025547447505883
S011,A,2.291666666666667,24.03687754104153
S011,A,2.5,24.048611696996236
S011,A,2.7083333333333335,24.06073504590881
S011,A,2.916666666666667,24.07323467356428
S011,A,3.125,24.08609926588837
S011,A,3.3333333333333335,24.09931883860837
S011,A,3.541666666666667,24.112884527327136
S011,A,3.75,24.126788421701153
S011,A,3.9583333333333335,24.141023432493753
S011,A,4.166666666666667,24.155583183583616
S011,A,4.375,24.170461923223392
S011,A,4.583333333333334,24.185654450361348
S011,A,4.791666666666667,24.20115605290113
S011,A,5.0,24.21696245553275
S011,A,5.208333333333334,24.23306977531753
S011,A,5.416666666666667,24.24947448361471
S011,A,5.625,24.266173373239678
S011,A,5.833333333333334,24.2831635299729
S011,A,6.041666666666667,24.300442307713187
S011,A,6.25,24.318007306704637
S011,A,6.458333333333334,24.335856354372375
S011,A,6.666666666666667,24.353987488385215
S011,A,6.875,24.372398941629925
S011,A,7.083333333333334,24.3910891288349
S011,A,7.291666666666667,24.410056634623498
S011,A,7.5,24.429300202812588
S011,A,7.708333333333334,24.448818726799992
S011,A,7.916666666666667,24.468611240908064
S011,A,8.125,24.488676912570195
S011,A,8.333333333333334,24.509015035262685
S011,A,8.541666666666668,24.529625022098664
S011,A,8.75,24.55050640001126
S011,A,8.958333333333334,24.57165880446352
S011,A,9.166666666666668,24.59308197463018
S011,A,9.375,24.61477574900352
S011,A,9.583333333333334,24.636740061381563
S011,A,9.791666666666668,24.658974937201528
S011,A,10.0,24.68148049018636
S011,A,10.208333333333334,24.70425691927546
S011,A,10.416666666666668,24.72730450581424
S011,A,10.625,24.75062361097998
S011,A,10.833333333333334,24.774214673423735
S011,A,11.041666666666668,24.798078207110592
S011,A,11.25,24.8222147993419
S011,A,11.458333333333334,24.84662510894544
S011,A,11.666666666666668,24.87130986462041
S011,A,11.875,24.89626986342568
S011,A,12.083333333333334,24.92150596940095
S011,A,12.291666666666668,24.947019112311303
S011,A,12.5,24.97281028650661
S011,A,12.708333333333334,24.99888054988829
S011,A,12.916666666666668,25.02523102297614
S011,A,13.125,25.051862888069266
S011,A,13.333333333333334,25.078777388495045
S011,A,13.541666666666668,25.105975827941208
S011,A,13.75,25.1334595698661
S011,A,13.958333333333334,25.16123003698289
S011,A,14.166666666666668,25.189288710813805
S011,A,14.375,25.217637131310887
S011,A,14.583333333333334,25.246276896539843
S011,A,14.791666666666668,25.275209662424235
S011,A,15.0,25.304437142547204
S011,A,15.208333333333334,25.333961108008296
S011,A,15.416666666666668,25.36378338733311
S011,A,15.625,25.39390586643393
S011,A,15.833333333333334,25.424330488619162
S011,A,16.041666666666668,25.45505925465028
S011,A,16.25,25.486094222844528
S011,A,16.458333333333336,25.51743750922202
S011,A,16.666666666666668,25.549091287696157
S011,A,16.875,25.581057790306144
S011,A,17.083333333333336,25.613339307490584
S011,A,17.291666666666668,25.645938188401423
S011,A,17.5,25.678856841257286
S011,A,17.708333333333336,25.71209773373571
S011,A,17.916666666666668,25.74566339340351
