方案,运输架次,中继架次,联合完成时间_s,总能耗_kwh,严格不可拆单元数,允许中继复制
旧Q3独立寻优对照,26,4,6570.184296262294,74.72817742100005,2,False
最终Q3严格继承主方案,25,4,6636.184296262294,75.06888770403694,3,False
