service_id,model_id,payload_kg,energy_fraction_percent
S015,A,0.0,51.26246395580405
S015,A,0.20833333333333334,51.27390315225351
S015,A,0.4166666666666667,51.28837540771561
S015,A,0.625,51.30482666645767
S015,A,0.8333333333333334,51.32288294616701
S015,A,1.0416666666666667,51.342329529088474
S015,A,1.25,51.363022643697356
S015,A,1.4583333333333335,51.384857651112824
S015,A,1.6666666666666667,51.407754250603986
S015,A,1.875,51.431648514005744
S015,A,2.0833333333333335,51.45648815869512
S015,A,2.291666666666667,51.48222953915926
S015,A,2.5,51.508835628181394
S015,A,2.7083333333333335,51.53627460456334
S015,A,2.916666666666667,51.56451883140617
S015,A,3.125,51.59354409617147
S015,A,3.3333333333333335,51.623329032145485
S015,A,3.541666666666667,51.65385466918963
S015,A,3.75,51.6851040788755
S015,A,3.9583333333333335,51.717062089973794
S015,A,4.166666666666667,51.749715057348475
S015,A,4.375,51.78305067204697
S015,A,4.583333333333334,51.81705780362572
S015,A,4.791666666666667,51.85172636802383
S015,A,5.0,51.88704721591941
S015,A,5.208333333333334,51.923012037679726
S015,A,5.416666666666667,51.95961328188269
S015,A,5.625,51.996844085034375
S015,A,5.833333333333334,52.034698210596886
S015,A,6.041666666666667,52.07316999581556
S015,A,6.25,52.11225430512385
S015,A,6.458333333333334,52.15194648913095
S015,A,6.666666666666667,52.19224234837533
S015,A,6.875,52.23313810116919
S015,A,7.083333333333334,52.27463035497251
S015,A,7.291666666666667,52.31671608082679
S015,A,7.5,52.35939259045357
S015,A,7.708333333333334,52.402657515683124
S015,A,7.916666666666667,52.44650878992956
S015,A,8.125,52.490944631469375
S015,A,8.333333333333334,52.53596352831572
S015,A,8.541666666666668,52.58156422450892
S015,A,8.75,52.6277457076683
S015,A,8.958333333333334,52.67450719767132
S015,A,9.166666666666668,52.721848136342196
S015,A,9.375,52.76976817804844
S015,A,9.583333333333334,52.81826718111535
S015,A,9.791666666666668,52.867345199979546
S015,A,10.0,52.91700247801232
S015,A,10.208333333333334,52.96723944095139
S015,A,10.416666666666668,53.01805669088634
S015,A,10.625,53.06945500074994
S015,A,10.833333333333334,53.12143530927177
S015,A,11.041666666666668,53.17399871635611
S015,A,11.25,53.227146478849654
S015,A,11.458333333333334,53.280880006668255
