phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,mode,relay_trip_id,eligible_relay_indices,selected_margin_mid_db,direct_margin_mid_db,backhaul_margin_db
PH-0001,Q3-T-001,爬升,1,390.0,390.0,0.0,0.0,True,True,COM-00001,直连,,,45.92517525248826,45.92517525248826,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,390.34184672371094,0.0033303621117458347,0.0033303621117458347,True,True,COM-00003,直连,,,56.38238674364703,56.38238674364703,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,399.60265609712184,0.09355164118823557,0.09355164118823557,True,True,COM-00005,直连,,,63.04826031558971,63.04826031558971,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,400.5743917449054,0.10301854948233914,0.10301854948233914,True,True,COM-00007,直连,,,60.56487003084808,60.56487003084808,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,408.6860501935803,0.18204449323756763,0.18204449323756763,True,True,COM-00009,直连,,,50.80570620510426,50.80570620510426,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,417.99820232145794,0.2727659671450406,0.2727659671450406,True,True,COM-00011,直连,,,45.82290764368432,45.82290764368432,
PH-0001,Q3-T-001,爬升,1,492.6455118815104,492.6455118815104,1.0,1.0,True,True,COM-00013,直连,,,32.7598396645181,32.7598396645181,
PH-0002,Q3-T-001,巡航,1,641.0121914181283,641.0121914181283,0.3721187313698662,0.3721187313698662,True,True,COM-00015,直连,,,6.82297430105038,6.82297430105038,
PH-0002,Q3-T-001,巡航,1,648.9339572893757,648.9339572893757,0.39198732636319267,0.39198732636319267,True,True,COM-00017,直连,,,6.382114616510577,6.382114616510577,
PH-0002,Q3-T-001,巡航,1,744.679230704014,744.679230704014,0.6321262159642286,0.6321262159642286,True,True,COM-00019,直连,,,2.2934675070445962,2.2934675070445962,
PH-0002,Q3-T-001,巡航,1,749.3812221939677,749.3812221939677,0.6439192891368449,0.6439192891368449,True,True,COM-00021,直连,,,2.1343308002043955,2.1343308002043955,
PH-0002,Q3-T-001,巡航,1,821.4501659020625,821.4501659020625,0.8246755343233098,0.8246755343233098,True,True,COM-00023,直连,,,-7.673861546209082e-13,-7.673861546209082e-13,
PH-0002,Q3-T-001,巡航,1,825.4654058595361,825.4654058595361,0.8347461647626186,0.8347461647626186,True,False,COM-00025,中继,Q3-R-001,0;1;2,0.2000000000009976,-0.10487469934817284,7.511029389008797
PH-0002,Q3-T-001,巡航,1,880.678511911715,880.678511911715,0.9732262537104599,0.9732262537104599,True,False,COM-00027,中继,Q3-R-002,1;2,13.610115612277099,-1.4321227140815154,2.4694705795379406
PH-0002,Q3-T-001,巡航,1,891.3534161851755,891.3534161851755,1.0,1.0,True,False,COM-00029,中继,Q3-R-002,1,13.479707828576096,-1.6669723827331495,2.4694705795379406
PH-0003,Q3-T-001,下降,1,898.1787454566407,898.1787454566407,0.20304648505311743,0.20304648505311743,True,False,COM-00031,中继,Q3-R-002,1,13.466274082637625,-1.6651696668755562,2.4694705795379406
PH-0003,Q3-T-001,下降,1,904.6688193685209,904.6688193685209,0.39611946997876374,0.39611946997876374,True,False,COM-00033,中继,Q3-R-002,1,13.452217389645583,-1.6635569787613917,2.4694705795379406
PH-0003,Q3-T-001,下降,1,918.4111389498785,918.4111389498785,0.8049392611552698,0.8049392611552698,True,False,COM-00035,中继,Q3-R-002,1,13.418383224606885,-1.6604692118352347,2.4694705795379406
PH-0003,Q3-T-001,下降,1,924.968030442988,924.968030442988,1.0,1.0,True,False,COM-00037,中继,Q3-R-002,1,13.40032137295961,-1.6591526950182356,2.4694705795379406
PH-0004,Q3-T-001,投送交接,1,1134.968030442988,1134.968030442988,1.0,1.0,True,False,COM-00039,中继,Q3-R-002,1,13.40032137295961,-1.6591526950182356,2.4694705795379406
PH-0005,Q3-T-001,爬升,2,1140.432106687246,1140.432106687246,0.10751091082618804,0.10751091082618804,True,False,COM-00041,中继,Q3-R-002,1,13.418383224606885,-1.6604692118352347,2.4694705795379406
PH-0005,Q3-T-001,爬升,2,1151.8840396717108,1151.8840396717108,0.33283861323043645,0.33283861323043645,True,False,COM-00043,中继,Q3-R-002,1,13.452217389645583,-1.6635569787613917,2.4694705795379406
PH-0005,Q3-T-001,爬升,2,1157.2924345982774,1157.2924345982774,0.43925394103153853,0.43925394103153853,True,False,COM-00045,中继,Q3-R-002,1,13.466274082637625,-1.6651696668755562,2.4694705795379406
PH-0005,Q3-T-001,爬升,2,1185.79148828804,1185.79148828804,1.0,1.0,True,False,COM-00047,中继,Q3-R-002,1,13.519448389005305,-1.6752987747760386,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1191.1170346711465,1191.1170346711465,0.04635368687523763,0.04635368687523763,True,False,COM-00049,中继,Q3-R-002,1;2,13.127427428335153,-1.6648991588382387,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1225.977956606348,1225.977956606348,0.3497840099482772,0.3497840099482772,True,False,COM-00051,中继,Q3-R-002,1;2,10.899156914572302,-1.634789053515135,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1238.7653270274513,1238.7653270274513,0.4610855970188131,0.4610855970188131,True,False,COM-00053,中继,Q3-R-002,1;2,10.200000000000585,-1.6404105349301972,2.4694705795379406
PH-0006,Q3-T-001,巡航,2,1300.6808690926412,1300.6808690926412,1.0,1.0,True,False,COM-00055,中继,Q3-R-002,1;2,7.418478175977327,-1.791619403881441,2.4694705795379406
PH-0007,Q3-T-001,下降,2,1361.6290185067037,1361.6290185067037,1.0,1.0,True,False,COM-00057,中继,Q3-R-002,1;2,7.3889670571714845,-1.7759083300417018,2.4694705795379406
PH-0008,Q3-T-001,投送交接,2,1541.6290185067037,1541.6290185067037,1.0,1.0,True,False,COM-00059,中继,Q3-R-002,1;2,7.3889670571714845,-1.7759083300417018,2.4694705795379406
PH-0009,Q3-T-001,爬升,3,1557.4562930835266,1557.4562930835266,1.0,1.0,True,False,COM-00061,中继,Q3-R-002,1;2,7.401164780866878,-1.7798932090982902,2.4694705795379406
PH-0010,Q3-T-001,巡航,3,1591.4571197274638,1591.4571197274638,0.08413890005643894,0.08413890005643894,True,False,COM-00063,中继,Q3-R-002,0;1;2,7.751282071593323,-1.0187232705291507,2.4694705795379406
PH-0010,Q3-T-001,巡航,3,1632.5552185727386,1632.5552185727386,0.18584080476200668,0.18584080476200668,True,True,COM-00065,直连,,,-2.1316282072803006e-13,-2.1316282072803006e-13,
PH-0010,Q3-T-001,巡航,3,1725.1025110660835,1725.1025110660835,0.414859571721311,0.414859571721311,True,True,COM-00067,直连,,,2.8525914180765,2.8525914180765,
