trip_id,drone_id,leg_index,from_id,to_id,phase,start_s,end_s,phase_id,p0_lon_deg,p0_lat_deg,p0_altitude_m,p1_lon_deg,p1_lat_deg,p1_altitude_m
Q3-T-001,U01,1,O01,S010,爬升,390.0,492.6455118815104,PH-0001,109.2308517,23.0085095,127.7,109.2308517,23.0085095,435.63653564453125
Q3-T-001,U01,1,O01,S010,巡航,492.6455118815104,891.3534161851755,PH-0002,109.2308517,23.0085095,435.63653564453125,109.2760168,23.0194009,435.63653564453125
Q3-T-001,U01,1,O01,S010,下降,891.3534161851755,924.968030442988,PH-0003,109.2760168,23.0194009,435.63653564453125,109.2760168,23.0194009,351.6
Q3-T-001,U01,1,O01,S010,投送交接,924.968030442988,1134.968030442988,PH-0004,109.2760168,23.0194009,351.6,109.2760168,23.0194009,351.6
Q3-T-001,U01,2,S010,S013,爬升,1134.968030442988,1185.79148828804,PH-0005,109.2760168,23.0194009,351.6,109.2760168,23.0194009,504.07037353515625
Q3-T-001,U01,2,S010,S013,巡航,1185.79148828804,1300.6808690926412,PH-0006,109.2760168,23.0194009,504.07037353515625,109.2713839,23.0310882,504.07037353515625
Q3-T-001,U01,2,S010,S013,下降,1300.6808690926412,1361.6290185067037,PH-0007,109.2713839,23.0310882,504.07037353515625,109.2713839,23.0310882,351.7
Q3-T-001,U01,2,S010,S013,投送交接,1361.6290185067037,1541.6290185067037,PH-0008,109.2713839,23.0310882,351.7,109.2713839,23.0310882,351.7
Q3-T-001,U01,3,S013,O01,爬升,1541.6290185067037,1557.4562930835266,PH-0009,109.2713839,23.0310882,351.7,109.2713839,23.0310882,399.18182373046875
Q3-T-001,U01,3,S013,O01,巡航,1557.4562930835266,1961.5598245194026,PH-0010,109.2713839,23.0310882,399.18182373046875,109.2308517,23.0085095,399.18182373046875
Q3-T-001,U01,3,S013,O01,下降,1961.5598245194026,2070.15255401159,PH-0011,109.2308517,23.0085095,399.18182373046875,109.2308517,23.0085095,127.7
