trip_id,phase,start_s,end_s,duration_s,mode
Q3-T-001,爬升,390.0,390.34184672371094,0.34184672371093916,直连
Q3-T-001,爬升,390.34184672371094,399.60265609712184,9.260809373410911,直连
Q3-T-001,爬升,399.60265609712184,400.5743917449054,0.971735647783566,直连
Q3-T-001,爬升,400.5743917449054,408.6860501935803,8.111658448674872,直连
Q3-T-001,爬升,408.6860501935803,417.99820232145794,9.312152127877651,直连
Q3-T-001,爬升,417.99820232145794,492.6455118815104,74.64730956005246,直连
Q3-T-001,巡航,492.6455118815104,641.0121914181283,148.36667953661788,直连
Q3-T-001,巡航,641.0121914181283,667.9242782785869,26.912086860458658,直连
Q3-T-001,巡航,667.9242782785869,743.679230704014,75.75495242542705,直连
Q3-T-001,巡航,743.679230704014,744.3524674874964,0.6732367834824021,直连
Q3-T-001,巡航,744.3524674874964,821.4501659020625,77.09769841456611,直连
Q3-T-001,巡航,821.4501659020625,824.4654058595361,3.0152399574735713,中继
Q3-T-001,巡航,824.4654058595361,837.9538870640827,13.4884812045466,中继
Q3-T-001,巡航,837.9538870640827,891.3534161851755,53.39952912109287,中继
Q3-T-001,下降,891.3534161851755,898.1787454566407,6.82532927146523,中继
Q3-T-001,下降,898.1787454566407,904.6688193685209,6.490073911880049,中继
Q3-T-001,下降,904.6688193685209,918.4111389498786,13.742319581357718,中继
Q3-T-001,下降,918.4111389498786,924.968030442988,6.556891493109495,中继
Q3-T-001,投送交接,924.968030442988,1134.968030442988,210.0,中继
Q3-T-001,爬升,1134.968030442988,1140.432106687246,5.4640762442579005,中继
Q3-T-001,爬升,1140.432106687246,1151.8840396717108,11.45193298446474,中继
Q3-T-001,爬升,1151.8840396717108,1157.2924345982774,5.4083949265666895,中继
Q3-T-001,爬升,1157.2924345982774,1185.79148828804,28.499053689762633,中继
Q3-T-001,巡航,1185.79148828804,1226.977956606348,41.186468318308016,中继
Q3-T-001,巡航,1226.977956606348,1242.607476980685,15.62952037433698,中继
Q3-T-001,巡航,1242.607476980685,1300.6808690926412,58.07339211195616,中继
Q3-T-001,下降,1300.6808690926412,1361.6290185067037,60.94814941406253,中继
Q3-T-001,投送交接,1361.6290185067037,1541.6290185067037,180.0,中继
Q3-T-001,爬升,1541.6290185067037,1557.4562930835266,15.827274576822902,中继
Q3-T-001,巡航,1557.4562930835266,1578.6217135572908,21.165420473764183,中继
Q3-T-001,巡航,1578.6217135572908,1632.5552185727386,53.93350501544787,中继
Q3-T-001,巡航,1632.5552185727386,1703.5234184567341,70.96819988399558,直连
Q3-T-001,巡航,1703.5234184567341,1759.8076502257975,56.284231769063354,直连
Q3-T-001,巡航,1759.8076502257975,1961.5598245194026,201.752174293605,直连
Q3-T-001,下降,1961.5598245194026,2036.5547112258405,74.99488670643787,直连
Q3-T-001,下降,2036.5547112258405,2047.7292937792936,11.17458255345316,直连
Q3-T-001,下降,2047.7292937792936,2057.4632839177034,9.733990138409842,直连
Q3-T-001,下降,2057.4632839177034,2058.6293666950437,1.1660827773402709,直连
Q3-T-001,下降,2058.6293666950437,2069.7423379431366,11.112971248093084,直连
