phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,guard_margin_db,guard_relay_trip_id
PH-0001,Q3-T-001,爬升,1,390.0,390.0,0.0,0.0,True,True,COM-00001,0.2,
PH-0001,Q3-T-001,爬升,1,390.0,390.34184672371094,0.0,0.0033303621117458347,False,True,COM-00002,0.2,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,390.34184672371094,0.0033303621117458347,0.0033303621117458347,True,True,COM-00003,0.2,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,399.60265609712184,0.0033303621117458347,0.09355164118823557,False,True,COM-00004,0.2,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,399.60265609712184,0.09355164118823557,0.09355164118823557,True,True,COM-00005,0.2,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,400.5743917449054,0.09355164118823557,0.10301854948233914,False,True,COM-00006,0.2,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,400.5743917449054,0.10301854948233914,0.10301854948233914,True,True,COM-00007,0.2,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,408.6860501935803,0.10301854948233914,0.18204449323756763,False,True,COM-00008,0.2,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,408.6860501935803,0.18204449323756763,0.18204449323756763,True,True,COM-00009,0.2,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,417.99820232145794,0.18204449323756763,0.2727659671450406,False,True,COM-00010,0.2,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,417.99820232145794,0.2727659671450406,0.2727659671450406,True,True,COM-00011,0.2,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,442.62231115873317,0.2727659671450406,0.5126606141287319,False,True,COM-00012,0.2,
PH-0001,Q3-T-001,爬升,1,442.62231115873317,442.62231115873317,0.5126606141287319,0.5126606141287319,True,True,COM-00013,0.2,
PH-0001,Q3-T-001,爬升,1,442.62231115873317,492.6455118815104,0.5126606141287319,1.0,False,True,COM-00014,0.2,
PH-0001,Q3-T-001,爬升,1,492.6455118815104,492.6455118815104,1.0,1.0,True,True,COM-00015,0.2,
PH-0002,Q3-T-001,巡航,1,492.6455118815104,639.1032424286232,0.0,0.3673308930328283,False,True,COM-00016,0.2,
PH-0002,Q3-T-001,巡航,1,639.1032424286232,639.1032424286232,0.3673308930328283,0.3673308930328283,True,True,COM-00017,0.2,
PH-0002,Q3-T-001,巡航,1,639.1032424286232,641.0121914181283,0.3673308930328283,0.3721187313698662,False,True,COM-00018,0.2,
PH-0002,Q3-T-001,巡航,1,641.0121914181283,641.0121914181283,0.3721187313698662,0.3721187313698662,True,True,COM-00019,0.2,
PH-0002,Q3-T-001,巡航,1,641.0121914181283,648.9339572893757,0.3721187313698662,0.39198732636319267,False,True,COM-00020,0.2,
PH-0002,Q3-T-001,巡航,1,648.9339572893757,648.9339572893757,0.39198732636319267,0.39198732636319267,True,True,COM-00021,0.2,
