extra_loss_db,required_airborne_service_s,outage_duration_sum_s,coverage_fraction,boundary_points_checked,uncovered_boundary_points,continuous_feasible
0.0,37268.80976894538,0,1.0,1058,0,True
0.05,37268.80976894538,0,1.0,1058,0,True
0.1,37268.80976894538,0,1.0,1058,0,True
0.2,37268.80976894538,0,1.0,1062,0,True
0.5,37268.80976894538,1214.2172578107138,0.9674200151456817,1062,39,False
1.0,37268.80976894538,4706.61758130327,0.8737116207766552,1096,134,False
2.0,37268.80976894538,11919.824778710254,0.6801662072760217,1124,278,False
