phase_id,link_endpoint,occluding_cells,tested_terrain_cells,shadow_intervals,partition_intervals
PH-0132,Q3-R-001,1,103,1,1
PH-0132,Q3-R-002,0,173,0,1
PH-0132,Q3-R-003,20,103,1,1
PH-0132,Q3-R-004,9,173,1,1
PH-0133,G01,82,114,1,1
PH-0133,Q3-R-001,1,103,1,2
PH-0133,Q3-R-002,0,173,0,1
PH-0133,Q3-R-003,20,103,1,2
PH-0133,Q3-R-004,9,173,1,2
PH-0134,G01,65,3000,5,9
PH-0134,Q3-R-001,9,90,1,3
PH-0134,Q3-R-002,0,1174,0,2
PH-0134,Q3-R-003,0,275,0,1
PH-0134,Q3-R-004,0,641,0,1
PH-0135,G01,49,88,1,1
PH-0135,Q3-R-001,25,73,1,1
PH-0135,Q3-R-002,0,188,0,1
PH-0135,Q3-R-003,25,107,1,2
PH-0135,Q3-R-004,0,90,0,1
PH-0136,G01,49,88,1,1
PH-0136,Q3-R-001,25,73,1,1
PH-0136,Q3-R-002,0,188,0,1
PH-0136,Q3-R-003,25,107,1,1
PH-0136,Q3-R-004,0,90,0,1
PH-0137,G01,49,88,1,1
PH-0137,Q3-R-001,25,73,1,1
PH-0137,Q3-R-002,0,188,0,1
PH-0137,Q3-R-003,25,107,1,2
PH-0137,Q3-R-004,0,90,0,1
PH-0138,G01,3,88,1,2
PH-0138,Q3-R-001,4,26,1,3
PH-0138,Q3-R-002,0,1695,0,2
PH-0138,Q3-R-003,0,35,0,1
PH-0138,Q3-R-004,0,433,0,1
PH-0139,G01,1,1,1,2
PH-0139,Q3-R-001,24,122,1,2
PH-0139,Q3-R-002,47,170,1,2
PH-0139,Q3-R-003,33,202,1,2
PH-0139,Q3-R-004,14,241,1,2
PH-0140,G01,1,1,1,2
PH-0140,Q3-R-001,24,122,1,2
PH-0140,Q3-R-002,47,170,1,2
PH-0140,Q3-R-003,33,202,1,2
PH-0140,Q3-R-004,14,241,1,2
PH-0141,G01,3,88,1,2
PH-0141,Q3-R-001,4,26,1,3
PH-0141,Q3-R-002,0,1695,0,2
PH-0141,Q3-R-003,0,35,0,1
PH-0141,Q3-R-004,0,433,0,1
PH-0142,G01,49,88,1,1
PH-0142,Q3-R-001,25,73,1,1
PH-0142,Q3-R-002,0,188,0,1
PH-0142,Q3-R-003,25,107,1,2
PH-0142,Q3-R-004,0,90,0,1
PH-0143,G01,49,88,1,1
PH-0143,Q3-R-001,25,73,1,1
PH-0143,Q3-R-002,0,188,0,1
PH-0143,Q3-R-003,25,107,1,1
PH-0143,Q3-R-004,0,90,0,1
PH-0144,G01,49,88,1,2
PH-0144,Q3-R-001,25,73,1,2
PH-0144,Q3-R-002,0,188,0,1
PH-0144,Q3-R-003,25,107,1,2
PH-0144,Q3-R-004,0,90,0,1
PH-0145,G01,71,2295,1,3
PH-0145,Q3-R-001,19,146,1,4
PH-0145,Q3-R-002,0,42,0,1
PH-0145,Q3-R-003,0,0,0,1
PH-0145,Q3-R-004,0,723,0,3
PH-0146,G01,185,287,1,1
PH-0146,Q3-R-001,101,168,1,1
PH-0146,Q3-R-002,13,209,1,2
PH-0146,Q3-R-003,11,68,1,2
PH-0146,Q3-R-004,0,116,0,1
PH-0147,G01,185,287,1,1
PH-0147,Q3-R-001,101,168,1,1
PH-0147,Q3-R-002,13,209,1,1
PH-0147,Q3-R-003,11,68,1,1
PH-0147,Q3-R-004,0,116,0,1
PH-0148,G01,185,287,1,1
PH-0148,Q3-R-001,101,168,1,1
PH-0148,Q3-R-002,13,209,1,2
PH-0148,Q3-R-003,11,68,1,2
PH-0148,Q3-R-004,0,116,0,1
PH-0149,G01,79,287,1,3
PH-0149,Q3-R-001,63,150,1,5
PH-0149,Q3-R-002,0,275,0,2
PH-0149,Q3-R-003,0,0,0,3
PH-0149,Q3-R-004,3,1416,2,5
PH-0150,G01,1,1,1,2
PH-0150,Q3-R-001,24,122,1,2
PH-0150,Q3-R-002,47,170,1,2
PH-0150,Q3-R-003,33,202,1,2
PH-0150,Q3-R-004,14,241,1,2
PH-0151,G01,1,1,1,2
PH-0151,Q3-R-001,24,122,1,2
PH-0151,Q3-R-002,47,170,1,2
PH-0151,Q3-R-003,33,202,1,2
PH-0151,Q3-R-004,14,241,1,2
PH-0152,G01,8,138,1,3
PH-0152,Q3-R-001,2,22,1,2
PH-0152,Q3-R-002,0,1437,0,2
PH-0152,Q3-R-003,0,0,0,2
PH-0152,Q3-R-004,0,1340,0,1
PH-0153,G01,116,138,1,1
PH-0153,Q3-R-001,68,181,1,1
PH-0153,Q3-R-002,21,274,1,2
PH-0153,Q3-R-003,6,36,1,2
PH-0153,Q3-R-004,0,119,0,1
PH-0154,G01,116,138,1,1
PH-0154,Q3-R-001,68,181,1,1
PH-0154,Q3-R-002,21,274,1,1
PH-0154,Q3-R-003,6,36,1,1
PH-0154,Q3-R-004,0,119,0,1
PH-0155,G01,116,138,1,1
PH-0155,Q3-R-001,68,181,1,2
PH-0155,Q3-R-002,21,274,1,2
PH-0155,Q3-R-003,6,36,1,2
PH-0155,Q3-R-004,0,119,0,1
PH-0156,G01,294,4502,2,3
PH-0156,Q3-R-001,85,150,1,3
PH-0156,Q3-R-002,0,41,0,1
PH-0156,Q3-R-003,0,0,0,2
PH-0156,Q3-R-004,0,792,0,1
PH-0157,G01,185,287,1,1
PH-0157,Q3-R-001,101,168,1,1
PH-0157,Q3-R-002,13,209,1,2
PH-0157,Q3-R-003,11,68,1,2
PH-0157,Q3-R-004,0,116,0,1
PH-0158,G01,185,287,1,1
PH-0158,Q3-R-001,101,168,1,1
PH-0158,Q3-R-002,13,209,1,1
PH-0158,Q3-R-003,11,68,1,1
PH-0158,Q3-R-004,0,116,0,1
PH-0159,G01,185,287,1,1
PH-0159,Q3-R-001,101,168,1,1
PH-0159,Q3-R-002,13,209,1,2
PH-0159,Q3-R-003,11,68,1,2
PH-0159,Q3-R-004,0,116,0,1
PH-0160,G01,79,287,1,3
PH-0160,Q3-R-001,63,150,1,5
PH-0160,Q3-R-002,0,275,0,2
PH-0160,Q3-R-003,0,0,0,3
PH-0160,Q3-R-004,3,1416,2,5
PH-0161,G01,1,1,1,2
PH-0161,Q3-R-001,24,122,1,2
PH-0161,Q3-R-002,47,170,1,2
PH-0161,Q3-R-003,33,202,1,2
PH-0161,Q3-R-004,14,241,1,2
PH-0162,G01,1,1,1,2
PH-0162,Q3-R-001,24,122,1,2
PH-0162,Q3-R-002,47,170,1,2
PH-0162,Q3-R-003,33,202,1,2
PH-0162,Q3-R-004,14,241,1,2
PH-0163,G01,106,324,1,3
PH-0163,Q3-R-001,61,197,1,4
PH-0163,Q3-R-002,0,0,0,2
PH-0163,Q3-R-003,680,5902,1,3
PH-0163,Q3-R-004,0,15,0,1
PH-0164,G01,282,324,1,1
PH-0164,Q3-R-001,78,86,1,1
PH-0164,Q3-R-002,43,185,1,2
PH-0164,Q3-R-003,163,186,1,1
PH-0164,Q3-R-004,0,109,0,1
PH-0165,G01,282,324,1,1
PH-0165,Q3-R-001,78,86,1,1
PH-0165,Q3-R-002,43,185,1,1
PH-0165,Q3-R-003,163,186,1,1
PH-0165,Q3-R-004,0,109,0,1
PH-0166,G01,282,324,1,1
PH-0166,Q3-R-001,78,86,1,1
PH-0166,Q3-R-002,43,185,1,2
PH-0166,Q3-R-003,163,186,1,1
PH-0166,Q3-R-004,0,109,0,1
PH-0167,G01,3782,8870,1,1
PH-0167,Q3-R-001,693,4157,1,1
PH-0167,Q3-R-002,318,472,3,6
PH-0167,Q3-R-003,187,577,1,2
PH-0167,Q3-R-004,0,10,0,2
PH-0168,G01,135,272,1,1
PH-0168,Q3-R-001,26,137,1,1
PH-0168,Q3-R-002,30,38,1,1
PH-0168,Q3-R-003,33,77,1,1
PH-0168,Q3-R-004,0,7,0,1
PH-0169,G01,135,272,1,1
PH-0169,Q3-R-001,26,137,1,1
PH-0169,Q3-R-002,30,38,1,1
PH-0169,Q3-R-003,33,77,1,1
PH-0169,Q3-R-004,0,7,0,1
PH-0170,G01,135,272,1,1
PH-0170,Q3-R-001,26,137,1,2
PH-0170,Q3-R-002,30,38,1,1
PH-0170,Q3-R-003,33,77,1,1
PH-0170,Q3-R-004,0,7,0,1
PH-0171,G01,39,272,1,3
PH-0171,Q3-R-001,0,1174,0,3
PH-0171,Q3-R-002,3,3,1,3
PH-0171,Q3-R-003,123,2415,3,6
PH-0171,Q3-R-004,0,6,0,2
PH-0172,G01,1,1,1,2
PH-0172,Q3-R-001,24,122,1,2
PH-0172,Q3-R-002,47,170,1,2
PH-0172,Q3-R-003,33,202,1,2
PH-0172,Q3-R-004,14,241,1,2
PH-0173,G01,1,1,1,2
PH-0173,Q3-R-001,24,122,1,2
PH-0173,Q3-R-002,47,170,1,2
PH-0173,Q3-R-003,33,202,1,2
PH-0173,Q3-R-004,14,241,1,2
PH-0174,G01,40,230,1,3
PH-0174,Q3-R-001,0,22,0,1
PH-0174,Q3-R-002,0,4011,0,1
PH-0174,Q3-R-003,20,476,1,2
PH-0174,Q3-R-004,0,1944,0,1
PH-0175,G01,108,230,1,1
PH-0175,Q3-R-001,0,82,0,1
PH-0175,Q3-R-002,4,179,1,2
PH-0175,Q3-R-003,35,74,1,1
PH-0175,Q3-R-004,0,161,0,1
PH-0176,G01,108,230,1,1
PH-0176,Q3-R-001,0,82,0,1
PH-0176,Q3-R-002,4,179,1,1
PH-0176,Q3-R-003,35,74,1,1
PH-0176,Q3-R-004,0,161,0,1
PH-0177,G01,108,230,1,1
PH-0177,Q3-R-001,0,82,0,1
PH-0177,Q3-R-002,4,179,1,2
PH-0177,Q3-R-003,35,74,1,1
PH-0177,Q3-R-004,0,161,0,1
PH-0178,G01,40,230,1,3
PH-0178,Q3-R-001,0,22,0,1
PH-0178,Q3-R-002,0,4011,0,1
PH-0178,Q3-R-003,20,476,1,2
PH-0178,Q3-R-004,0,1944,0,1
PH-0179,G01,1,1,1,2
PH-0179,Q3-R-001,24,122,1,2
PH-0179,Q3-R-002,47,170,1,2
PH-0179,Q3-R-003,33,202,1,2
PH-0179,Q3-R-004,14,241,1,2
PH-0180,G01,1,1,1,2
PH-0180,Q3-R-001,24,122,1,2
PH-0180,Q3-R-002,47,170,1,2
PH-0180,Q3-R-003,33,202,1,2
PH-0180,Q3-R-004,14,241,1,2
PH-0181,G01,106,324,1,3
PH-0181,Q3-R-001,61,197,1,4
PH-0181,Q3-R-002,0,0,0,2
PH-0181,Q3-R-003,680,5902,1,3
PH-0181,Q3-R-004,0,15,0,1
PH-0182,G01,282,324,1,1
PH-0182,Q3-R-001,78,86,1,1
PH-0182,Q3-R-002,43,185,1,2
PH-0182,Q3-R-003,163,186,1,1
PH-0182,Q3-R-004,0,109,0,1
PH-0183,G01,282,324,1,1
PH-0183,Q3-R-001,78,86,1,1
PH-0183,Q3-R-002,43,185,1,1
PH-0183,Q3-R-003,163,186,1,1
PH-0183,Q3-R-004,0,109,0,1
PH-0184,G01,282,324,1,1
PH-0184,Q3-R-001,78,86,1,1
PH-0184,Q3-R-002,43,185,1,2
PH-0184,Q3-R-003,163,186,1,1
PH-0184,Q3-R-004,0,109,0,1
PH-0185,G01,106,324,1,3
PH-0185,Q3-R-001,61,197,1,4
PH-0185,Q3-R-002,0,0,0,2
PH-0185,Q3-R-003,680,5902,1,3
PH-0185,Q3-R-004,0,15,0,1
PH-0186,G01,1,1,1,2
PH-0186,Q3-R-001,24,122,1,2
PH-0186,Q3-R-002,47,170,1,2
PH-0186,Q3-R-003,33,202,1,2
PH-0186,Q3-R-004,14,241,1,2
PH-0187,G01,1,1,1,2
PH-0187,Q3-R-001,24,122,1,2
PH-0187,Q3-R-002,47,170,1,2
PH-0187,Q3-R-003,33,202,1,2
PH-0187,Q3-R-004,14,241,1,2
PH-0188,G01,79,287,1,3
PH-0188,Q3-R-001,63,150,1,5
PH-0188,Q3-R-002,0,275,0,2
PH-0188,Q3-R-003,0,0,0,3
PH-0188,Q3-R-004,3,1416,2,5
PH-0189,G01,185,287,1,1
PH-0189,Q3-R-001,101,168,1,1
PH-0189,Q3-R-002,13,209,1,2
PH-0189,Q3-R-003,11,68,1,2
PH-0189,Q3-R-004,0,116,0,1
PH-0190,G01,185,287,1,1
PH-0190,Q3-R-001,101,168,1,1
PH-0190,Q3-R-002,13,209,1,1
PH-0190,Q3-R-003,11,68,1,1
PH-0190,Q3-R-004,0,116,0,1
PH-0191,G01,185,287,1,1
PH-0191,Q3-R-001,101,168,1,1
PH-0191,Q3-R-002,13,209,1,2
PH-0191,Q3-R-003,11,68,1,2
PH-0191,Q3-R-004,0,116,0,1
PH-0192,G01,79,287,1,3
PH-0192,Q3-R-001,63,150,1,5
PH-0192,Q3-R-002,0,275,0,2
PH-0192,Q3-R-003,0,0,0,3
PH-0192,Q3-R-004,3,1416,2,5
PH-0193,G01,1,1,1,2
PH-0193,Q3-R-001,24,122,1,2
PH-0193,Q3-R-002,47,170,1,2
PH-0193,Q3-R-003,33,202,1,2
PH-0193,Q3-R-004,14,241,1,2
PH-0194,G01,1,1,1,2
PH-0194,Q3-R-001,24,122,1,2
PH-0194,Q3-R-002,47,170,1,2
PH-0194,Q3-R-003,33,202,1,2
PH-0194,Q3-R-004,14,241,1,2
PH-0195,G01,39,272,1,3
PH-0195,Q3-R-001,0,1174,0,3
PH-0195,Q3-R-002,3,3,1,3
PH-0195,Q3-R-003,123,2415,3,6
PH-0195,Q3-R-004,0,6,0,2
PH-0196,G01,135,272,1,1
PH-0196,Q3-R-001,26,137,1,2
PH-0196,Q3-R-002,30,38,1,1
PH-0196,Q3-R-003,33,77,1,1
PH-0196,Q3-R-004,0,7,0,1
PH-0197,G01,135,272,1,1
PH-0197,Q3-R-001,26,137,1,1
PH-0197,Q3-R-002,30,38,1,1
PH-0197,Q3-R-003,33,77,1,1
PH-0197,Q3-R-004,0,7,0,1
PH-0198,G01,135,272,1,1
PH-0198,Q3-R-001,26,137,1,2
PH-0198,Q3-R-002,30,38,1,1
PH-0198,Q3-R-003,33,77,1,1
PH-0198,Q3-R-004,0,7,0,1
PH-0199,G01,39,272,1,3
PH-0199,Q3-R-001,0,1174,0,3
PH-0199,Q3-R-002,3,3,1,3
PH-0199,Q3-R-003,123,2415,3,6
PH-0199,Q3-R-004,0,6,0,2
PH-0200,G01,1,1,1,2
PH-0200,Q3-R-001,24,122,1,2
PH-0200,Q3-R-002,47,170,1,2
PH-0200,Q3-R-003,33,202,1,2
PH-0200,Q3-R-004,14,241,1,2
PH-0201,G01,1,1,1,2
PH-0201,Q3-R-001,24,122,1,2
PH-0201,Q3-R-002,47,170,1,2
PH-0201,Q3-R-003,33,202,1,2
PH-0201,Q3-R-004,14,241,1,2
PH-0202,G01,8,138,1,3
PH-0202,Q3-R-001,2,22,1,2
PH-0202,Q3-R-002,0,1437,0,2
PH-0202,Q3-R-003,0,0,0,2
PH-0202,Q3-R-004,0,1340,0,1
PH-0203,G01,116,138,1,1
PH-0203,Q3-R-001,68,181,1,1
PH-0203,Q3-R-002,21,274,1,2
PH-0203,Q3-R-003,6,36,1,2
PH-0203,Q3-R-004,0,119,0,1
PH-0204,G01,116,138,1,1
PH-0204,Q3-R-001,68,181,1,1
PH-0204,Q3-R-002,21,274,1,1
PH-0204,Q3-R-003,6,36,1,1
PH-0204,Q3-R-004,0,119,0,1
PH-0205,G01,116,138,1,1
PH-0205,Q3-R-001,68,181,1,1
PH-0205,Q3-R-002,21,274,1,2
PH-0205,Q3-R-003,6,36,1,2
PH-0205,Q3-R-004,0,119,0,1
PH-0206,G01,8,138,1,3
PH-0206,Q3-R-001,2,22,1,2
PH-0206,Q3-R-002,0,1437,0,2
PH-0206,Q3-R-003,0,0,0,2
PH-0206,Q3-R-004,0,1340,0,1
PH-0207,G01,1,1,1,2
PH-0207,Q3-R-001,24,122,1,2
PH-0207,Q3-R-002,47,170,1,2
PH-0207,Q3-R-003,33,202,1,2
PH-0207,Q3-R-004,14,241,1,2
PH-0208,G01,1,1,1,2
PH-0208,Q3-R-001,24,122,1,2
PH-0208,Q3-R-002,47,170,1,2
PH-0208,Q3-R-003,33,202,1,2
PH-0208,Q3-R-004,14,241,1,2
PH-0209,G01,3,88,1,2
PH-0209,Q3-R-001,4,26,1,3
PH-0209,Q3-R-002,0,1695,0,2
PH-0209,Q3-R-003,0,35,0,1
PH-0209,Q3-R-004,0,433,0,1
PH-0210,G01,49,88,1,1
PH-0210,Q3-R-001,25,73,1,1
PH-0210,Q3-R-002,0,188,0,1
PH-0210,Q3-R-003,25,107,1,2
PH-0210,Q3-R-004,0,90,0,1
PH-0211,G01,49,88,1,1
PH-0211,Q3-R-001,25,73,1,1
PH-0211,Q3-R-002,0,188,0,1
PH-0211,Q3-R-003,25,107,1,1
PH-0211,Q3-R-004,0,90,0,1
PH-0212,G01,49,88,1,1
PH-0212,Q3-R-001,25,73,1,1
PH-0212,Q3-R-002,0,188,0,1
PH-0212,Q3-R-003,25,107,1,2
PH-0212,Q3-R-004,0,90,0,1
PH-0213,G01,3,88,1,2
PH-0213,Q3-R-001,4,26,1,3
PH-0213,Q3-R-002,0,1695,0,2
PH-0213,Q3-R-003,0,35,0,1
PH-0213,Q3-R-004,0,433,0,1
PH-0214,G01,1,1,1,2
PH-0214,Q3-R-001,24,122,1,2
PH-0214,Q3-R-002,47,170,1,2
PH-0214,Q3-R-003,33,202,1,2
PH-0214,Q3-R-004,14,241,1,2
