relay_only_shift_s,fixed_assignment_uncovered_duration_s,fixed_assignment_uncovered_points,fixed_assignment_feasible,meaning
0.0,0.0,0,True,不重排运输、不重选保障关系的冻结方案压力测试
1.0,0.0,0,True,不重排运输、不重选保障关系的冻结方案压力测试
2.0,3.9999999999990905,1,False,不重排运输、不重选保障关系的冻结方案压力测试
3.0,7.9999999999990905,1,False,不重排运输、不重选保障关系的冻结方案压力测试
5.0,15.99999999999909,1,False,不重排运输、不重选保障关系的冻结方案压力测试
10.0,38.97037654459166,2,False,不重排运输、不重选保障关系的冻结方案压力测试
30.0,138.97037654459166,5,False,不重排运输、不重选保障关系的冻结方案压力测试
