round,family_rank,seed,hard_late_s,source_hard_late_s,communication_window_violations,weighted_tardiness_s,makespan_s,energy_kwh,trips,weighted_completion_s
initial,1,20261011,0.0,0.0,0,0.0,7872.870370668881,83.6779854209972,29,3431251.192795715
initial,1,20261012,0.0,0.0,0,0.0,7557.245118405315,81.12552130070802,29,3324036.320654328
initial,1,20261013,0.0,0.0,0,0.0,7145.122237740294,78.8636509863402,27,3166647.018506174
polish_1,1,20261021,0.0,0.0,0,0.0,7017.460015077109,75.89392255652605,27,3137640.2396544423
polish_1,1,20261022,0.0,0.0,0,0.0,6769.08522856864,76.78128875378081,27,3051101.0277680703
polish_1,1,20261023,0.0,0.0,0,0.0,6585.699536225688,71.74679839040581,25,2859854.2981692716
polish_2,1,20261024,0.0,0.0,0,0.0,6498.087809524741,71.45224040482611,26,2871582.6993214
polish_2,1,20261025,0.0,0.0,0,0.0,6498.087809524741,71.45224040482611,26,2871582.6993214
polish_2,1,20261026,0.0,0.0,0,0.0,6498.087809524741,71.45224040482611,26,2871582.6993214
