box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S007-HYG-01,Q2-021,S007,C,U07,5261.070836469464,10800.0,,,False,False,8,0.0,,6.0,0.035
S007-MED-01,Q2-011,S007,A,U01,2424.83023639411,3600.0,3600.0,3600.0,True,True,24,0.0,1175.1697636058898,3.0,0.012
S007-WAT-01,Q2-011,S007,A,U01,2454.83023639411,3600.0,3600.0,3600.0,True,False,12,0.0,1145.1697636058898,14.0,0.027
S007-WAT-02,Q2-005,S007,B,U05,1035.7776994902124,3600.0,,,False,False,12,0.0,,14.0,0.027
S008-FOD-01,Q2-016,S008,A,U04,3641.6076874238915,10800.0,,,False,False,8,0.0,,8.0,0.028
S008-HYG-01,Q2-017,S008,B,U06,4195.107939438471,14400.0,,,False,False,6,0.0,,6.0,0.035
S008-MED-01,Q2-015,S008,A,U02,3779.1717182847287,7200.0,7200.0,7200.0,True,True,20,0.0,3420.8282817152713,3.0,0.012
S008-WAT-01,Q2-016,S008,A,U04,3611.6076874238915,7200.0,7200.0,7200.0,True,False,10,0.0,3588.3923125761085,14.0,0.027
S008-WAT-02,Q2-017,S008,B,U06,4165.107939438471,7200.0,,,False,False,10,0.0,,14.0,0.027
S009-FOD-01,Q2-008,S009,C,U08,1482.3221447071373,14400.0,,,False,False,6,0.0,,8.0,0.028
S009-MED-01,Q2-004,S009,A,U04,1125.8966159156646,10800.0,10800.0,10800.0,True,True,16,0.0,9674.103384084336,3.0,0.012
S009-WAT-01,Q2-008,S009,C,U08,1446.3221447071373,10800.0,10800.0,10800.0,True,False,8,0.0,9353.677855292863,14.0,0.027
S010-FOD-01,Q2-010,S010,A,U03,2355.867532520261,7200.0,,,False,False,10,0.0,,8.0,0.028
S010-MED-01,Q2-002,S010,A,U02,1541.882699073385,3600.0,3600.0,3600.0,True,True,24,0.0,2058.117300926615,3.0,0.012
S010-WAT-01,Q2-010,S010,A,U03,2325.867532520261,3600.0,3600.0,3600.0,True,False,12,0.0,1274.1324674797388,14.0,0.027
S011-FOD-01,Q2-026,S011,A,U02,6261.200271406463,14400.0,,,False,False,6,0.0,,8.0,0.028
S011-MED-01,Q2-015,S011,A,U02,4530.771494155848,10800.0,10800.0,10800.0,True,True,16,0.0,6269.228505844152,3.0,0.012
S011-WAT-01,Q2-026,S011,A,U02,6231.200271406463,10800.0,10800.0,10800.0,True,False,8,0.0,4568.799728593537,14.0,0.027
S012-FOD-01,Q2-012,S012,C,U07,3308.427266620179,7200.0,,,False,False,10,0.0,,8.0,0.028
S012-MED-01,Q2-012,S012,C,U07,3272.427266620179,7200.0,3600.0,3600.0,True,True,22,0.0,327.5727333798209,3.0,0.012
S012-WAT-01,Q2-012,S012,C,U07,3236.427266620179,3600.0,3600.0,3600.0,True,False,12,0.0,363.5727333798209,14.0,0.027
S013-FOD-01,Q2-012,S013,C,U07,2717.785543835282,7200.0,,,False,False,10,0.0,,8.0,0.028
S013-MED-01,Q2-012,S013,C,U07,2645.785543835282,3600.0,3600.0,3600.0,True,True,24,0.0,954.2144561647178,3.0,0.012
S013-WAT-01,Q2-012,S013,C,U07,2681.785543835282,3600.0,3600.0,3600.0,True,False,12,0.0,918.2144561647178,14.0,0.027
S014-FOD-01,Q2-014,S014,C,U08,3316.200602783761,7200.0,,,False,False,10,0.0,,8.0,0.028
S014-MED-01,Q2-014,S014,C,U08,3280.200602783761,7200.0,3600.0,3600.0,True,True,22,0.0,319.79939721623896,3.0,0.012
S014-WAT-01,Q2-014,S014,C,U08,3244.200602783761,3600.0,3600.0,3600.0,True,False,12,0.0,355.79939721623896,14.0,0.027
S015-FOD-01,Q2-025,S015,B,U06,6031.943362915172,14400.0,,,False,False,6,0.0,,8.0,0.028
S015-MED-01,Q2-020,S015,A,U01,5533.3823107266035,7200.0,7200.0,7200.0,True,True,18,0.0,1666.6176892733965,3.0,0.012
S015-WAT-01,Q2-025,S015,B,U06,6001.943362915172,10800.0,10800.0,10800.0,True,False,8,0.0,4798.056637084828,14.0,0.027
