trip_id,drone_id,model_id,battery_id,start_s,takeoff_s,visit_order,route,return_s,energy_kwh,return_soc_fraction,initial_soc_fraction,weight_kg,volume_m3,box_count,box_ids,stop_count,flight_time_s,operation_time_s,preparation_load_s,handoff_s
Q2-001,U01,A,A-BAT-01,0.0,360.0,S006,O01→S006→O01,1313.4781941236301,1.3115663058182472,0.7085408209292784,1.0,17.0,0.039,2,S006-MED-01;S006-WAT-03,1,743.47819412363,1313.4781941236301,360.0,210.0000000000001
Q2-002,U02,A,A-BAT-02,0.0,390.0,S001;S010,O01→S001→S010→O01,2091.7773961830108,2.3161522508930688,0.4852994998015403,1.0,20.0,0.051000000000000004,3,S001-MED-02;S001-WAT-06;S010-MED-01,2,1311.7773961830108,2091.7773961830108,390.0,390.0
Q2-003,U03,A,A-BAT-03,0.0,360.0,S001,O01→S001→O01,1250.899502077302,1.2823460485526663,0.7150342114327408,1.0,22.0,0.055,2,S001-FOD-01;S001-WAT-04,1,680.899502077302,1250.899502077302,360.0,210.0
Q2-004,U04,A,A-BAT-04,0.0,390.0,S009;S002,O01→S009→S002→O01,2275.8147510533395,2.994541769091603,0.3345462735351993,1.0,20.0,0.051000000000000004,3,S002-MED-01;S002-WAT-03;S009-MED-01,2,1495.8147510533395,2275.8147510533395,390.0,390.0
Q2-005,U05,B,B-BAT-01,0.0,360.0,S007,O01→S007→O01,1576.2753989804244,1.7008492000163937,0.5747876999959016,1.0,22.0,0.055,2,S007-FOD-01;S007-WAT-02,1,1006.2753989804244,1576.2753989804244,360.0,210.0
Q2-006,U06,B,B-BAT-02,0.0,360.0,S006,O01→S006→O01,1207.271254843175,1.2935543907278946,0.6766114023180263,1.0,28.0,0.054,2,S006-WAT-01;S006-WAT-02,1,637.2712548431749,1207.271254843175,360.0,210.0000000000001
Q2-007,U07,C,C-BAT-01,0.0,480.0,S001,O01→S001→O01,1494.1690773291593,2.6647831410542304,0.6669021073682212,1.0,68.0,0.178,6,S001-HYG-01;S001-HYG-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-07,1,618.1690773291593,1494.1690773291593,480.0,396.0
Q2-008,U08,C,C-BAT-02,0.0,420.0,S001;S009,O01→S001→S009→O01,1970.721163310437,4.04086608407352,0.49489173949081,1.0,50.0,0.109,4,S001-WAT-05;S001-WAT-08;S009-FOD-01;S009-WAT-01,2,1046.7211633104373,1970.721163310437,420.0,503.9999999999998
Q2-009,U06,B,B-BAT-03,1207.271254843175,1567.271254843175,S002,O01→S002→O01,2963.965554941639,2.8701526675231785,0.28246183311920536,1.0,28.0,0.054,2,S002-WAT-01;S002-WAT-02,1,1186.6943000984638,1756.6943000984638,360.0,210.0
Q2-010,U03,A,A-BAT-05,1250.899502077302,1610.899502077302,S010,O01→S010→O01,2905.762229629886,2.0222096116000885,0.5506200863110915,1.0,22.0,0.055,2,S010-FOD-01;S010-WAT-01,1,1084.8627275525841,1654.8627275525841,360.0,210.0
