trip_id,leg_index,model_id,from_id,to_id,departure_s,arrival_s,handoff_complete_s,remaining_payload_at_departure_kg,remaining_payload_after_handoff_kg,remaining_volume_after_handoff_m3,distance_m,terrain_max_m,cruise_altitude_m,climb_m,descent_m,flight_s,horizontal_energy_kwh,climb_energy_kwh,leg_energy_kwh,delivered_box_ids
Q2-001,1,A,O01,S006,360.0,725.5024303951484,935.5024303951484,17.0,0.0,0.0,3186.208178413656,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,365.50243039514834,0.6459610133951039,0.07849745522944132,0.7244584686245452,S006-MED-01;S006-WAT-03
Q2-001,2,A,S006,O01,935.5024303951484,1313.4781941236301,1313.4781941236301,0.0,0.0,0.0,3186.208178413656,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,377.9757637284817,0.573517472114458,0.013590365079243976,0.587107837193702,
Q2-002,1,A,O01,S001,390.0,728.5730843719844,938.5730843719844,20.0,3.0,0.012000000000000007,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,338.57308437198435,0.6415235720788907,0.049512095317840586,0.6910356673967313,S001-MED-02;S001-WAT-06
Q2-002,2,A,S001,S010,938.5730843719844,1361.882699073385,1541.882699073385,3.0,0.0,6.938893903907228e-18,3709.894180127748,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,423.30961470140085,0.6733793229838314,0.06826434114138286,0.7416436641252142,S010-MED-01
Q2-002,3,A,S010,O01,1541.882699073385,2091.7773961830103,2091.7773961830103,0.0,0.0,6.938893903907228e-18,4784.49485164363,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,549.8946971096254,0.8612090732958533,0.022263846075269905,0.8834729193711232,
Q2-003,1,A,O01,S001,360.0,698.5730843719844,908.5730843719844,22.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,338.57308437198435,0.658423675425001,0.05061236410268149,0.7090360395276825,S001-WAT-04;S001-FOD-01
Q2-003,2,A,S001,O01,908.5730843719844,1250.8995020773023,1250.8995020773023,0.0,0.0,0.0,3053.9788435184996,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,342.3264177053177,0.54971619183333,0.023593817191653783,0.5733100090249837,
Q2-004,1,A,O01,S009,390.0,945.8966159156646,1125.8966159156646,20.0,17.0,0.03900000000000001,5705.144962277037,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,555.8966159156646,1.1984316732237643,0.056383285770416264,1.2548149589941806,S009-MED-01
Q2-004,2,A,S009,S002,1125.8966159156646,1345.8857600860379,1555.8857600860379,17.0,0.0,6.938893903907228e-18,1724.5471958647918,278.2866516113281,328.2866516113281,98.28665161132812,108.78665161132812,219.98914417037327,0.34962883525179367,0.03236292768160502,0.3819917629333987,S002-MED-01;S002-WAT-03
Q2-004,3,A,S002,O01,1555.8857600860379,2275.8147510533395,2275.8147510533395,0.0,0.0,6.938893903907228e-18,7411.310455084183,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,719.9289909673017,1.334035881915153,0.023699165248870852,1.357735047164024,
