K,group_id,resource_type,source_task_id,local_task_id,local_resource_id,physical_resource_id,source_resource_id,start_s,return_s,ready_s,unavailable_after_return_s
2,K2-G1,battery_B,Q3-T-012,Q3-T-012,K2-G1-battery_B-03,B-BAT-03,B-BAT-03,1576.2753989802832,3632.3160869224953,5339.661191434921,1707.3451045124261
2,K2-G1,battery_B,Q3-T-013,Q3-T-013,K2-G1-battery_B-04,B-BAT-04,B-BAT-04,1636.2753989802832,3392.9696990787475,5303.369188338792,1910.3994892600444
2,K2-G1,battery_B,Q3-T-018,Q3-T-018,K2-G1-battery_B-01,B-BAT-01,B-BAT-01,3392.9696990787475,5612.79581843027,7545.0639646746085,1932.2681462443388
2,K2-G1,battery_B,Q3-T-021,Q3-T-021,K2-G1-battery_B-02,B-BAT-02,B-BAT-02,3898.8373309017697,5457.279063990531,7032.313682241871,1575.0346182513404
2,K2-G1,battery_B,Q3-T-025,Q3-T-025,K2-G1-battery_B-03,B-BAT-03,B-BAT-04,5457.279063990531,6585.699536225688,7696.844816142158,1111.1452799164708
2,K2-G1,battery_C,Q3-T-008,Q3-T-008,K2-G1-battery_C-01,C-BAT-01,C-BAT-02,0.0,2476.88843086402,4738.6806285803905,2261.7921977163705
2,K2-G1,battery_C,Q3-T-011,Q3-T-011,K2-G1-battery_C-02,C-BAT-02,C-BAT-03,1561.5538679616764,4061.9964599201658,6548.087008835842,2486.0905489156767
2,K2-G1,battery_C,Q3-T-016,Q3-T-016,K2-G1-battery_C-03,C-BAT-03,C-BAT-04,2476.88843086402,4777.945123347221,7277.69754513459,2499.752421787369
2,K2-G1,battery_C,Q3-T-022,Q3-T-022,K2-G1-battery_C-04,C-BAT-04,C-BAT-01,4061.9964599201658,6498.087809524741,8996.90477971226,2498.8169701875195
2,K2-G1,battery_C,Q3-T-024,Q3-T-024,K2-G1-battery_C-01,C-BAT-01,C-BAT-02,4777.945123347221,6523.135647873001,8416.882598950007,1893.746951077006
2,K2-G1,relay_drone,Q3-R-001,Q3-R-001@K2-G1,K2-G1-relay_drone-02,R02,R01,302.05691954528083,1477.3010159543715,1777.3010159543715,300.0
2,K2-G1,relay_drone,Q3-R-002,Q3-R-002@K2-G1,K2-G1-relay_drone-01,R01,R02,225.70240655854286,3657.973575623626,3957.973575623626,300.0
2,K2-G1,relay_drone,Q3-R-003,Q3-R-003@K2-G1,K2-G1-relay_drone-02,R02,R01,1795.193956745763,6636.184296262294,6936.184296262294,300.0
2,K2-G1,relay_drone,Q3-R-004,Q3-R-004@K2-G1,K2-G1-relay_drone-01,R01,R02,4019.8737214694556,6469.118377653101,6769.118377653101,300.0
2,K2-G1,relay_energy,Q3-R-001,Q3-R-001@K2-G1,K2-G1-relay_energy-02,R-ENG-02,R-ENG-01,302.05691954528083,1477.3010159543715,2046.1481963975716,568.8471804432002
2,K2-G1,relay_energy,Q3-R-002,Q3-R-002@K2-G1,K2-G1-relay_energy-01,R-ENG-01,R-ENG-02,225.70240655854286,3657.973575623626,4548.546090916596,890.5725152929699
2,K2-G1,relay_energy,Q3-R-003,Q3-R-003@K2-G1,K2-G1-relay_energy-03,R-ENG-03,R-ENG-03,1795.193956745763,6636.184296262294,7710.294968722634,1074.1106724603396
2,K2-G1,relay_energy,Q3-R-004,Q3-R-004@K2-G1,K2-G1-relay_energy-02,R-ENG-02,R-ENG-04,4019.8737214694556,6469.118377653101,7236.652809344,767.5344316908995
2,K2-G2,transport_C,Q3-T-007,Q3-T-007,K2-G2-transport_C-01,Q4-ADD-transport_C-01,U07,0.0,1561.5538679616764,1561.5538679616764,0.0
2,K2-G2,battery_C,Q3-T-007,Q3-T-007,K2-G2-battery_C-01,C-BAT-05,C-BAT-01,0.0,1561.5538679616764,3098.5089147087447,1536.9550467470683
