check,pass,details
Q3-T-003/leg1_nonnegative_altitudes,True,
Q3-T-003/leg1_mass_range,True,
Q3-T-003/S001_nonempty_delivery,True,
S001-MED-01/service_id,True,
S001-MED-01/handoff_completed_time,True,0.0
S001-MED-01/during_trip,True,
S001-MED-01/hard_deadline,True,2691.4269156280156
S001-WAT-05/service_id,True,
S001-WAT-05/handoff_completed_time,True,0.0
S001-WAT-05/during_trip,True,
Q3-T-003/leg2_nonnegative_altitudes,True,
Q3-T-003/leg2_mass_range,True,
Q3-T-003/S010_nonempty_delivery,True,
S010-MED-01/service_id,True,
S010-MED-01/handoff_completed_time,True,0.0
S010-MED-01/during_trip,True,
S010-MED-01/hard_deadline,True,2058.117300926615
Q3-T-003/leg3_nonnegative_altitudes,True,
Q3-T-003/leg3_mass_range,True,
Q3-T-003/empty_return,True,
Q3-T-003/return_time_recalculation,True,0.0
Q3-T-003/energy_recalculation,True,0.0
Q3-T-003/source_reserve_floor,True,0.4852994998015262
Q3-T-003/all_boxes_unloaded,True,
Q3-T-003/charging_duration_nonnegative,True,
Q3-T-004/known_model,True,
Q3-T-004/compatible_drone,True,
Q3-T-004/compatible_battery,True,
Q3-T-004/valid_stops,True,
Q3-T-004/has_boxes,True,
Q3-T-004/known_boxes,True,
Q3-T-004/stop_box_matching,True,
Q3-T-004/capacity_mass,True,
Q3-T-004/capacity_volume,True,
Q3-T-004/finite_times_energy,True,
Q3-T-004/nonnegative_start,True,
Q3-T-004/leg1_nonnegative_altitudes,True,
Q3-T-004/leg1_mass_range,True,
Q3-T-004/S001_nonempty_delivery,True,
S001-MED-02/service_id,True,
S001-MED-02/handoff_completed_time,True,0.0
S001-MED-02/during_trip,True,
S001-MED-02/hard_deadline,True,2721.4269156280156
S001-WAT-01/service_id,True,
S001-WAT-01/handoff_completed_time,True,0.0
S001-WAT-01/during_trip,True,
S001-WAT-01/hard_deadline,True,2691.4269156280156
Q3-T-004/leg2_nonnegative_altitudes,True,
Q3-T-004/leg2_mass_range,True,
Q3-T-004/empty_return,True,
Q3-T-004/return_time_recalculation,True,0.0
Q3-T-004/energy_recalculation,True,0.0
Q3-T-004/source_reserve_floor,True,0.724372224718513
Q3-T-004/all_boxes_unloaded,True,
Q3-T-004/charging_duration_nonnegative,True,
Q3-T-005/known_model,True,
Q3-T-005/compatible_drone,True,
Q3-T-005/compatible_battery,True,
Q3-T-005/valid_stops,True,
Q3-T-005/has_boxes,True,
Q3-T-005/known_boxes,True,
Q3-T-005/stop_box_matching,True,
