site_id,row,col,lon,lat,alt,agl,ground,route_H,gateway_distance,backhaul_margin,covered_search_points,travel_score_s
GRID-334-754,334,754,109.24222222222222,23.131944444444443,831.8787841796875,50.0,781.8787841796875,831.8787841796875,13719.366385379355,3.188345311721207,5,2240.019808822065
GRID-334-758,334,758,109.24333333333334,23.131944444444443,829.9086303710938,50.0,779.9086303710938,829.9086303710938,13729.504307613228,3.1820011313246255,5,2240.222275398235
GRID-334-762,334,762,109.24444444444445,23.131944444444443,878.2655639648438,50.0,828.2655639648438,878.2655639648438,13740.578187116855,3.1734416148468227,5,2269.907003928406
GRID-334-766,334,766,109.24555555555555,23.131944444444443,915.3414916992188,50.0,865.3414916992188,915.3414916992188,13752.585762930179,3.16459723150534,5,2293.1356385485683
GRID-334-770,334,770,109.24666666666667,23.131944444444443,927.156005859375,50.0,877.156005859375,927.156005859375,13765.524591681795,3.1560294249887164,4,2301.752615642208
GRID-334-774,334,774,109.24777777777778,23.131944444444443,957.7870483398438,50.0,907.7870483398438,957.7870483398438,13779.392050037,3.146193596145821,4,2321.4697182031755
GRID-334-778,334,778,109.2488888888889,23.131944444444443,922.0335693359375,50.0,872.0335693359375,922.0335693359375,13794.185337306139,3.13818588644979,3,2302.585960420115
GRID-338-754,338,754,109.24222222222222,23.13083333333333,760.4752807617188,50.0,710.4752807617188,760.4752807617188,13596.764418625155,3.268289459485686,7,2182.0208362610233
GRID-338-758,338,758,109.24333333333334,23.13083333333333,788.8106689453125,50.0,738.8106689453125,788.8106689453125,13606.99377013411,3.2609328577907064,7,2199.9137262359804
GRID-338-762,338,762,109.24444444444445,23.13083333333333,794.1168823242188,50.0,744.1168823242188,794.1168823242188,13618.167363693134,3.2536529025270227,7,2204.498829848212
GRID-338-766,338,766,109.24555555555555,23.13083333333333,836.880126953125,50.0,786.880126953125,836.880126953125,13630.28287713929,3.244607283900123,7,2231.0594576745616
GRID-338-770,338,770,109.24666666666667,23.13083333333333,853.599853515625,50.0,803.599853515625,853.599853515625,13643.33780114937,3.2357628845384454,7,2242.553288037364
GRID-338-774,338,774,109.24777777777778,23.13083333333333,894.5220336914062,50.0,844.5220336914062,894.5220336914062,13657.329441800246,3.2254952443074245,5,2268.2901118933532
GRID-338-778,338,778,109.2488888888889,23.13083333333333,879.9176635742188,74.7122802734375,805.2053833007812,879.9176635742188,13672.254923296554,3.2165280937950627,5,2261.760960191168
GRID-338-782,338,782,109.25,23.13083333333333,827.8399658203125,83.18658447265625,744.6533813476562,827.8399658203125,13688.111190863925,3.2081806048087316,5,2233.496472177039
GRID-338-786,338,786,109.25111111111111,23.13083333333333,791.3917846679688,50.0,741.3917846679688,791.3917846679688,13704.895013803622,3.1986665471777656,3,2214.472876230131
GRID-342-762,342,762,109.24444444444445,23.12972222222222,776.7594604492188,50.0,726.7594604492188,776.7594604492188,13495.76820003804,3.3324218837837236,8,2178.0537786004493
GRID-342-770,342,770,109.24666666666667,23.12972222222222,811.593017578125,50.0,761.593017578125,811.593017578125,13521.166701231648,3.315043982921253,8,2201.759820418126
GRID-342-774,342,774,109.24777777777778,23.12972222222222,821.5756225585938,50.0,771.5756225585938,821.5756225585938,13535.284748729526,3.3056772589499417,7,2209.465412989783
GRID-342-778,342,778,109.2488888888889,23.12972222222222,868.1853637695312,50.0,818.1853637695312,868.1853637695312,13550.344784883475,3.2945003559674717,7,2238.66243351669
GRID-342-782,342,782,109.25,23.12972222222222,801.933349609375,50.0,751.933349609375,801.933349609375,13566.34367257941,3.2864143639783663,7,2202.1486102827234
