point_id,lon_deg,lat_deg,altitude_m
0,109.1688578,23.0402714,338.5
1,109.1688578,23.0402714,394.32603454589844
2,109.1688578,23.0402714,450.1520690917969
3,109.1688578,23.0402714,505.9781036376953
4,109.1688578,23.0402714,561.8041381835938
5,109.16936985063732,23.04000905642849,561.8041381835938
6,109.16988190127466,23.03974671285698,561.8041381835938
7,109.17039395191199,23.03948436928547,561.8041381835938
8,109.17090600254933,23.03922202571396,561.8041381835938
9,109.17141805318666,23.03895968214245,561.8041381835938
10,109.17193010382398,23.03869733857094,561.8041381835938
11,109.17244215446132,23.03843499499943,561.8041381835938
12,109.17295420509865,23.038172651427917,561.8041381835938
13,109.17346625573597,23.037910307856407,561.8041381835938
14,109.17397830637331,23.037647964284897,561.8041381835938
15,109.17449035701064,23.037385620713387,561.8041381835938
16,109.17500240764798,23.037123277141877,561.8041381835938
17,109.1755144582853,23.036860933570367,561.8041381835938
18,109.17602650892263,23.036598589998857,561.8041381835938
19,109.17653855955997,23.036336246427346,561.8041381835938
20,109.1770506101973,23.036073902855836,561.8041381835938
21,109.17756266083464,23.035811559284326,561.8041381835938
22,109.17807471147196,23.035549215712816,561.8041381835938
23,109.17858676210929,23.035286872141306,561.8041381835938
24,109.17909881274663,23.035024528569796,561.8041381835938
25,109.17961086338396,23.034762184998286,561.8041381835938
26,109.18012291402128,23.034499841426772,561.8041381835938
27,109.18063496465862,23.034237497855262,561.8041381835938
28,109.18114701529595,23.033975154283752,561.8041381835938
29,109.18165906593329,23.03371281071224,561.8041381835938
30,109.18217111657061,23.03345046714073,561.8041381835938
31,109.18268316720794,23.03318812356922,561.8041381835938
32,109.18319521784528,23.03292577999771,561.8041381835938
33,109.1837072684826,23.0326634364262,561.8041381835938
34,109.18421931911995,23.03240109285469,561.8041381835938
35,109.18473136975727,23.03213874928318,561.8041381835938
36,109.1852434203946,23.03187640571167,561.8041381835938
37,109.18575547103194,23.03161406214016,561.8041381835938
38,109.18626752166927,23.03135171856865,561.8041381835938
39,109.1867795723066,23.03108937499714,561.8041381835938
40,109.18729162294393,23.030827031425627,561.8041381835938
41,109.18780367358126,23.030564687854117,561.8041381835938
42,109.1883157242186,23.030302344282607,561.8041381835938
43,109.18882777485592,23.030040000711097,561.8041381835938
44,109.18933982549325,23.029777657139586,561.8041381835938
45,109.18985187613059,23.029515313568076,561.8041381835938
46,109.19036392676792,23.029252969996566,561.8041381835938
47,109.19087597740526,23.028990626425056,561.8041381835938
48,109.19138802804258,23.028728282853546,561.8041381835938
49,109.19190007867991,23.028465939282036,561.8041381835938
50,109.1923786,23.0494548,474.5
51,109.1923786,23.0494548,523.1496276855469
