phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,guard_margin_db,guard_relay_trip_id
PH-0001,Q3-T-001,爬升,1,390.0,390.0,0.0,0.0,True,True,COM-00001,0.2,
PH-0001,Q3-T-001,爬升,1,390.0,390.34184672371094,0.0,0.002209038108375709,False,True,COM-00002,0.2,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,390.34184672371094,0.002209038108375709,0.002209038108375709,True,True,COM-00003,0.2,
PH-0001,Q3-T-001,爬升,1,390.34184672371094,399.60265609712184,0.002209038108375709,0.06205305415799623,False,True,COM-00004,0.2,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,399.60265609712184,0.06205305415799623,0.06205305415799623,True,True,COM-00005,0.2,
PH-0001,Q3-T-001,爬升,1,399.60265609712184,400.5743917449054,0.06205305415799623,0.06833247978454172,False,True,COM-00006,0.2,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,400.5743917449054,0.06833247978454172,0.06833247978454172,True,True,COM-00007,0.2,
PH-0001,Q3-T-001,爬升,1,400.5743917449054,408.6860501935803,0.06833247978454172,0.12075059993128508,False,True,COM-00008,0.2,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,408.6860501935803,0.12075059993128508,0.12075059993128508,True,True,COM-00009,0.2,
PH-0001,Q3-T-001,爬升,1,408.6860501935803,417.99820232145794,0.12075059993128508,0.18092639655196044,False,True,COM-00010,0.2,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,417.99820232145794,0.18092639655196044,0.18092639655196044,True,True,COM-00011,0.2,
PH-0001,Q3-T-001,爬升,1,417.99820232145794,442.62231115873317,0.18092639655196044,0.34004915840217537,False,True,COM-00012,0.2,
PH-0001,Q3-T-001,爬升,1,442.62231115873317,442.62231115873317,0.34004915840217537,0.34004915840217537,True,True,COM-00013,0.2,
PH-0001,Q3-T-001,爬升,1,442.62231115873317,544.7491292317709,0.34004915840217537,1.0,False,True,COM-00014,0.2,
PH-0001,Q3-T-001,爬升,1,544.7491292317709,544.7491292317709,1.0,1.0,True,True,COM-00015,0.2,
PH-0002,Q3-T-001,巡航,1,544.7491292317709,639.1032424286232,0.0,0.20891744227414938,False,True,COM-00016,0.2,
PH-0002,Q3-T-001,巡航,1,639.1032424286232,639.1032424286232,0.20891744227414938,0.20891744227414938,True,True,COM-00017,0.2,
PH-0002,Q3-T-001,巡航,1,639.1032424286232,655.942685290213,0.20891744227414938,0.24620308052317058,False,True,COM-00018,0.2,
PH-0002,Q3-T-001,巡航,1,655.942685290213,655.942685290213,0.24620308052317058,0.24620308052317058,True,True,COM-00019,0.2,
PH-0002,Q3-T-001,巡航,1,655.942685290213,712.5211720162599,0.24620308052317058,0.37147830524905945,False,True,COM-00020,0.2,
PH-0002,Q3-T-001,巡航,1,712.5211720162599,712.5211720162599,0.37147830524905945,0.37147830524905945,True,True,COM-00021,0.2,
PH-0002,Q3-T-001,巡航,1,712.5211720162599,775.3192355258584,0.37147830524905945,0.5105248222866717,False,True,COM-00022,0.2,
PH-0002,Q3-T-001,巡航,1,775.3192355258584,775.3192355258584,0.5105248222866717,0.5105248222866717,True,True,COM-00023,0.2,
PH-0002,Q3-T-001,巡航,1,775.3192355258584,807.4812216815566,0.5105248222866717,0.5817374028350862,False,True,COM-00024,0.2,
PH-0002,Q3-T-001,巡航,1,807.4812216815566,807.4812216815566,0.5817374028350862,0.5817374028350862,True,True,COM-00025,0.2,
PH-0002,Q3-T-001,巡航,1,807.4812216815566,850.0622859390267,0.5817374028350862,0.6760197476378207,False,True,COM-00026,0.2,
PH-0002,Q3-T-001,巡航,1,850.0622859390267,850.0622859390267,0.6760197476378207,0.6760197476378207,True,True,COM-00027,0.2,
PH-0002,Q3-T-001,巡航,1,850.0622859390267,864.8056489871653,0.6760197476378207,0.7086642778461666,False,True,COM-00028,0.2,
PH-0002,Q3-T-001,巡航,1,864.8056489871653,864.8056489871653,0.7086642778461666,0.7086642778461666,True,True,COM-00029,0.2,
