trip_id,preparation_load_s,flight_only_s,handoff_s,airborne_service_s,template_roundtrip_s,operation_time_s
Q1-001,570.0,618.1690773291593,504.0,1122.1690773291593,1692.1690773291593,1692.1690773291593
Q1-002,480.0,618.1690773291593,396.0,1014.1690773291593,1494.1690773291593,1494.1690773291593
Q1-003,390.0,1186.6943000984643,240.0,1426.6943000984643,1816.6943000984643,1816.6943000984643
Q1-004,450.0,1231.8123848152609,360.0,1591.8123848152609,2041.8123848152609,2041.8123848152609
Q1-005,390.0,1450.523303543377,240.0,1690.523303543377,2080.523303543377,2080.523303543377
Q1-006,450.0,1560.091349604575,360.0,1920.091349604575,2370.091349604575,2370.091349604575
Q1-007,480.0,1425.0566924832003,396.0,1821.0566924832003,2301.0566924832005,2301.0566924832005
Q1-008,480.0,1001.190524525781,396.0,1397.190524525781,1877.190524525781,1877.190524525781
Q1-009,480.0,685.5538679616764,396.0,1081.5538679616764,1561.5538679616764,1561.5538679616764
Q1-010,450.0,1097.5664573298925,360.0,1457.5664573298925,1907.5664573298925,1907.5664573298925
Q1-011,450.0,1389.7012130854614,360.0,1749.7012130854614,2199.7012130854614,2199.7012130854614
Q1-012,390.0,928.4417330887609,240.0,1168.4417330887609,1558.4417330887609,1558.4417330887609
Q1-013,390.0,925.3795658311767,240.0,1165.3795658311767,1555.3795658311767,1555.3795658311767
Q1-014,390.0,558.420472235157,240.0,798.420472235157,1188.420472235157,1188.420472235157
Q1-015,390.0,1292.7403507440913,240.0,1532.7403507440913,1922.7403507440913,1922.7403507440913
Q1-016,390.0,880.4723251020889,240.0,1120.472325102089,1510.4723251020891,1510.4723251020891
Q1-017,390.0,1239.7564163816144,240.0,1479.7564163816144,1869.7564163816144,1869.7564163816144
Q1-018,390.0,1198.2766374269763,240.0,1438.2766374269763,1828.2766374269763,1828.2766374269763
