service_id,row,col,fraction,along_m,lon_center_deg,lat_center_deg,dem_m
S001,778,713,0.0,0.0,109.23083333333334,23.00861111111111,128.7255401611328
S001,777,713,0.009588090833700736,29.281826555855698,109.23083333333334,23.008888888888887,130.80474853515625
S001,777,714,0.009735078773309678,29.730724613673782,109.23111111111112,23.008888888888887,132.31642150878906
S001,776,714,0.020662346820886433,63.102370048428895,109.23111111111112,23.009166666666665,133.5413055419922
S001,775,714,0.03173660280807213,96.9229135410021,109.23111111111112,23.009444444444444,135.11814880371094
S001,775,715,0.03217233970427466,98.25364480334504,109.2313888888889,23.009444444444444,140.24159240722656
S001,774,715,0.042810858795257825,130.74345703357528,109.2313888888889,23.009722222222223,144.3026123046875
S001,773,715,0.053885114782443524,164.56400052614848,109.2313888888889,23.009999999999998,145.23208618164062
S001,773,716,0.05460960063523965,166.7765649930163,109.23166666666667,23.009999999999998,142.67367553710938
S001,772,716,0.06495937076962922,198.3845440187217,109.23166666666667,23.010277777777777,141.5878448486328
S001,771,716,0.07603362675681492,232.2050875112949,109.23166666666667,23.010555555555555,141.0373077392578
S001,771,717,0.07704686156620463,235.29948518268756,109.23194444444445,23.010555555555555,137.09552001953125
S001,770,717,0.08710788274400062,266.0256310038681,109.23194444444445,23.010833333333334,138.46737670898438
S001,769,717,0.09818213873118632,299.8461744964413,109.23194444444445,23.01111111111111,142.2293701171875
S001,769,718,0.09948412249716962,303.82240537235884,109.23222222222223,23.01111111111111,139.03878784179688
S001,768,718,0.10925639471837201,333.66671798901444,109.23222222222223,23.011388888888888,142.09059143066406
S001,767,718,0.1203306507055577,367.48726148158767,109.23222222222223,23.011666666666667,150.4017333984375
S001,767,719,0.1219213834281346,372.3453255620301,109.2325,23.011666666666667,146.45533752441406
S001,766,719,0.1314049066927434,401.30780497416083,109.2325,23.011944444444445,153.67835998535156
S001,765,719,0.1424791626799291,435.12834846673405,109.2325,23.01222222222222,158.906982421875
S001,765,720,0.1443586443590996,440.86824575170135,109.23277777777778,23.01222222222222,156.9326629638672
S001,764,720,0.1535534186671148,468.9488919593073,109.23277777777778,23.0125,161.6325225830078
S001,763,720,0.1646276746543005,502.76943545188044,109.23277777777778,23.012777777777778,162.75421142578125
S001,763,721,0.16679590529006458,509.3911659413726,109.23305555555557,23.012777777777778,163.5756072998047
S001,762,721,0.1757019306414862,536.5899789444537,109.23305555555557,23.013055555555553,165.66754150390625
S001,761,721,0.1867761866286719,570.4105224370269,109.23305555555557,23.013333333333332,166.5437774658203
S001,761,722,0.18923316622102956,577.9140861310439,109.23333333333333,23.013333333333332,163.1529083251953
S001,760,722,0.1978504426158576,604.2310659296,109.23333333333333,23.01361111111111,166.9786834716797
S001,759,722,0.2089246986030433,638.0516094221733,109.23333333333333,23.01388888888889,174.78916931152344
S001,759,723,0.21167042715199455,646.4370063207151,109.23361111111112,23.01388888888889,176.50196838378906
S001,758,723,0.219998954590229,671.8721529147465,109.23361111111112,23.014166666666664,186.74330139160156
S001,757,723,0.23107321057741467,705.6926964073195,109.23361111111112,23.014444444444443,195.83773803710938
S001,757,724,0.23410768808295954,714.9599265103864,109.2338888888889,23.014444444444443,199.0145263671875
S001,756,724,0.24214746656460037,739.5132398998928,109.2338888888889,23.014722222222222,205.36367797851562
S001,755,724,0.2532217225517861,773.3337833924661,109.2338888888889,23.015,199.11651611328125
S001,755,725,0.2565449490139245,783.4828467000576,109.23416666666667,23.015,206.61099243164062
S001,754,725,0.2642959785389718,807.1543268850393,109.23416666666667,23.015277777777776,205.8351593017578
S001,753,725,0.2753702345261575,840.9748703776124,109.23416666666667,23.015555555555554,196.81793212890625
S001,753,726,0.2789822099448895,852.0057668897289,109.23444444444445,23.015555555555554,196.62066650390625
S001,752,726,0.2864444905133432,874.7954138701857,109.23444444444445,23.015833333333333,181.01292419433594
S001,751,726,0.2975187465005289,908.6159573627589,109.23444444444445,23.016111111111112,159.1558380126953
S001,751,727,0.30141947087585447,920.5286870794001,109.23472222222223,23.016111111111112,157.11402893066406
S001,750,727,0.3085930024877146,942.436500855332,109.23472222222223,23.016388888888887,138.3493194580078
S001,749,727,0.31966725847490024,976.2570443479051,109.23472222222223,23.016666666666666,140.89254760742188
S001,749,728,0.32385673180681945,989.0516072690714,109.235,23.016666666666666,139.77549743652344
S001,748,728,0.33074151446208594,1010.0775878404784,109.235,23.016944444444444,155.73793029785156
S001,747,728,0.34181577044927164,1043.8981313330514,109.235,23.017222222222223,171.0520782470703
S001,747,729,0.34629399273778444,1057.5745274587425,109.23527777777778,23.017222222222223,168.02224731445312
S001,746,729,0.35289002643645734,1077.7186748256247,109.23527777777778,23.0175,187.85836791992188
S001,745,729,0.36396428242364304,1111.539218318198,109.23527777777778,23.017777777777777,198.900634765625
S001,745,730,0.3687312536687494,1126.097447648414,109.23555555555556,23.017777777777777,193.07386779785156
S001,744,730,0.37503853841082874,1145.359761810771,109.23555555555556,23.018055555555556,182.73458862304688
S001,743,730,0.38611279439801444,1179.1803053033443,109.23555555555556,23.01833333333333,172.30978393554688
S001,743,731,0.3911685145997144,1194.6203678380853,109.23583333333333,23.01833333333333,160.85816955566406
S001,742,731,0.39718705038520014,1213.0008487959176,109.23583333333333,23.01861111111111,153.74887084960938
S001,741,731,0.40826130637238583,1246.8213922884906,109.23583333333333,23.01888888888889,160.18382263183594
S001,741,732,0.4136057755306794,1263.1432880277564,109.23611111111111,23.01888888888889,163.2061004638672
S001,740,732,0.41933556235957153,1280.641935781064,109.23611111111111,23.019166666666667,164.8919219970703
S001,739,732,0.43040981834675723,1314.4624792736372,109.23611111111111,23.019444444444442,176.84288024902344
S001,739,733,0.4360430364616444,1331.6662082174278,109.2363888888889,23.019444444444442,186.74765014648438
S001,738,733,0.44148407433394293,1348.2830227662103,109.2363888888889,23.01972222222222,196.0955810546875
S001,737,733,0.45255833032112863,1382.1035662587835,109.2363888888889,23.02,189.86671447753906
S001,737,734,0.45848029739260937,1400.189128407099,109.23666666666668,23.02,178.46998596191406
S001,736,734,0.46363258630831433,1415.9241097513568,109.23666666666668,23.02027777777778,164.6157684326172
S001,735,734,0.47470684229550003,1449.7446532439299,109.23666666666668,23.020555555555553,148.64019775390625
S001,735,735,0.48091755832357436,1468.7120485967703,109.23694444444445,23.020555555555553,143.9332733154297
S001,734,735,0.48578109828268573,1483.5651967365031,109.23694444444445,23.020833333333332,148.27027893066406
S001,733,735,0.49685535426987143,1517.3857402290764,109.23694444444445,23.02111111111111,152.0780792236328
S001,733,736,0.5033548192545394,1537.2349687864416,109.23722222222223,23.02111111111111,159.90310668945312
S001,732,736,0.5079296102570571,1551.2062837216495,109.23722222222223,23.02138888888889,160.89425659179688
S001,731,736,0.5190038662442428,1585.0268272142225,109.23722222222223,23.021666666666665,165.4351043701172
S001,731,737,0.5257920801855044,1605.757888976113,109.23750000000001,23.021666666666665,157.24456787109375
S001,730,737,0.5300781222314285,1618.8473707067958,109.23750000000001,23.021944444444443,164.92095947265625
S001,729,737,0.5411523782186142,1652.667914199369,109.23750000000001,23.022222222222222,170.78465270996094
S001,729,738,0.5482293411164694,1674.2808091657841,109.23777777777778,23.022222222222222,182.37081909179688
S001,728,738,0.5522266342057999,1686.4884576919421,109.23777777777778,23.0225,180.53103637695312
S001,727,738,0.5633008901929856,1720.3090011845154,109.23777777777778,23.022777777777776,185.40367126464844
S001,727,739,0.5706666020474344,1742.8037293554555,109.23805555555556,23.022777777777776,200.06764221191406
S001,726,739,0.5743751461801713,1754.1295446770887,109.23805555555556,23.023055555555555,207.7728729248047
S001,725,739,0.585449402167357,1787.9500881696617,109.23805555555556,23.023333333333333,195.97755432128906
S001,725,740,0.5931038629783993,1811.3266495451267,109.23833333333334,23.023333333333333,196.93614196777344
S001,724,740,0.5965236581545427,1821.770631662235,109.23833333333334,23.02361111111111,182.5525360107422
S001,723,740,0.6075979141417284,1855.5911751548083,109.23833333333334,23.023888888888887,191.4572296142578
S001,723,741,0.6155411239093643,1879.849569734798,109.23861111111111,23.023888888888887,211.8333282470703
S001,722,741,0.6186721701289141,1889.4117186473813,109.23861111111111,23.024166666666666,219.9192657470703
S001,721,741,0.6297464261160998,1923.2322621399546,109.23861111111111,23.024444444444445,223.05661010742188
S001,721,742,0.6379783848403293,1948.3724899244692,109.2388888888889,23.024444444444445,221.7563934326172
S001,720,742,0.6408206821032855,1957.052805632528,109.2388888888889,23.02472222222222,209.37196350097656
S001,719,742,0.6518949380904712,1990.873349125101,109.2388888888889,23.025,197.9749755859375
S001,719,743,0.6604156457712943,2016.8954101141405,109.23916666666668,23.025,197.1860809326172
S001,718,743,0.6629691940776569,2024.6938926176742,109.23916666666668,23.025277777777777,181.29310607910156
S001,717,743,0.6740434500648426,2058.5144361102475,109.23916666666668,23.025555555555556,177.47328186035156
S001,717,744,0.6828529067022593,2085.4183303038117,109.23944444444444,23.025555555555556,189.44052124023438
S001,716,744,0.6851177060520283,2092.3349796028206,109.23944444444444,23.02583333333333,208.28103637695312
S001,715,744,0.696191962039214,2126.1555230953936,109.23944444444444,23.02611111111111,212.2935333251953
S001,715,745,0.7052901676332243,2153.941250493483,109.23972222222223,23.02611111111111,219.75453186035156
S001,714,745,0.7072662180263997,2159.976066587967,109.23972222222223,23.02638888888889,207.915771484375
S001,713,745,0.7183404740135854,2193.79661008054,109.23972222222223,23.026666666666667,196.9198760986328
S001,713,746,0.7277274285641893,2222.4641706831544,109.24000000000001,23.026666666666667,194.655029296875
S001,712,746,0.7294147300007711,2227.6171535731132,109.24000000000001,23.026944444444442,186.66009521484375
S001,711,746,0.7404889859879568,2261.4376970656867,109.24000000000001,23.02722222222222,182.56399536132812
S001,711,747,0.7501646894951541,2290.9870908728253,109.24027777777778,23.02722222222222,186.36813354492188
S001,710,747,0.7515632419751425,2295.25824055826,109.24027777777778,23.0275,176.91641235351562
S001,709,747,0.7626374979623282,2329.078784050833,109.24027777777778,23.02777777777778,181.5545196533203
S001,709,748,0.7726019504261191,2359.5100110624962,109.24055555555556,23.02777777777778,195.95016479492188
S001,708,748,0.7737117539495139,2362.8993275434063,109.24055555555556,23.028055555555554,194.3182830810547
S001,707,748,0.7847860099366996,2396.7198710359794,109.24055555555556,23.028333333333332,184.3134765625
S001,707,749,0.7950392113570841,2428.0329312521676,109.24083333333334,23.028333333333332,203.2067108154297
S001,706,749,0.7958602659238853,2430.5404145285524,109.24083333333334,23.02861111111111,194.59690856933594
S001,705,749,0.806934521911071,2464.360958021126,109.24083333333334,23.02888888888889,184.76614379882812
S001,705,750,0.8174764722880491,2496.555851441839,109.24111111111111,23.02888888888889,195.2332000732422
S001,704,750,0.8180087778982567,2498.181501513699,109.24111111111111,23.029166666666665,186.42477416992188
S001,703,750,0.8290830338854424,2532.002045006272,109.24111111111111,23.029444444444444,192.69046020507812
S001,703,751,0.8399137332190141,2565.0787716315103,109.24138888888889,23.029444444444444,201.8096160888672
S001,702,751,0.840157289872628,2565.8225884988456,109.24138888888889,23.029722222222222,194.8701934814453
S001,701,751,0.8512315458598138,2599.6431319914186,109.24138888888889,23.029999999999998,194.1124725341797
S001,700,751,0.8623058018469995,2633.4636754839917,109.24138888888889,23.030277777777776,180.91859436035156
S001,700,752,0.8623509941499791,2633.6016918211817,109.24166666666667,23.030277777777776,155.07821655273438
S001,699,752,0.8733800578341852,2667.284218976565,109.24166666666667,23.030555555555555,146.75933837890625
S001,698,752,0.8844543138213709,2701.104762469138,109.24166666666667,23.030833333333334,151.46548461914062
S001,698,753,0.884788255080944,2702.1246120108526,109.24194444444446,23.030833333333334,150.22930908203125
S001,697,753,0.8955285698085566,2734.9253059617113,109.24194444444446,23.03111111111111,154.8434295654297
S001,696,753,0.9066028257957423,2768.745849454285,109.24194444444446,23.031388888888888,157.3914337158203
S001,696,754,0.907225516011909,2770.647532200524,109.24222222222222,23.031388888888888,158.7278289794922
S001,695,754,0.917677081782928,2802.566392946858,109.24222222222222,23.031666666666666,158.96871948242188
S001,694,754,0.9287513377701136,2836.386936439431,109.24222222222222,23.031944444444445,165.27926635742188
S001,694,755,0.929662776942874,2839.1704523901954,109.2425,23.031944444444445,156.3206329345703
S001,693,755,0.9398255937572993,2870.2074799320044,109.2425,23.03222222222222,149.48812866210938
S001,692,755,0.950899849744485,2904.0280234245774,109.2425,23.0325,148.6284637451172
S001,692,756,0.952100037873839,2907.6933725798667,109.24277777777779,23.0325,151.33242797851562
S001,691,756,0.9619741057316707,2937.8485669171505,109.24277777777779,23.032777777777778,156.43264770507812
S001,690,756,0.9730483617188564,2971.669110409724,109.24277777777779,23.033055555555556,154.73875427246094
S001,690,757,0.974537298804804,2976.2162927695376,109.24305555555556,23.033055555555556,154.0418243408203
S001,689,757,0.9841226177060421,3005.489653902297,109.24305555555556,23.03333333333333,151.58099365234375
S001,688,757,0.9951968736932278,3039.31019739487,109.24305555555556,23.03361111111111,152.53707885742188
S001,688,758,0.996974559735769,3044.739212959209,109.24333333333334,23.03361111111111,153.96136474609375
S002,778,713,0.0,0.0,109.23083333333334,23.00861111111111,128.7255401611328
S002,777,713,0.003890477792730099,28.833538740533424,109.23083333333334,23.008888888888887,130.80474853515625
S002,777,714,0.00435095133715226,32.246251134599056,109.23111111111112,23.008888888888887,132.31642150878906
S002,776,714,0.008383984136841882,62.13630928863619,109.23111111111112,23.009166666666665,133.5413055419922
S002,775,714,0.012877490480953666,95.43907983673897,109.23111111111112,23.009444444444444,135.11814880371094
S002,775,715,0.014378957552907492,106.56691844507499,109.2313888888889,23.009444444444444,140.24159240722656
S002,774,715,0.01737099682506545,128.74185038484174,109.2313888888889,23.009722222222223,144.3026123046875
S002,773,715,0.02186450316917723,162.0446209329445,109.2313888888889,23.009999999999998,145.23208618164062
S002,773,716,0.024406963768662724,180.88758575555093,109.23166666666667,23.009999999999998,142.67367553710938
S002,772,716,0.026358009513289014,195.34739148104725,109.23166666666667,23.010277777777777,141.5878448486328
S002,771,716,0.0308515158574008,228.65016202915004,109.23166666666667,23.010555555555555,141.0373077392578
S002,771,717,0.03443496998441795,255.20825306602686,109.23194444444445,23.010555555555555,137.09552001953125
S002,770,717,0.03534502220151258,261.9529325772528,109.23194444444445,23.010833333333334,138.46737670898438
S002,769,717,0.03983852854562436,295.2557031253556,109.23194444444445,23.01111111111111,142.2293701171875
S002,768,717,0.044332034889736145,328.5584736734583,109.23194444444445,23.011388888888888,148.668212890625
S002,768,718,0.044462976200173185,329.5289203765028,109.23222222222223,23.011388888888888,142.09059143066406
S002,767,718,0.048825541233847934,361.86124422156115,109.23222222222223,23.011666666666667,150.4017333984375
S002,766,718,0.053319047577959716,395.16401476966394,109.23222222222223,23.011944444444445,158.07029724121094
S002,766,719,0.05449098241592842,403.84958768697874,109.2325,23.011944444444445,153.67835998535156
S002,765,719,0.0578125539220715,428.46678531776666,109.2325,23.01222222222222,158.906982421875
S002,764,719,0.06230606026618328,461.76955586586945,109.2325,23.0125,160.82275390625
S002,764,720,0.06451898863168365,478.17025499745466,109.23277777777778,23.0125,161.6325225830078
S002,763,720,0.06679956661029507,495.07232641397223,109.23277777777778,23.012777777777778,162.75421142578125
S002,762,720,0.07129307295440684,528.375096962075,109.23277777777778,23.013055555555553,165.4799041748047
S002,762,721,0.07454699484743887,552.4909223079305,109.23305555555557,23.013055555555553,165.66754150390625
S002,761,721,0.07578657929851863,561.6778675101777,109.23305555555557,23.013333333333332,166.5437774658203
S002,760,721,0.08028008564263041,594.9806380582804,109.23305555555557,23.01361111111111,167.76405334472656
S002,760,722,0.08457500106319411,626.8115896184065,109.23333333333333,23.01361111111111,166.9786834716797
S002,759,722,0.0847735919867422,628.2834086063833,109.23333333333333,23.01388888888889,174.78916931152344
S002,758,722,0.08926709833085399,661.5861791544861,109.23333333333333,23.014166666666664,183.51953125
S002,757,722,0.09376060467496576,694.8889497025888,109.23333333333333,23.014444444444443,190.01271057128906
S002,757,723,0.09460300727894934,701.1322569288824,109.23361111111112,23.014444444444443,195.83773803710938
S002,756,723,0.09825411101907755,728.1917202506917,109.23361111111112,23.014722222222222,198.77255249023438
S002,755,723,0.10274761736318933,761.4944907987943,109.23361111111112,23.015,188.4161376953125
S002,755,724,0.10463101349470458,775.4529242393585,109.2338888888889,23.015,199.11651611328125
S002,754,724,0.10724112370730111,794.7972613468971,109.2338888888889,23.015277777777776,195.76229858398438
S002,753,724,0.1117346300514129,828.1000318949999,109.2338888888889,23.015555555555554,190.75100708007812
S002,753,725,0.1146590197104598,849.7735915498344,109.23416666666667,23.015555555555554,196.81793212890625
S002,752,725,0.11622813639552468,861.4028024431027,109.23416666666667,23.015833333333333,181.97972106933594
S002,751,725,0.12072164273963647,894.7055729912055,109.23416666666667,23.016111111111112,159.21817016601562
S002,751,726,0.12468702592621504,924.0942588603103,109.23444444444445,23.016111111111112,159.1558380126953
S002,750,726,0.12521514908374826,928.0083435393083,109.23444444444445,23.016388888888887,136.96408081054688
S002,749,726,0.12970865542786003,961.311114087411,109.23444444444445,23.016666666666666,143.4798126220703
S002,748,726,0.1342021617719718,994.6138846355137,109.23444444444445,23.016944444444444,168.96743774414062
S002,748,727,0.13471503214197028,998.4149261707863,109.23472222222223,23.016944444444444,163.0107879638672
S002,747,727,0.1386956681160836,1027.9166551836167,109.23472222222223,23.017222222222223,178.5902099609375
S002,746,727,0.14318917446019538,1061.2194257317194,109.23472222222223,23.0175,183.88833618164062
S002,746,728,0.1447430383577255,1072.7355934812622,109.235,23.0175,189.39260864257812
S002,745,728,0.14768268080430716,1094.522196279822,109.235,23.017777777777777,193.2533721923828
S002,744,728,0.15217618714841893,1127.8249668279248,109.235,23.018055555555556,181.4134521484375
S002,744,729,0.15477104457348073,1147.0562607917382,109.23527777777778,23.018055555555556,189.0953369140625
S002,743,729,0.15666969349253074,1161.1277373760277,109.23527777777778,23.01833333333333,176.63528442382812
S002,742,729,0.1611631998366425,1194.4305079241303,109.23527777777778,23.01861111111111,159.65402221679688
S002,742,730,0.16479905078923596,1221.376928102214,109.23555555555556,23.01861111111111,158.9274139404297
S002,741,730,0.1656567061807543,1227.733278472233,109.23555555555556,23.01888888888889,158.38143920898438
S002,740,730,0.1701502125248661,1261.036049020336,109.23555555555556,23.019166666666667,168.526123046875
S002,739,730,0.17464371886897787,1294.3388195684388,109.23555555555556,23.019444444444442,170.09600830078125
