service_id,trips,min_energy_kwh,operation_time_at_min_energy_s
S001,2,5.9133515703045285,3186.3381546583187
S001,3,6.307175648763023,4203.43836195167
S001,4,6.381645350644229,5139.469699209216
S001,5,7.004239528422801,6150.569906502567
S001,6,7.737466749057662,7167.670113795919
S001,7,7.751347744810449,8103.701451053463
S001,8,8.538299764306853,9132.801658346814
S001,9,9.372711578573957,10161.901865640166
S001,10,10.216659280955435,11191.002072933517
S001,11,11.076722843986737,12220.102280226869
S001,12,11.972012173820737,13249.20248752022
S001,13,12.87825852550908,14278.302694813572
S001,14,13.794560232303649,15307.402902106924
S001,15,14.719390441958971,16336.503109400275
S002,2,8.43464695829562,3858.506684913725
S002,3,10.257036905868937,5489.200985012189
S002,4,10.13079397559143,7026.777200393857
S002,5,12.08237206309644,8663.471500492322
S002,6,14.109311734933645,10300.165800590787
S002,7,16.227554585014346,11936.860100689251
S002,8,18.388209139836317,13573.554400787716
S003,2,8.544882583167624,4450.614653147952
S003,3,10.427309992309388,6345.137956691329
S003,4,10.392780457236064,8082.093214173508
S003,5,12.401813899660539,9982.616517716886
S003,6,14.484702660841403,11883.139821260263
S003,7,16.65706970717774,13783.663124803641
S003,8,18.87100076786469,15684.186428347019
S004,1,6.152932018907208,2301.0566924832005
S004,2,8.095023372942764,4090.700329546479
S004,3,7.9858224000987725,5764.930911189836
S004,4,10.080416528887062,7566.574548253114
S004,5,12.299032997553688,9368.218185316393
S004,6,14.58717351830459,11169.861822379671
S005,1,4.222192859507031,1877.190524525781
S005,2,5.558569291594606,3261.3607528276034
S005,3,5.490332689118325,4548.510684905468
S005,4,6.931095238736658,5944.68091320729
S005,5,8.456749427657757,7340.8511415091125
S005,6,10.029991903964778,8737.021369810935
S006,1,2.5979878649122523,1561.5538679616764
S006,2,3.4265949237897875,2636.825122804863
S006,3,3.4060092832687188,3621.81376452956
S006,4,4.297600750068559,4709.0850193727465
S006,5,5.2404140628908165,5796.356274215933
S006,6,6.211941156586816,6883.627529059119
S007,1,3.4108943800032887,1907.5664573298925
S007,2,3.436516652530533,3212.5507979605663
S007,3,4.706311314641677,4668.8261969408495
S007,4,6.081403941059744,6125.101595921133
S007,5,7.497360660407535,7581.376994901416
S008,1,5.8360117114838115,2199.7012130854614
S008,2,5.738657781633277,3863.662871320663
S008,3,7.8463822926258615,5645.494306980994
S008,4,10.141715831808522,7427.325742641326
S008,5,12.509856787667047,9209.157178301657
S009,1,2.09623373442617,1558.4417330887609
S009,2,3.602979808937321,2936.8834661775218
S009,3,5.265902741615306,4315.325199266283
S010,1,1.8231956980898127,1555.3795658311767
S010,2,3.1360287398629785,2930.7591316623534
S010,3,4.579836082689997,4306.13869749353
S011,1,1.0739517654354556,1188.420472235157
S011,2,1.8496025341859117,2196.840944470314
S011,3,2.702123604052157,3205.2614167054708
S012,1,2.7524142988014892,1922.7403507440913
S012,2,4.734467140306775,3665.4807014881826
S012,3,6.918832767834507,5408.221052232274
S013,1,1.8247592723279171,1510.4723251020891
S013,2,3.1360928317069092,2840.9446502041783
S013,3,4.5801731387974725,4171.416975306267
S014,1,2.14038848210759,1869.7564163816144
S014,2,3.6917451763087135,3559.5128327632287
S014,3,5.391462060536125,5249.269249144843
S015,1,2.307452824284089,1828.2766374269763
S015,2,3.9684598305202474,3476.5532748539526
S015,3,5.793972131229122,5124.829912280929
