seed,family,hard_late_s,weighted_tardiness_s,makespan_s,energy_kwh,trips,weighted_completion_s
20260923,direct_only,0.0,86308.7930462024,9651.47319873375,94.71213428852295,38,3287013.192530298
20260924,direct_only,0.0,94473.52759609726,9543.639502707338,93.28289073810697,38,3196686.5727309887
20260925,direct_only,0.0,165445.47976136816,9368.859892536888,95.6131307112945,38,3258634.064279451
