scenario,feasible,hard_late_s,weighted_tardiness_s,makespan_s,energy_kwh,trips,multipoint_trips,min_return_soc_fraction,all_expected_on_time
q1_frozen,False,1791.7788249192909,466685.6885295335,10320.568987200146,59.13129602205388,18,0,0.230883497636599,67
direct_only,True,0.0,0.0,6984.693747952648,77.80537737587444,31,0,0.26286388531044336,80
main,True,0.0,0.0,6355.094258945617,71.94566215060301,26,7,0.20413342867827433,80
energy_tradeoff,True,0.0,0.0,6954.140854301173,67.22745793455239,23,6,0.230883497636599,80
