from_id,to_id,distance_m,terrain_max_m,cruise_altitude_m,origin_work_altitude_m,destination_work_altitude_m,climb_m,descent_m,crossed_cells
S008,S015,3928.8940469076583,660.450927734375,710.450927734375,270.9,474.5,439.550927734375,235.950927734375,182
S015,S008,3928.8940469076583,660.450927734375,710.450927734375,474.5,270.9,235.950927734375,439.550927734375,182
S009,S010,4564.123978259588,432.957275390625,482.957275390625,230.0,351.6,252.957275390625,131.35727539062498,209
S010,S009,4564.123978259588,432.957275390625,482.957275390625,351.6,230.0,131.35727539062498,252.957275390625,209
S009,S011,4325.129159248302,265.66766357421875,315.66766357421875,230.0,212.1,85.66766357421875,103.56766357421876,207
S011,S009,4325.129159248302,265.66766357421875,315.66766357421875,212.1,230.0,103.56766357421876,85.66766357421875,207
S009,S012,2972.7018315929076,310.91961669921875,360.91961669921875,230.0,279.8,130.91961669921875,81.11961669921874,108
S012,S009,2972.7018315929076,310.91961669921875,360.91961669921875,279.8,230.0,81.11961669921874,130.91961669921875,108
S009,S013,3211.1411620120784,322.2989807128906,372.2989807128906,230.0,351.7,142.29898071289062,20.598980712890636,150
S013,S009,3211.1411620120784,322.2989807128906,372.2989807128906,351.7,230.0,20.598980712890636,142.29898071289062,150
S009,S014,6315.453707339303,502.7727966308594,552.7727966308594,230.0,351.0,322.7727966308594,201.77279663085938,287
S014,S009,6315.453707339303,502.7727966308594,552.7727966308594,351.0,230.0,201.77279663085938,322.7727966308594,287
S009,S015,6362.737186060829,532.3267822265625,582.3267822265625,230.0,474.5,352.3267822265625,107.8267822265625,244
S015,S009,6362.737186060829,532.3267822265625,582.3267822265625,474.5,230.0,107.8267822265625,352.3267822265625,244
S010,S011,5873.554813479905,387.0433349609375,437.0433349609375,351.6,212.1,85.44333496093748,224.9433349609375,247
S011,S010,5873.554813479905,387.0433349609375,437.0433349609375,212.1,351.6,224.9433349609375,85.44333496093748,247
S010,S012,3951.0045221707514,423.1903076171875,473.1903076171875,351.6,279.8,121.59030761718748,193.3903076171875,152
S012,S010,3951.0045221707514,423.1903076171875,473.1903076171875,279.8,351.6,193.3903076171875,121.59030761718748,152
S010,S013,1378.672569655213,454.07037353515625,504.07037353515625,351.6,351.7,152.47037353515623,152.37037353515626,60
S013,S010,1378.672569655213,454.07037353515625,504.07037353515625,351.7,351.6,152.37037353515626,152.47037353515623,60
S010,S014,1753.191203269673,487.5635681152344,537.5635681152344,351.6,351.0,185.96356811523435,186.56356811523438,79
S014,S010,1753.191203269673,487.5635681152344,537.5635681152344,351.0,351.6,186.56356811523438,185.96356811523435,79
S010,S015,9196.058223496959,568.3262329101562,618.3262329101562,351.6,474.5,266.7262329101562,143.82623291015625,410
S015,S010,9196.058223496959,568.3262329101562,618.3262329101562,474.5,351.6,143.82623291015625,266.7262329101562,410
S011,S012,6903.502944103021,370.4505615234375,420.4505615234375,212.1,279.8,208.3505615234375,140.6505615234375,308
S012,S011,6903.502944103021,370.4505615234375,420.4505615234375,279.8,212.1,140.6505615234375,208.3505615234375,308
S011,S013,5233.202579701622,328.3608093261719,378.3608093261719,212.1,351.7,166.26080932617188,26.660809326171886,188
S013,S011,5233.202579701622,328.3608093261719,378.3608093261719,351.7,212.1,26.660809326171886,166.26080932617188,188
S011,S014,7127.719086594748,568.5668334960938,618.5668334960938,212.1,351.0,406.4668334960937,267.56683349609375,325
S014,S011,7127.719086594748,568.5668334960938,618.5668334960938,351.0,212.1,267.56683349609375,406.4668334960937,325
S011,S015,3461.1968647736117,538.7306518554688,588.7306518554688,212.1,474.5,376.6306518554687,114.23065185546875,164
S015,S011,3461.1968647736117,538.7306518554688,588.7306518554688,474.5,212.1,114.23065185546875,376.6306518554687,164
S012,S013,2855.219884741852,386.5263671875,436.5263671875,279.8,351.7,156.7263671875,84.82636718750001,127
S013,S012,2855.219884741852,386.5263671875,436.5263671875,351.7,279.8,84.82636718750001,156.7263671875,127
S012,S014,5454.84377374143,481.1858215332031,531.1858215332031,279.8,351.0,251.3858215332031,180.18582153320312,180
S014,S012,5454.84377374143,481.1858215332031,531.1858215332031,351.0,279.8,180.18582153320312,251.3858215332031,180
S012,S015,9317.611181630782,534.7462158203125,584.7462158203125,279.8,474.5,304.9462158203125,110.2462158203125,345
S015,S012,9317.611181630782,534.7462158203125,584.7462158203125,474.5,279.8,110.2462158203125,304.9462158203125,345
S013,S014,3127.400496881075,483.26031494140625,533.2603149414062,351.7,351.0,181.56031494140626,182.26031494140625,138
S014,S013,3127.400496881075,483.26031494140625,533.2603149414062,351.0,351.7,182.26031494140625,181.56031494140626,138
S013,S015,8348.973022024406,529.7706298828125,579.7706298828125,351.7,474.5,228.0706298828125,105.2706298828125,351
S015,S013,8348.973022024406,529.7706298828125,579.7706298828125,474.5,351.7,105.2706298828125,228.0706298828125,351
S014,S015,10556.125709852577,578.795166015625,628.795166015625,351.0,474.5,277.795166015625,154.295166015625,488
S015,S014,10556.125709852577,578.795166015625,628.795166015625,474.5,351.0,154.295166015625,277.795166015625,488
