trip_id,leg_index,model_id,from_id,to_id,departure_s,arrival_s,handoff_complete_s,remaining_payload_at_departure_kg,remaining_payload_after_handoff_kg,remaining_volume_after_handoff_m3,distance_m,terrain_max_m,cruise_altitude_m,climb_m,descent_m,flight_s,horizontal_energy_kwh,climb_energy_kwh,leg_energy_kwh,delivered_box_ids
Q2-001,1,A,O01,S006,330.0,695.5024303951484,875.5024303951484,14.0,0.0,0.0,3186.208178413656,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,365.50243039514834,0.6259830696709655,0.07579064642842612,0.7017737160993917,S006-WAT-01
Q2-001,2,A,S006,O01,875.5024303951484,1253.4781941236301,1253.4781941236301,0.0,0.0,0.0,3186.208178413656,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,377.9757637284817,0.573517472114458,0.013590365079243976,0.587107837193702,
Q2-002,1,A,O01,S012,390.0,1154.475036821724,1364.475036821724,20.0,3.0,0.012000000000000004,7390.491686977874,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,764.4750368217238,1.55245824197887,0.09728283887863161,1.6497410808575015,S012-WAT-01;S012-MED-01
Q2-002,2,A,S012,S001,1364.475036821724,1908.5217119188446,2088.5217119188446,3.0,0.0,3.469446951953614e-18,4697.683538665447,385.599609375,435.599609375,155.799609375,251.599609375,544.0466750971206,0.8526720190034911,0.043045051798502605,0.8957170708019937,S001-MED-02
Q2-002,3,A,S001,O01,2088.5217119188446,2430.8481296241625,2430.8481296241625,0.0,0.0,3.469446951953614e-18,3053.9788435184996,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,342.3264177053177,0.54971619183333,0.023593817191653783,0.5733100090249837,
Q2-003,1,A,O01,S013,360.0,873.5902021715531,1083.590202171553,22.0,0.0,0.0,4849.242377230511,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,513.5902021715531,1.045474167517245,0.09452846279059517,1.14000263030784,S013-WAT-01;S013-FOD-01
Q2-003,2,A,S013,O01,1083.590202171553,1612.1137376764395,1612.1137376764395,0.0,0.0,0.0,4849.242377230511,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,528.5235355048864,0.872863627901492,0.012579385939704051,0.8854430138411961,
Q2-004,1,A,O01,S006,360.0,725.5024303951484,935.5024303951484,22.0,0.0,0.0,3186.208178413656,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,365.50243039514834,0.6869317067970738,0.08300880323113337,0.7699405100282072,S006-WAT-03;S006-FOD-01
Q2-004,2,A,S006,O01,935.5024303951484,1313.4781941236301,1313.4781941236301,0.0,0.0,0.0,3186.208178413656,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,377.9757637284817,0.573517472114458,0.013590365079243976,0.587107837193702,
Q2-005,1,B,O01,S010,390.0,845.2264495822316,1085.2264495822315,25.0,0.0,6.938893903907228e-18,4784.49485164363,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,455.22644958223157,1.014131979759643,0.10489088245391848,1.1190228622135616,S010-MED-01;S010-WAT-01;S010-FOD-01
