variable,value
"('box_fraction', 'B', 'S003-WAT-04')",-0.0
"('box_fraction', 'B', 'S004-FOD-01')",0.14593993341949962
"('box_fraction', 'B', 'S004-HYG-01')",0.0
"('box_fraction', 'B', 'S004-MED-01')",0.0
"('box_fraction', 'B', 'S004-WAT-01')",-0.0
"('box_fraction', 'B', 'S004-WAT-02')",0.2727272727272727
"('box_fraction', 'B', 'S004-WAT-03')",0.8768847641945378
"('box_fraction', 'B', 'S005-FOD-01')",-0.0
"('box_fraction', 'B', 'S005-HYG-01')",-0.0
"('box_fraction', 'B', 'S005-MED-01')",0.0
"('box_fraction', 'B', 'S005-WAT-01')",0.0
"('box_fraction', 'B', 'S005-WAT-02')",0.0
"('box_fraction', 'B', 'S005-WAT-03')",-0.0
"('box_fraction', 'B', 'S006-FOD-01')",-0.0
"('box_fraction', 'B', 'S006-HYG-01')",0.0
"('box_fraction', 'B', 'S006-MED-01')",1.0
"('box_fraction', 'B', 'S006-WAT-01')",0.0
"('box_fraction', 'B', 'S006-WAT-02')",0.685714285714285
"('box_fraction', 'B', 'S006-WAT-03')",0.0
"('box_fraction', 'B', 'S007-FOD-01')",0.025628626692457024
"('box_fraction', 'B', 'S007-HYG-01')",-0.0
"('box_fraction', 'B', 'S007-MED-01')",-0.0
"('box_fraction', 'B', 'S007-WAT-01')",0.030947775628626495
"('box_fraction', 'B', 'S007-WAT-02')",-0.0
"('box_fraction', 'B', 'S008-FOD-01')",0.025628626692464147
"('box_fraction', 'B', 'S008-HYG-01')",-0.0
"('box_fraction', 'B', 'S008-MED-01')",0.0
"('box_fraction', 'B', 'S008-WAT-01')",0.0
"('box_fraction', 'B', 'S008-WAT-02')",0.03094777562863597
"('box_fraction', 'B', 'S009-FOD-01')",0.6092706728299939
"('box_fraction', 'B', 'S009-MED-01')",-0.0
"('box_fraction', 'B', 'S009-WAT-01')",0.0
"('box_fraction', 'B', 'S010-FOD-01')",-0.0
"('box_fraction', 'B', 'S010-MED-01')",-0.0
"('box_fraction', 'B', 'S010-WAT-01')",0.0
"('box_fraction', 'B', 'S011-FOD-01')",0.6092706728299946
"('box_fraction', 'B', 'S011-MED-01')",0.0
"('box_fraction', 'B', 'S011-WAT-01')",0.0
"('box_fraction', 'B', 'S012-FOD-01')",0.6092706728299951
"('box_fraction', 'B', 'S012-MED-01')",-0.0
"('box_fraction', 'B', 'S012-WAT-01')",-0.0
"('box_fraction', 'B', 'S013-FOD-01')",0.024726886455788823
"('box_fraction', 'B', 'S013-MED-01')",0.0
"('box_fraction', 'B', 'S013-WAT-01')",0.0
"('box_fraction', 'B', 'S014-FOD-01')",-0.0
"('box_fraction', 'B', 'S014-MED-01')",0.0
"('box_fraction', 'B', 'S014-WAT-01')",0.0
"('box_fraction', 'B', 'S015-FOD-01')",0.6092706728299946
"('box_fraction', 'B', 'S015-MED-01')",0.0
"('box_fraction', 'B', 'S015-WAT-01')",0.0
"('box_fraction', 'C', 'S001-FOD-01')",-0.0
"('box_fraction', 'C', 'S001-FOD-02')",-0.0
"('box_fraction', 'C', 'S001-FOD-03')",0.0
"('box_fraction', 'C', 'S001-HYG-01')",1.0
"('box_fraction', 'C', 'S001-HYG-02')",1.0
"('box_fraction', 'C', 'S001-MED-01')",0.0
"('box_fraction', 'C', 'S001-MED-02')",0.0
"('box_fraction', 'C', 'S001-WAT-01')",0.9402985074626865
"('box_fraction', 'C', 'S001-WAT-02')",0.0
"('box_fraction', 'C', 'S001-WAT-03')",0.0
"('box_fraction', 'C', 'S001-WAT-04')",0.0
"('box_fraction', 'C', 'S001-WAT-05')",1.0
"('box_fraction', 'C', 'S001-WAT-06')",0.0
"('box_fraction', 'C', 'S001-WAT-07')",0.0
"('box_fraction', 'C', 'S001-WAT-08')",-0.0
"('box_fraction', 'C', 'S002-FOD-01')",0.8992804913784909
"('box_fraction', 'C', 'S002-FOD-02')",1.0
"('box_fraction', 'C', 'S002-HYG-01')",1.0
"('box_fraction', 'C', 'S002-MED-01')",0.0
"('box_fraction', 'C', 'S002-WAT-01')",0.0
"('box_fraction', 'C', 'S002-WAT-02')",0.0
"('box_fraction', 'C', 'S002-WAT-03')",0.31031889397823653
"('box_fraction', 'C', 'S002-WAT-04')",1.0
"('box_fraction', 'C', 'S003-FOD-01')",1.0
"('box_fraction', 'C', 'S003-FOD-02')",1.0
"('box_fraction', 'C', 'S003-HYG-01')",1.0
"('box_fraction', 'C', 'S003-MED-01')",0.0
"('box_fraction', 'C', 'S003-WAT-01')",0.3386716301279792
"('box_fraction', 'C', 'S003-WAT-02')",-0.0
"('box_fraction', 'C', 'S003-WAT-03')",1.0
"('box_fraction', 'C', 'S003-WAT-04')",1.0
"('box_fraction', 'C', 'S004-FOD-01')",0.8540600665805004
"('box_fraction', 'C', 'S004-HYG-01')",1.0
"('box_fraction', 'C', 'S004-MED-01')",0.0
"('box_fraction', 'C', 'S004-WAT-01')",1.0
"('box_fraction', 'C', 'S004-WAT-02')",0.0
"('box_fraction', 'C', 'S004-WAT-03')",0.1231152358054622
"('box_fraction', 'C', 'S005-FOD-01')",1.0
"('box_fraction', 'C', 'S005-HYG-01')",1.0
"('box_fraction', 'C', 'S005-MED-01')",0.0
"('box_fraction', 'C', 'S005-WAT-01')",1.0
"('box_fraction', 'C', 'S005-WAT-02')",0.2727272727272727
"('box_fraction', 'C', 'S005-WAT-03')",1.0
"('box_fraction', 'C', 'S006-FOD-01')",1.0
