family,iteration,phase,seed,hard_late_s,weighted_tardiness_s,makespan_s,energy_kwh,trips,weighted_completion_s
direct_only,0,initial,20260923,0.0,86308.7930462024,9651.47319873375,94.71213428852295,38,3287013.192530298
direct_only,11,anneal,20260923,0.0,57352.90026196257,9778.395098337985,94.71213428852295,38,3361028.908783173
direct_only,15,anneal,20260923,0.0,57303.94584610049,10178.698034087322,95.03367667484514,38,3389394.815517417
direct_only,25,anneal,20260923,0.0,57211.93409458754,10178.698034087322,96.58461045261123,39,3478043.401234413
direct_only,69,anneal,20260923,0.0,51930.72733377944,10178.698034087322,96.58461045261123,39,3458897.713072584
direct_only,79,anneal,20260923,0.0,44762.5438316423,10215.093937778944,96.22900503482934,39,3477710.451429757
direct_only,106,anneal,20260923,0.0,31120.7078769783,10215.093937778944,97.42311844990192,40,3525747.257871068
direct_only,118,anneal,20260923,0.0,31120.7078769783,10215.093937778944,97.25515780011985,40,3536166.143746093
direct_only,121,anneal,20260923,0.0,31028.696125465347,10215.093937778944,97.25515780011985,40,3536824.3711831328
direct_only,171,anneal,20260923,0.0,28627.481485594755,10215.093937778944,97.25515780011985,40,3530576.3846668773
direct_only,172,anneal,20260923,0.0,28008.288277682943,10215.093937778944,97.25515780011985,40,3529110.375025959
direct_only,175,anneal,20260923,0.0,28008.288277682943,10137.629651426327,97.25515780011985,40,3529885.017889486
direct_only,182,anneal,20260923,0.0,28008.288277682943,10137.629651426327,96.06104438504727,39,3521179.302553377
direct_only,213,anneal,20260923,0.0,26841.65294680284,10137.629651426327,96.06104438504727,39,3533384.786536298
direct_only,220,anneal,20260923,0.0,26841.65294680284,9839.151155707525,96.2682196495526,39,3523703.8417563876
direct_only,294,anneal,20260923,0.0,26841.65294680284,9778.395098337985,96.63760235386692,39,3521656.7291808557
direct_only,296,anneal,20260923,0.0,25833.52325172136,9970.890709915038,97.17165982647673,39,3545286.531628281
direct_only,302,anneal,20260923,0.0,23862.548382219728,9778.395098337985,96.95910889331473,39,3517521.88391209
direct_only,314,anneal,20260923,0.0,18823.65814416302,9778.395098337985,96.64765933492595,39,3569107.53613376
direct_only,322,anneal,20260923,0.0,15665.682048278732,9778.395098337985,96.64765933492595,39,3601586.6801965437
direct_only,335,anneal,20260923,0.0,13542.451383354919,9778.395098337985,96.64765933492595,39,3624981.390867341
direct_only,368,anneal,20260923,0.0,13542.451383354919,9778.395098337985,96.28156251209822,39,3626202.802928982
direct_only,422,anneal,20260923,0.0,10696.164052126142,9778.395098337985,96.28156251209822,39,3607027.13912518
direct_only,445,anneal,20260923,0.0,10576.621885760233,9705.624695516792,96.28156251209822,39,3578613.8936275276
direct_only,491,anneal,20260923,0.0,8835.746949989923,9705.624695516792,96.28156251209822,39,3558577.296922847
direct_only,504,anneal,20260923,0.0,2123.2306649238126,10365.301857554867,96.06877603913217,39,3594838.954386063
direct_only,512,anneal,20260923,0.0,2123.2306649238126,10305.196686876405,96.04372461581205,39,3594950.869953448
direct_only,524,anneal,20260923,0.0,2123.2306649238126,9665.155347705102,94.49279083804598,38,3586117.1781982547
direct_only,671,anneal,20260923,0.0,2123.2306649238126,9665.155347705102,93.93136600540502,37,3670062.2640098147
direct_only,704,anneal,20260923,0.0,0.0,9665.155347705102,93.93136600540502,37,3650042.376137131
direct_only,802,anneal,20260923,0.0,0.0,9632.336468904408,92.6191985417435,37,3629748.558135449
direct_only,850,anneal,20260923,0.0,0.0,9631.715136085862,92.6191985417435,37,3611436.906642105
direct_only,864,anneal,20260923,0.0,0.0,8974.81231272153,93.32050832178057,37,3581092.4405321386
direct_only,1022,anneal,20260923,0.0,0.0,8973.422466208727,93.4836103590773,37,3503178.6715070903
direct_only,1039,anneal,20260923,0.0,0.0,8783.721678756601,93.48361035907733,37,3471868.92043862
direct_only,1092,anneal,20260923,0.0,0.0,8761.245827279894,93.48361035907733,37,3386541.246450978
direct_only,1131,anneal,20260923,0.0,0.0,8714.54796903402,93.48361035907732,37,3387879.377755761
direct_only,1223,anneal,20260923,0.0,0.0,8696.912101690254,93.48361035907733,37,3603272.031586367
direct_only,1532,anneal,20260923,0.0,0.0,8644.26487695357,93.48361035907733,37,3541477.1815586733
direct_only,2783,anneal,20260923,0.0,0.0,8616.249305849755,92.15474035353094,37,3504955.295702772
direct_only,2900,anneal,20260923,0.0,0.0,8607.72725410495,92.24725536956986,37,3589834.6423712424
direct_only,2966,anneal,20260923,0.0,0.0,8560.33989876488,90.46704255950351,36,3476014.136152705
direct_only,3119,anneal,20260923,0.0,0.0,8521.094135215344,90.46704255950351,36,3488500.4583083573
direct_only,3309,anneal,20260923,0.0,0.0,8358.449614613082,90.6042346628066,36,3478900.1751315654
direct_only,3399,anneal,20260923,0.0,0.0,8358.449614613082,89.29140162103344,35,3303660.4676523213
direct_only,3625,anneal,20260923,0.0,0.0,8352.654281890087,90.1272378022991,36,3273008.2618195466
direct_only,3626,anneal,20260923,0.0,0.0,8257.887308543526,90.12723780229912,36,3322204.3782777465
direct_only,3710,anneal,20260923,0.0,0.0,8240.980279739682,90.1272378022991,36,3304305.113197624
direct_only,3784,anneal,20260923,0.0,0.0,8240.980279739682,90.0958456403288,36,3301179.7493387517
direct_only,3868,anneal,20260923,0.0,0.0,8231.443858678631,89.99752069409043,36,3413004.2324080407
direct_only,3899,anneal,20260923,0.0,0.0,8231.443858678631,89.9173935855009,36,3432618.1784668164
direct_only,3962,anneal,20260923,0.0,0.0,8151.3275019013,89.91739358550089,36,3435486.9938117233
direct_only,4351,anneal,20260923,0.0,0.0,8120.925700954062,89.91075850160183,36,3132171.209759358
direct_only,4367,anneal,20260923,0.0,0.0,8120.925700954062,87.65564915711178,35,3104286.261397241
direct_only,4392,anneal,20260923,0.0,0.0,8013.5619994590415,84.94821606024723,34,3142959.9856050457
direct_only,5544,anneal,20260923,0.0,0.0,8013.5619994590415,84.62977595253982,34,3219201.1482557333
direct_only,5744,anneal,20260923,0.0,0.0,8013.5619994590415,84.62380752642163,34,3250912.746919524
direct_only,6178,anneal,20260923,0.0,0.0,8013.5619994590415,84.51627771083739,34,3382033.4916995233
direct_only,6313,anneal,20260923,0.0,0.0,8013.5619994590415,83.51019478564352,33,3335911.5657857875
direct_only,6325,anneal,20260923,0.0,0.0,8013.5619994590415,83.41186983940513,33,3324573.434941442
direct_only,6947,anneal,20260923,0.0,0.0,7991.721447183643,84.42649961903169,34,3337788.2384632565
direct_only,6973,anneal,20260923,0.0,0.0,7991.721447183643,84.42028481543706,34,3346848.928885394
direct_only,6975,anneal,20260923,0.0,0.0,7967.250518965914,84.42028481543707,34,3294074.294671859
direct_only,7111,anneal,20260923,0.0,0.0,7967.250518965914,83.4142018902432,33,3154501.7103853896
