constraint,slack,dual
CS005_nonempty_visit,3.6999999999999997,-0.0
CS006_visit_mass,0.0,-1.3678805916486503
CS006_visit_volume,0.01951428571428572,-0.0
CS006_nonempty_visit,3.734285714285715,-0.0
CS007_visit_mass,0.0,-0.310276316435412
CS007_visit_volume,0.0,-235.55087291371373
CS007_nonempty_visit,2.658123791102514,-0.0
CS008_visit_mass,0.0,-0.3953978645636447
CS008_visit_volume,0.0,-250.67788245929646
CS008_nonempty_visit,2.6581237911025113,-0.0
CS009_visit_mass,0.178736517719569,-0.0
CS009_visit_volume,0.0,-291.5108257241061
CS009_nonempty_visit,0.16533127889060123,-0.0
CS010_visit_mass,0.3157894736842106,-0.0
CS010_visit_volume,0.0,-309.81236351683026
CS010_nonempty_visit,0.29210526315789487,-0.0
CS011_visit_mass,0.178736517719569,-0.0
CS011_visit_volume,0.0,-300.05551812843316
CS011_nonempty_visit,0.16533127889060123,-0.0
CS012_visit_mass,0.17873651771956886,-0.0
CS012_visit_volume,0.0,-342.6316245647569
CS012_nonempty_visit,0.16533127889060106,-0.0
CS013_visit_mass,0.3102272613019421,-0.0
CS013_visit_volume,0.0,-309.80396184114966
CS013_nonempty_visit,0.2869602167042968,-0.0
CS014_visit_mass,0.3157894736842106,-0.0
CS014_visit_volume,0.0,-347.6827302060112
CS014_nonempty_visit,0.29210526315789487,-0.0
CS015_visit_mass,0.178736517719569,-0.0
CS015_visit_volume,0.0,-299.099915020695
CS015_nonempty_visit,0.16533127889060123,-0.0
C_airframe_workload,0.0,-0.21751994413253295
