from_id,to_id,row,col,fraction,dem_m
O01,S001,778,713,0.0,128.7255401611328
O01,S001,777,713,0.009588090833700736,130.80474853515625
O01,S001,777,714,0.009735078773309678,132.31642150878906
O01,S001,776,714,0.020662346820886433,133.5413055419922
O01,S001,775,714,0.03173660280807213,135.11814880371094
O01,S001,775,715,0.03217233970427466,140.24159240722656
O01,S001,774,715,0.042810858795257825,144.3026123046875
O01,S001,773,715,0.053885114782443524,145.23208618164062
O01,S001,773,716,0.05460960063523965,142.67367553710938
O01,S001,772,716,0.06495937076962922,141.5878448486328
O01,S001,771,716,0.07603362675681492,141.0373077392578
O01,S001,771,717,0.07704686156620463,137.09552001953125
O01,S001,770,717,0.08710788274400062,138.46737670898438
O01,S001,769,717,0.09818213873118632,142.2293701171875
O01,S001,769,718,0.09948412249716962,139.03878784179688
O01,S001,768,718,0.10925639471837201,142.09059143066406
O01,S001,767,718,0.1203306507055577,150.4017333984375
O01,S001,767,719,0.1219213834281346,146.45533752441406
O01,S001,766,719,0.1314049066927434,153.67835998535156
O01,S001,765,719,0.1424791626799291,158.906982421875
O01,S001,765,720,0.1443586443590996,156.9326629638672
O01,S001,764,720,0.1535534186671148,161.6325225830078
O01,S001,763,720,0.1646276746543005,162.75421142578125
O01,S001,763,721,0.16679590529006458,163.5756072998047
O01,S001,762,721,0.1757019306414862,165.66754150390625
O01,S001,761,721,0.1867761866286719,166.5437774658203
O01,S001,761,722,0.18923316622102956,163.1529083251953
O01,S001,760,722,0.1978504426158576,166.9786834716797
O01,S001,759,722,0.2089246986030433,174.78916931152344
O01,S001,759,723,0.21167042715199455,176.50196838378906
O01,S001,758,723,0.219998954590229,186.74330139160156
O01,S001,757,723,0.23107321057741467,195.83773803710938
O01,S001,757,724,0.23410768808295954,199.0145263671875
O01,S001,756,724,0.24214746656460037,205.36367797851562
O01,S001,755,724,0.2532217225517861,199.11651611328125
O01,S001,755,725,0.2565449490139245,206.61099243164062
O01,S001,754,725,0.2642959785389718,205.8351593017578
O01,S001,753,725,0.2753702345261575,196.81793212890625
O01,S001,753,726,0.2789822099448895,196.62066650390625
O01,S001,752,726,0.2864444905133432,181.01292419433594
O01,S001,751,726,0.2975187465005289,159.1558380126953
O01,S001,751,727,0.30141947087585447,157.11402893066406
O01,S001,750,727,0.3085930024877146,138.3493194580078
O01,S001,749,727,0.31966725847490024,140.89254760742188
O01,S001,749,728,0.32385673180681945,139.77549743652344
O01,S001,748,728,0.33074151446208594,155.73793029785156
O01,S001,747,728,0.34181577044927164,171.0520782470703
